,,,ss_time,ss_time,ss_time
ss,,,1,2,3
No,Crew,Gr/Cl,,,
#1,Anapoliotakis G.  - Tsioukas A. Ford Fiesta R5,C1,5:49.77,5:44.07,5:41.78
#10,Nikolidakis I.  - Petoussis M. Peugeot 106 S16,C5 F2,6:05.32,6:00.32,-
#11,Kafetzakis I.  - Providakis E. Peugeot 106 S16,C5 F2,6:18.09,6:12.12,7:34.73
#12,Polias Mihalis  - Roussaki Stella Citroën Saxo VTS,C5 F2,6:25.95,6:21.38,6:18.90
#15,Ioannidis Giorgos  - Dimou George Citroën AX GT,C5 F2,6:31.63,6:25.77,6:23.53
#16,Maragakis Andreas  - Argiros E. Citroën Saxo,C6 F2,6:34.96,6:41.89,6:40.31
#17,Partheniadis E.  - Sifakis D. Citroën Saxo VTS,C6 F2,6:43.54,6:47.07,6:39.13
#18,Poulakis Mihalis  - Poulakis G. Toyota Yaris,C6 F2,6:46.42,6:40.51,6:43.56
#2,Peroulakis Georgios  - Sarris E. Mitsubishi Lancer Evo VIII,C2,6:01.75,5:53.39,5:48.01
#20,Stivaktakis Aris  - Theodorakis E. Toyota Yaris,C6 F2,7:45.13,7:27.05,7:58.25
#3,Ktistakis Dimitris  - Ktistakis M. Peugeot 306 S16,C3 F2,5:57.68,5:50.67,5:51.00
#4,Frantzeskakis D.  - Klaridopoulos F. Ford Fiesta ST,C3 F2,6:12.06,6:00.40,5:57.85
#5,Gobakis Lefteris  - Gobakis S. Honda Civic Type-R EP3,C3 F2,6:21.99,6:14.96,6:12.24
#6,Titakis Titos  - Chronakis Marios Citroën DS3 R3T Max,C3 F2,6:14.02,6:03.94,6:04.70
#7,Kapsalakis D.  - Galanakis G. Ford Fiesta ST,C3 F2,7:30.47,7:18.76,7:20.99
#8,Perakis A.  - Kourougiaouris K. Peugeot 206 XS,C4 F2,6:24.01,6:26.00,-
#9,Damianakis Giannis  - Liodakis I. Peugeot 205 Rallye,C4 F2,6:07.46,6:07.22,6:17.03
