,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,1,2,3,4,5,6
Crew,Gr/Cl,Race,,,,,,
Andreucci Paol,R5/Rally2,Prealpi,16,6,-,-,-,-
Angi Simone  -,R5/Rally2,Prealpi,22,15,13,13,13,13
Baldan Stefano,Rally3,Prealpi,83,46,58,36,57,33
Bardin Gianni ,R5/Rally2,Prealpi,52,34,29,26,30,24
Bassetto Ricca,R5/Rally2,Prealpi,23,21,21,20,20,20
Battistuzzi C.,Rally5/R1,Prealpi,108,104,94,92,92,89
Beltramo Mauro,Rally5,Prealpi,86,100,-,-,-,-
Bigon Michele ,R5/Rally2,Prealpi,18,38,17,94,19,21
Borsoi Elvis  ,R5/Rally2,Prealpi,28,26,24,23,27,23
Bouvier Omar  ,Rally5,Prealpi,63,50,53,66,53,42
Brik  - Michel,Rally5,Prealpi,79,72,73,64,75,49
Cadamuro Flavi,N4,Prealpi,55,51,40,62,46,49
Cairoli Mirko ,N3,Prealpi,67,69,65,73,68,62
Callegaro Fabi,R5/Rally2,Prealpi,19,24,14,12,16,12
Callegaro Ricc,Rally4,Prealpi,46,62,63,51,54,69
Cappellati Rud,Rally4/R2,Prealpi,50,40,43,45,37,53
Carlet Ermes  ,Rally4,Prealpi,102,-,-,-,-,-
Casarin Matteo,N4,Prealpi,49,38,-,-,-,-
Casarotto Andr,Rally4/R2,Prealpi,62,74,54,53,54,73
Casonato Rober,Rally4,Prealpi,32,34,44,39,41,46
Cattelan Massi,A8,Prealpi,58,63,56,55,93,51
Cesaro Leonard,R5/Rally2,Prealpi,4,12,7,14,5,9
Cesaro Simone ,RS 1.6 Plus,Prealpi,92,87,93,81,85,77
Chiaberto F.  ,Rally5,Prealpi,71,66,-,-,-,-
Chiesura Matti,A6,Prealpi,76,78,64,69,73,57
Citron Marco  ,A5,Prealpi,84,94,82,82,79,78
Cocco Giovanni,Rally4,Prealpi,31,30,30,29,31,29
Codato Mattia ,R5/Rally2,Prealpi,7,11,9,11,12,6
Consalter Igor,Rally5 Under 25,Prealpi,88,81,78,73,71,62
