,Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec,min_time_Gr,min_time,diff,diff_G,diff_G%,SS.
149,Casonato Rober,Rally4,2,Prealpi,10/12/2023,gravel,-,35,371.0,364.5,325.9,45.10000000000002,6.5,1.7832647462277091,02
150,Rossetto Osvy ,Rally4,2,Prealpi,10/12/2023,gravel,-,37,374.1,364.5,325.9,48.200000000000045,9.600000000000023,2.6337448559670844,02
151,Gheno Tobia  -,Rally4,2,Prealpi,10/12/2023,gravel,-,41,375.8,364.5,325.9,49.900000000000034,11.300000000000011,3.1001371742112513,02
152,Toffoli Bryan ,Rally4,2,Prealpi,10/12/2023,gravel,-,42,376.2,364.5,325.9,50.30000000000001,11.699999999999989,3.2098765432098735,02
153,Pintarelli Mat,Rally4,2,Prealpi,10/12/2023,gravel,-,43,376.8,364.5,325.9,50.900000000000034,12.300000000000011,3.374485596707822,02
154,Frigo Giulio  ,Rally4,2,Prealpi,10/12/2023,gravel,-,47,377.5,364.5,325.9,51.60000000000002,13.0,3.5665294924554183,02
155,Pagnan Alex  -,Rally4,2,Prealpi,10/12/2023,gravel,-,48,378.4,364.5,325.9,52.5,13.899999999999977,3.813443072702326,02
156,Lovisetto Gian,Rally4,2,Prealpi,10/12/2023,gravel,-,52,381.6,364.5,325.9,55.700000000000045,17.100000000000023,4.691358024691365,02
157,De Tisi Pietro,Rally4,2,Prealpi,10/12/2023,gravel,-,54,382.1,364.5,325.9,56.200000000000045,17.600000000000023,4.82853223593965,02
158,Stevanato Elia,Rally4,2,Prealpi,10/12/2023,gravel,-,56,383.5,364.5,325.9,57.60000000000002,19.0,5.212620027434842,02
159,Roncadori Stef,Rally4,2,Prealpi,10/12/2023,gravel,-,57,385.5,364.5,325.9,59.60000000000002,21.0,5.761316872427984,02
160,Puppato Albert,Rally4,2,Prealpi,10/12/2023,gravel,-,59,386.3,364.5,325.9,60.400000000000034,21.80000000000001,5.980795610425242,02
161,Callegaro Ricc,Rally4,2,Prealpi,10/12/2023,gravel,-,62,387.2,364.5,325.9,61.30000000000001,22.69999999999999,6.22770919067215,02
162,Mazzonelli A. ,Rally4,2,Prealpi,10/12/2023,gravel,-,64,387.6,364.5,325.9,61.700000000000045,23.100000000000023,6.337448559670788,02
163,Moretto Federi,Rally4,2,Prealpi,10/12/2023,gravel,-,65,388.1,364.5,325.9,62.200000000000045,23.600000000000023,6.474622770919074,02
164,Strabello Paol,Rally4,2,Prealpi,10/12/2023,gravel,-,70,391.9,364.5,325.9,66.0,27.399999999999977,7.51714677640603,02
165,Pigozzo Enrico,Rally4,2,Prealpi,10/12/2023,gravel,-,75,394.4,364.5,325.9,68.5,29.899999999999977,8.203017832647456,02
166,De Marco Franc,Rally4,2,Prealpi,10/12/2023,gravel,-,79,398.4,364.5,325.9,72.5,33.89999999999998,9.30041152263374,02
167,Vigna Claudio ,Rally4,2,Prealpi,10/12/2023,gravel,-,82,403.3,364.5,325.9,77.40000000000003,38.80000000000001,10.644718792866945,02
168,Foffano Cristi,Rally4,2,Prealpi,10/12/2023,gravel,-,84,404.3,364.5,325.9,78.40000000000003,39.80000000000001,10.919067215363516,02
169,Prosenc Borut ,Rally4,2,Prealpi,10/12/2023,gravel,-,85,404.5,364.5,325.9,78.60000000000002,40.0,10.973936899862826,02
170,Gabrici Fabio ,Rally4,2,Prealpi,10/12/2023,gravel,-,89,406.9,364.5,325.9,81.0,42.39999999999998,11.63237311385459,02
171,De Sanctis F. ,Rally4,2,Prealpi,10/12/2023,gravel,-,102,433.1,364.5,325.9,107.20000000000005,68.60000000000002,18.820301783264753,02
172,Spagnol Jason ,Rally4/R2,2,Prealpi,10/12/2023,gravel,-,33,368.3,368.3,325.9,42.400000000000034,0.0,0.0,02
173,Cappellati Rud,Rally4/R2,2,Prealpi,10/12/2023,gravel,-,40,375.6,368.3,325.9,49.700000000000045,7.300000000000011,1.982079826228621,02
174,Possamai Alex ,Rally4/R2,2,Prealpi,10/12/2023,gravel,-,45,377.3,368.3,325.9,51.400000000000034,9.0,2.4436600597339124,02
175,Casarotto Andr,Rally4/R2,2,Prealpi,10/12/2023,gravel,-,74,394.1,368.3,325.9,68.20000000000005,25.80000000000001,7.005158837903886,02
176,Pignani Elia  ,Rally4/R2,2,Prealpi,10/12/2023,gravel,-,83,403.7,368.3,325.9,77.80000000000001,35.39999999999998,9.611729568286716,02
177,Segnana Stefan,Rally4/R2,2,Prealpi,10/12/2023,gravel,-,99,426.5,368.3,325.9,100.60000000000002,58.19999999999999,15.802335052945965,02
178,Madrassi Sandr,Rally4/R2,2,Prealpi,10/12/2023,gravel,-,103,436.9,368.3,325.9,111.0,68.59999999999997,18.626120010860703,02
179,Dalla Vecchia ,Rally4/R2,2,Prealpi,10/12/2023,gravel,-,105,452.3,368.3,325.9,126.40000000000003,84.0,22.80749389084985,02
180,Nardi Devid  -,Rally4/R2 Under 25,2,Prealpi,10/12/2023,gravel,-,44,377.1,377.1,325.9,51.200000000000045,0.0,0.0,02
181,Favero Marco  ,Rally4/R2 Under 25,2,Prealpi,10/12/2023,gravel,-,60,386.7,377.1,325.9,60.80000000000001,9.599999999999966,2.5457438345266414,02
182,Ramponi Paolo ,Rally4 Under 25,2,Prealpi,10/12/2023,gravel,-,49,378.5,378.5,325.9,52.60000000000002,0.0,0.0,02
183,Penello Andrea,Rally4 Under 25,2,Prealpi,10/12/2023,gravel,-,77,395.9,378.5,325.9,70.0,17.399999999999977,4.597093791281368,02
249,Cocco Giovanni,Rally4,3,Prealpi,10/12/2023,gravel,-,30,359.5,359.5,322.1,37.39999999999998,0.0,0.0,03
