,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6
Crew,Gr/Cl,Race,,,,,,
Marchioro Anto,N4,Prealpi,5:47.5,5:47.1,5:44.4,5:41.7,5:42.3,6:02.9
Marchioro Nico,R5/Rally2,Prealpi,5:23.3,5:29.7,5:22.9,5:23.0,5:16.7,5:17.0
Mattiuz Alessi,A7,Prealpi,6:30.7,6:25.9,6:27.5,-,-,-
Mazzonelli A. ,Rally4,Prealpi,6:33.8,6:27.6,6:21.8,6:14.1,6:12.9,6:26.8
Mettifogo Manu,Rally5,Prealpi,6:30.7,6:26.7,6:22.1,6:28.5,6:16.7,6:26.7
Milani Michele,N4,Prealpi,5:48.3,5:51.2,6:43.5,6:40.7,5:46.2,5:52.9
Miotto Stefano,N3,Prealpi,6:14.7,6:28.9,6:04.5,6:08.5,6:04.1,6:08.5
Moretto Federi,Rally4,Prealpi,6:36.7,6:28.1,6:20.4,6:21.6,6:16.6,6:30.3
Nardi Devid  -,Rally4/R2 Under 25,Prealpi,6:05.9,6:17.1,6:03.4,6:15.8,6:01.6,6:15.8
Nicoletti A.  ,R5/Rally2,Prealpi,5:31.5,5:49.5,5:36.7,5:33.9,5:35.8,5:57.0
Oriella Paolo ,R5/Rally2,Prealpi,5:28.1,5:27.9,5:23.4,5:25.2,5:21.0,5:22.1
Pagnan Alex  -,Rally4,Prealpi,6:08.5,6:18.4,6:06.3,6:14.3,6:04.4,6:25.7
Penello Andrea,Rally4 Under 25,Prealpi,6:44.8,6:35.9,6:30.7,6:34.7,6:35.9,6:34.7
Pesavento Paol,R5/Rally2,Prealpi,5:31.9,5:36.5,5:30.5,5:29.6,5:23.5,5:24.5
Pignani Elia  ,Rally4/R2,Prealpi,6:42.9,6:43.7,6:29.3,6:37.0,6:26.9,6:37.0
Pigozzo Enrico,Rally4,Prealpi,6:18.6,6:34.4,6:14.6,-,-,-
Pintarelli Mat,Rally4,Prealpi,6:08.3,6:16.8,6:09.0,6:11.0,6:06.7,6:17.8
Pizzolato N.  ,A8,Prealpi,6:41.4,6:34.0,6:20.4,6:19.7,6:19.9,6:29.0
Possamai Alex ,Rally4/R2,Prealpi,6:22.0,6:17.3,6:13.3,6:11.4,6:02.1,6:11.4
Prosenc Borut ,Rally4,Prealpi,6:27.0,6:44.5,6:10.3,6:02.9,5:55.0,6:02.7
Puppato Albert,Rally4,Prealpi,6:17.3,6:26.3,6:09.2,6:16.3,-,-
Ramponi Paolo ,Rally4 Under 25,Prealpi,6:24.3,6:18.5,6:08.6,6:11.0,6:10.4,6:29.1
Recchia Marco ,N3,Prealpi,6:28.3,6:35.1,6:12.3,6:27.7,6:25.6,6:27.7
Rivoira Carlo ,R5/Rally2,Prealpi,7:18.1,6:49.7,7:05.2,6:36.7,6:35.2,6:28.5
