,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
#87,Korzun Anton  - Kononov Pavlo Peugeot 208 Rally4  [SR],RC4,21:03.1 [N],26:56.4 [N],25:56.0 [N],20:59.1 [N],27:11.7 [N],26:09.4 [N],26:10.4 [N],12:58.8 [N],-,-,-,-,-,-,-,-,-,-,-
#88,Miranda Hélder  - Pereira Hugo Renault Clio RS R3T,RC4,11:22.3,17:07.7,16:09.4,11:26.8,17:40.6,16:09.4 [N],19:58.6,2:58.8,20:41.9,-,-,-,-,-,-,10:09.6,8:08.4,16:54.3,8:02.4
#88,Miranda Hélder  - Pereira Hugo Renault Clio RS R3T  [SR],RC4,-,-,-,-,-,-,-,-,-,38:38.4 [N],16:56.8 [N],30:02.8 [N],38:38.4 [N],16:56.0 [N],12:58.6 [N],-,-,-,-
#89,Antunes Pedro  - Hugo Vítor Peugeot 208 Rally4,RC4,-,-,-,-,-,-,-,-,20:16.0,31:26.9,7:01.7,20:16.0 [N],29:03.4 [N],6:56.0,2:58.6,-,-,-,-
#89,Antunes Pedro  - Hugo Vítor Peugeot 208 Rally4  [SR],RC4,21:03.1 [N],26:56.4 [N],25:56.0 [N],20:59.1 [N],27:11.7 [N],26:09.4 [N],26:10.4 [N],12:58.8 [N],-,-,-,-,-,-,-,-,-,-,-
#91,Serratosa Vilaseca A.  - Bellver Serrat E. Peugeot 208 Rally4,RC4,-,-,-,-,-,-,-,-,22:04.3,-,-,-,-,-,-,-,-,-,-
#91,Serratosa Vilaseca A.  - Bellver Serrat E. Peugeot 208 Rally4  [SR],RC4,21:03.1 [N],26:56.4 [N],25:56.0 [N],20:59.1 [N],27:11.7 [N],26:09.4 [N],26:10.4 [N],12:58.8 [N],-,-,-,-,-,-,-,-,-,-,-
#92,Roque Paulo  - Macedo Marco Peugeot 208 Rally4,RC4,-,-,-,-,-,-,-,-,21:56.5,31:31.1,7:33.1,22:14.3,31:31.1 [N],7:46.6,3:04.3,-,-,-,-
#92,Roque Paulo  - Macedo Marco Peugeot 208 Rally4  [SR],RC4,21:03.1 [N],26:56.4 [N],25:56.0 [N],20:59.1 [N],27:11.7 [N],26:09.4 [N],26:10.4 [N],12:58.8 [N],-,-,-,-,-,-,-,-,-,-,-
#93,Lopes Hugo  - Neves Tiago Peugeot 208 Rally4,RC4,-,-,-,-,-,-,-,-,20:09.1,29:07.3,7:10.4,20:42.7,-,-,-,-,-,-,-
#93,Lopes Hugo  - Neves Tiago Peugeot 208 Rally4  [SR],RC4,21:03.1 [N],26:56.4 [N],25:56.0 [N],20:59.1 [N],27:11.7 [N],26:09.4 [N],26:10.4 [N],12:58.8 [N],-,-,-,-,-,-,-,-,-,-,-
#94,Nõgene Joosep Ralf  - Lesk Aleks Peugeot 208 Rally4,RC4,-,-,-,-,-,-,-,-,20:33.4,-,-,-,-,-,-,-,-,-,-
#94,Nõgene Joosep Ralf  - Lesk Aleks Peugeot 208 Rally4  [SR],RC4,21:03.1 [N],26:56.4 [N],25:56.0 [N],20:59.1 [N],27:11.7 [N],26:09.4 [N],26:10.4 [N],12:58.8 [N],-,-,-,-,-,-,-,-,-,-,-
#95,Pérez Benítez S.  - Romero García L. Peugeot 208 Rally4,RC4,-,-,-,-,-,-,-,-,20:17.4,29:07.4,7:03.2,20:02.8,29:07.4 [N],6:57.4,3:02.4,-,-,-,-
#95,Pérez Benítez S.  - Romero García L. Peugeot 208 Rally4  [SR],RC4,21:03.1 [N],26:56.4 [N],25:56.0 [N],20:59.1 [N],27:11.7 [N],26:09.4 [N],26:10.4 [N],12:58.8 [N],-,-,-,-,-,-,-,-,-,-,-
#98,Semenov Alexander  - Ignatov A. Peugeot 208 Rally4,RC4,-,-,-,-,-,-,-,-,21:00.8,33:44.3,7:26.9,21:08.8,30:14.3 [N],7:36.4,3:03.8,-,-,-,-
#98,Semenov Alexander  - Ignatov A. Peugeot 208 Rally4  [SR],RC4,21:03.1 [N],26:56.4 [N],25:56.0 [N],20:59.1 [N],27:11.7 [N],26:09.4 [N],26:10.4 [N],12:58.8 [N],-,-,-,-,-,-,-,-,-,-,-
#99,Blanco Alonso P.  - Quintana Fernández I. Peugeot 208 Rally4,RC4,-,-,-,-,-,-,-,-,22:02.1,30:48.8,16:56.8 [N],30:02.8 [N],38:38.4 [N],16:56.0 [N],12:58.6 [N],10:10.5,8:31.4,17:25.9,8:22.0
#99,Blanco Alonso P.  - Quintana Fernández I. Peugeot 208 Rally4  [SR],RC4,21:03.1 [N],26:56.4 [N],25:56.0 [N],20:59.1 [N],27:11.7 [N],26:09.4 [N],26:10.4 [N],12:58.8 [N],-,-,-,-,-,-,-,-,-,-,-
