,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
#30,Linnamäe Georg  - Morgan James Hyundai i20 N Rally2,RC2,9:49.8,13:45.8,12:56.0,9:22.7,13:44.0,15:19.2,22:21.8 [N],-,27:35.4 [N],35:31.1 [N],16:14.4 [N],27:30.0 [N],35:24.9 [N],16:06.3 [N],12:38.0 [N],8:34.6,6:56.5,14:37.3,6:51.6
#30,Linnamäe Georg  - Morgan James Hyundai i20 N Rally2  [SR],RC2,-,-,-,-,-,-,-,12:35.0 [N],-,-,-,-,-,-,-,-,-,-,-
#31,Pajari Sami  - Mälkönen Enni Škoda Fabia RS Rally2,RC2,9:29.7,13:50.0,15:06.3,9:32.6,13:52.1,-,-,-,17:38.4,25:42.2,6:17.7,17:34.4,25:39.0 [N],6:14.0,2:41.1,8:19.2,6:56.6,14:18.6,6:50.8
#31,Pajari Sami  - Mälkönen Enni Škoda Fabia RS Rally2  [SR],RC2,-,-,-,-,-,22:33.9 [N],22:21.8 [N],12:35.0 [N],-,-,-,-,-,-,-,-,-,-,-
#32,Joona Lauri  - Shemeikka Tuukka Škoda Fabia Rally2 evo,RC2,9:39.3,14:18.3,13:21.2,9:36.4,14:25.9,13:12.1,13:53.2,2:39.4,18:07.0,26:08.6,6:24.7,17:50.0,26:01.6,6:20.4,2:39.9,8:32.3,7:07.0,14:32.2,6:56.9
#33,Evans Elfyn  - Martin Scott Toyota GR Yaris Rally1,RC1 M,9:10.6,13:10.4,11:53.4,9:05.3,13:16.8,12:07.5,-,-,-,-,-,-,-,-,-,-,-,-,-
#34,Cachón Alejandro  - Jandrín Citroën C3 Rally2,RC2,10:01.5,13:48.1,12:56.8,9:22.5,18:11.8,13:19.1,12:45.2,2:38.2,18:00.8,25:59.3,6:23.8,17:44.2,29:25.9,6:26.9,2:42.8,8:26.5,7:08.2,14:34.9,6:57.0
#35,Bulacia Marco  - Vallejo Diego Škoda Fabia RS Rally2,RC2,9:21.2,13:47.6,12:49.9,9:23.4,13:49.6,12:44.2,13:40.7,2:40.1,17:47.6,25:41.5,6:22.4,17:41.3,26:34.8,6:19.4,2:38.0,8:21.7,6:59.3,14:20.7,6:59.0
#36,Araújo Armindo  - Ramalho Luís Škoda Fabia Rally2 evo,RC2,9:41.5,14:18.5,13:19.4,9:45.6,14:42.6,13:21.0,13:01.7,2:41.2,18:39.2,26:29.4,6:29.7,18:04.9,26:36.6,6:42.8,2:43.4,8:49.5,7:33.0,15:18.3,7:26.5
#37,McErlean Josh  - Rowan John Hyundai i20 N Rally2,RC2,9:26.5,13:59.9,13:07.8,9:31.6,14:07.3 [N],13:56.9,12:46.5,2:42.0,18:03.7,25:51.0,6:16.3,17:50.5,26:09.1,6:16.2,2:43.3,8:32.6,7:03.1,14:37.4,7:01.7
#38,Cais Erik  - Těšínský Petr Škoda Fabia RS Rally2,RC2,9:38.6,14:13.9,13:18.0,9:30.4,13:59.0,13:36.4,12:52.1,2:38.7,18:07.3,26:09.2,-,-,-,-,-,8:32.2,7:09.2,14:42.6,7:00.8
#38,Cais Erik  - Těšínský Petr Škoda Fabia RS Rally2  [SR],RC2,-,-,-,-,-,-,-,-,-,-,16:14.4 [N],27:30.0 [N],35:24.9 [N],16:06.3 [N],12:38.0 [N],-,-,-,-
