Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
41,#53,Castro Eduardo  - Mussano Fernando Škoda Fabia Rally2 evo,RC2,10:05.1,+1:02.4 +  3.6,71.6 5.19,1
42,#50,Oldrati Enrico  - De Guio Elia Škoda Fabia Rally2 evo,RC2,10:06.6,+1:03.9 +  1.5,71.4 5.31,1
43,#61,Salvi Diogo  - Costa António Škoda Fabia R5,RC2,10:09.0,+1:06.3 +  2.4,71.1 5.51,1
44,#29,Virves Robert  - Magalhães Hugo Ford Fiesta Rally2,RC2,10:09.3,+1:06.6 +  0.3,71.1 5.54,1
45,#60,Simões Lucas  - Almeida Nuno Ford Fiesta Rally2,RC2,10:10.4,+1:07.7 +  1.1,71.0 5.63,1
46,#51,Zaldivar Miguel Sr.  - Díaz J. Hyundai i20 N Rally2,RC2,10:10.7,+1:08.0 +  0.3,70.9 5.65,1
47,#71,Herranen Toni  - Lukka Mikko Ford Fiesta Rally3,RC3,10:17.7,+1:15.0 +  7.0,70.1 6.23,1
48,#70,Korhonen Roope  - Viinikka Anssi Ford Fiesta Rally3,RC3,10:26.2,+1:23.5 +  8.5,69.2 6.94,1
49,#66,Díaz-Aboitiz M.  - Sanjuan de Eusebio R. Škoda Fabia Rally2 evo,RC2,10:35.3,+1:32.6 +  9.1,68.2 7.70,1
50,#67,Cobbe Luciano  - Mometti Roberto Škoda Fabia Rally2 evo,RC2,10:42.3,+1:39.6 +  7.0,67.4 8.28,1
51,#73,László Zoltán  - Zsiros Gábor Škoda Fabia Rally2 evo,RC2,10:55.3,+1:52.6 +  13.0,66.1 9.36,1
52,#64,Pinto Nuno  - Jardim Pereira João Citroën C3 Rally2,RC2,10:56.0,+1:53.3 +  0.7,66.0 9.42,1
53,#76,Fontana Matteo  - Arnaboldi A. Peugeot 208 Rally4,RC4,11:03.1,+2:00.4 +  7.1,65.3 10.0,1
54,#63,Teixeira Francisco  - Serôdio J. Škoda Fabia Rally2 evo,RC2,11:10.1,+2:07.4 +  7.0,64.6 10.6,1
55,#65,Al-Attiyah N.  - Bernacchini G. Ford Fiesta Rally2,RC2,11:14.1,+2:11.4 +  4.0,64.2 10.9,1
56,#75,Salin Daniel  - Salin Brigitte Škoda Fabia R5,RC2,11:21.2,+2:18.5 +  7.1,63.6 11.5,1
57,#88,Miranda Hélder  - Pereira Hugo Renault Clio RS R3T,RC4,11:22.3,+2:19.6 +  1.1,63.5 11.6,1
58,#78,Serrano Benalcazar D.  - Serrano Benalcazar J. Peugeot 208 Rally4,RC4,11:37.7,+2:35.0 +  15.4,62.1 12.9,1
