0,,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
No.,Crew,Group,Race,,,,,,,,,,,,,,,,,,,
4,Lappi  Esa,RC1,Portugal,6,7,7,1,5,5,1,5,2,3,5,3,4,2,4,5,2,5,3
6,Sordo  Dan,RC1,Portugal,2,2,4,2,3,2,6,1,3,6,3,2,1,5,1,3,5,2,5
7,Loubet  P.,RC1,Portugal,1,5,6,3,4,3,4,4,6,64,63,60,53,54,52,14,6,13,6
8,Tänak  Ott,RC1,Portugal,3,1,2,32,6,6,3,2,5,2,4,5,6,4,5,4,3,1,2
11,Neuville  ,RC1,Portugal,7,6,5,5,2,4,5,2,4,4,2,4,3,3,3,38,41,38,40
18,Katsuta  T,RC1,Portugal,5,3,62,58,56,50,47,48,7,5,25,6,5,7,2,1,4,3,4
20,Greensmith,RC2,Portugal,15,19,13,9,11,12,9,7,9,10,7,9,9,8,15,8,16,8,15
21,Solberg  O,RC2,Portugal,13,11,10,7,8,10,8,16,14,13,12,10,12,6,8,6,8,4,7
22,Gryazin  N,RC2,Portugal,14,14,14,59,57,51,49,50,13,14,6,13,10,14,16,9,7,10,8
23,Suninen  T,RC2,Portugal,9,12,11,8,9,38,13,8,12,8,16,8,8,9,22,17,9,7,13
24,Mikkelsen ,RC2,Portugal,16,10,8,50,10,8,7,9,11,9,15,11,7,11,10,6,10,8,9
25,Fourmaux  ,RC2,Portugal,10,9,9,11,39,48,10,9,8,7,8,7,11,12,8,11,13,11,10
26,Rossel  Yo,RC2,Portugal,11,13,12,10,12,9,12,11,19,16,17,16,13,13,17,13,18,17,22
27,Zaldivar  ,RC2,Portugal,21,21,22,59,57,51,49,50,18,20,8,20,54,55,-,-,-,-,-
28,Munster  G,RC2,Portugal,64,63,63,59,57,51,49,50,30,46,29,26,23,43,53,26,27,25,25
29,Virves  Ro,RC2,Portugal,44,24,24,18,15,42,11,12,22,47,11,18,19,17,11,-,-,-,-
30,Linnamäe  ,RC2,Portugal,30,16,16,13,13,34,49,50,72,65,64,61,54,55,53,24,11,21,14
31,Pajari  Sa,RC2,Portugal,19,20,48,21,16,51,49,50,10,12,14,12,14,10,18,10,12,12,12
32,Joona  Lau,RC2,Portugal,26,30,28,23,22,13,31,19,23,21,20,19,17,17,11,21,23,18,16
33,Evans  Elf,RC1,Portugal,8,8,3,6,7,7,47,48,-,-,-,-,-,-,-,-,-,-,-
34,Cachon  A.,RC2,Portugal,40,18,18,12,51,16,14,13,20,19,19,15,42,23,19,16,24,20,17
35,Bulacia  M,RC2,Portugal,12,17,15,14,14,11,25,20,15,11,18,14,21,16,7,12,15,14,20
36,Araújo  Ar,RC2,Portugal,28,31,27,27,27,17,19,21,31,27,23,24,24,27,21,29,32,29,30
37,McErlean  ,RC2,Portugal,17,23,23,20,18,26,15,23,21,15,10,20,18,15,20,22,19,22,24
38,Cais  Erik,RC2,Portugal,24,28,25,19,17,22,16,17,24,23,64,61,54,55,53,20,25,24,23
39,Heller  Al,RC2,Portugal,20,26,19,16,18,51,49,50,25,25,64,61,54,55,53,19,21,23,-
40,Fernàndez ,RC2,Portugal,25,27,26,17,21,15,20,15,26,22,22,17,15,20,13,18,20,15,19
41,Kelly  Eam,RC2,Portugal,63,45,41,42,34,28,24,36,37,35,31,61,54,55,53,27,33,30,29
44,Correia  M,RC2,Portugal,23,29,29,24,23,25,17,22,29,24,23,31,32,55,-,-,-,-,-
45,Teodósio  ,RC2,Portugal,33,32,32,28,57,51,49,50,27,26,21,25,22,21,31,25,22,28,21
46,Bulacia  B,RC2,Portugal,27,25,20,15,33,51,49,50,17,17,26,22,47,28,29,15,17,16,18
47,Marczyk  M,RC2,Portugal,22,22,21,22,20,14,29,14,16,18,13,23,16,19,13,31,14,19,11
48,Kremer  Ar,RC2,Portugal,29,40,33,29,36,20,23,34,72,65,64,-,-,-,-,-,-,-,-
49,Al-Rashed ,RC2,Portugal,37,58,58,37,29,61,27,29,34,29,43,30,66,29,24,30,29,27,28
50,Oldrati  E,RC2,Portugal,42,41,38,38,35,29,30,26,35,32,34,32,29,30,28,32,31,32,31
51,Zaldivar  ,RC2,Portugal,46,46,45,39,37,30,26,27,38,37,36,33,-,-,-,-,-,-,-
52,Villanueva,RC2,Portugal,38,36,42,35,24,19,22,30,32,30,31,28,25,25,26,34,30,31,27
