,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16
#35,Arai Hiroki  - Tachikui Hiroki Peugeot 208 Rally4,RC4,2:04.6,21:39.8 [N],15:57.0,21:03.8,14:08.2,16:22.9,2:11.0,17:16.2,12:40.4,2:40.6,2:37.2,16:13.4,12:35.1,3:53.6,2:02.3
#36,Shinkai Tomoyuki  - Ando Yuichi Toyota GR Yaris GR4 DAT Rally,NAT,-,-,-,-,-,-,-,17:26.1,12:45.7,2:43.0,2:40.9,16:13.4,12:32.7,3:52.5,2:03.2
#36,Shinkai Tomoyuki  - Ando Yuichi Toyota GR Yaris GR4 DAT Rally  [SR],NAT,12:02.3 [N],21:39.8 [N],15:50.8,21:56.7,14:47.8,16:51.3,2:16.4 [N],-,-,-,-,-,-,-,-
#37,Sasaki Yasuyuki  - Matsushita K. Toyota GR Yaris,NAT,2:33.7,21:39.8 [N],16:38.2,-,-,-,-,20:50.4,15:30.1,3:05.4,3:00.5,20:17.3,14:39.1,4:36.4,2:18.8
#37,Sasaki Yasuyuki  - Matsushita K. Toyota GR Yaris  [SR],NAT,-,-,-,31:12.4 [N],24:06.4 [N],26:16.9 [N],12:16.4 [N],-,-,-,-,-,-,-,-
#38,Hotta Makoto  - Kawanishi Haruo Toyota GR Yaris,NAT,2:28.0,21:39.8 [N],17:18.5,24:11.6,15:42.3,17:53.9,2:25.8,18:05.9,-,-,-,-,-,-,-
#38,Hotta Makoto  - Kawanishi Haruo Toyota GR Yaris  [SR],NAT,-,-,-,-,-,-,-,-,22:45.7 [N],12:43.0 [N],12:40.9 [N],26:13.4,22:32.7,13:52.5,-
#39,Murata Kosuke  - Umemoto Madoka Toyota GR Yaris,NAT,2:13.9,21:39.8 [N],17:09.1,23:37.9,16:06.7,18:03.5,2:16.8,18:32.0,13:18.3,2:47.4,2:43.3,17:40.6,13:09.1,4:15.3,2:06.2
#4,Lappi Esapekka  - Ferm Janne Hyundai i20 N Rally1,RC1 M,1:48.3,21:39.8,15:25.2,20:10.6,13:08.6,14:54.5,2:00.0,15:33.0 [N],11:28.7,2:22.9,2:20.9,14:43.3,10:46.1,3:21.2,1:47.0
#40,Yamamoto Yuta  - Tachikui Kazuko Toyota GR86,NAT,2:17.1,21:39.8 [N],18:21.7,24:04.3,16:33.0,18:46.4,2:27.4,18:53.6,13:47.7,2:52.7,2:57.8,17:54.7,13:36.0,4:14.2,2:08.7
#41,Kunisawa Mitsuhiro  - Kihara M. Renault Clio Rally5,RC5,2:24.9,21:39.8 [N],18:50.7,26:42.8,17:35.8,20:49.8,2:24.6,20:33.1,14:50.5,2:53.7,3:03.5,19:47.3,14:41.9,4:28.1,2:13.0
#44,Nakayama Toru  - Matsuura Toshiro Toyota GR Yaris,NAT,2:34.8,21:39.8 [N],18:20.7,26:54.6,17:42.7,20:08.0,2:44.1,21:07.0,15:07.5,3:08.1,3:03.6,20:29.3,14:50.4,4:53.6,2:30.2
#45,Takata Koji  - Sekimoto Takashi Toyota GR Yaris,NAT,2:43.6,21:39.8 [N],19:55.6,28:12.8,18:55.6,21:22.6,2:45.8,22:15.3,16:03.1,-,-,-,-,-,-
#45,Takata Koji  - Sekimoto Takashi Toyota GR Yaris  [SR],NAT,-,-,-,-,-,-,-,-,-,12:43.0 [N],12:40.9 [N],26:13.4,22:32.7,13:52.5,-
#46,Hagiwara Yasunori  - Harada Koichi Subaru Impreza WRX STi,NAT,2:38.1,21:39.8 [N],20:10.0,-,-,-,-,21:16.1,15:04.7,3:06.6,3:02.0,20:25.1,14:27.5,4:53.0,2:19.2
#46,Hagiwara Yasunori  - Harada Koichi Subaru Impreza WRX STi  [SR],NAT,-,-,-,31:12.4 [N],24:06.4 [N],26:16.9 [N],12:16.4 [N],-,-,-,-,-,-,-,-
#47,Iriemon  - Kageyama Satoshi Toyota Vitz III RS,NAT,2:19.4,21:39.8 [N],19:06.1,-,-,-,-,21:04.0,15:24.1,3:03.5,3:04.0,21:24.6,14:34.2,4:52.1,2:12.5
#47,Iriemon  - Kageyama Satoshi Toyota Vitz III RS  [SR],NAT,-,-,-,38:27.9 [N],30:38.5 [N],34:20.2 [N],12:35.4 [N],-,-,-,-,-,-,-,-
#48,Shimizu Hiroyasu  - Yasui Takahiro Toyota Yaris,NAT,2:25.1,21:39.8 [N],29:06.1,-,-,-,-,24:13.0,16:56.0,3:17.0,3:05.1,22:12.0,16:02.3,5:25.0,2:21.1
#48,Shimizu Hiroyasu  - Yasui Takahiro Toyota Yaris  [SR],NAT,-,-,-,38:27.9 [N],30:38.5 [N],34:20.2 [N],12:35.4 [N],-,-,-,-,-,-,-,-
#49,Aihara Taisuke  - Hagino Tsukasa Daihatsu Copen,NAT,2:24.9,21:39.8 [N],21:04.3,28:27.9,20:38.5,24:20.2,2:35.4,21:19.5,15:02.5,3:15.9,3:10.4,21:21.2,15:06.2,5:15.8,7:27.7
#6,Sordo Dani  - Carrera Cándido Hyundai i20 N Rally1,RC1 M,1:49.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#69,Rovanperä Kalle  - Halttunen J. Toyota GR Yaris Rally1,RC1 M,1:51.6,20:50.1,15:25.0,19:32.3,13:05.3,14:43.8,2:01.2,15:37.6,11:27.3,2:21.9,2:20.3,14:44.2,10:49.1,3:20.1,1:51.6
#8,Tänak Ott  - Järveoja Martin Ford Puma Rally1,RC1 M,1:49.0,20:51.2,17:04.2,19:40.3,13:21.0,15:18.7,2:01.1,15:27.4 [N],11:16.9,2:20.4,2:19.6,14:37.7,10:38.5,3:21.6,1:48.5
