Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,33,Evans  Elfyn  /  Martin  Scott  Toyota GR Yaris Rally1 Hybrid,RC1,00:20:17.8,69.97 0.00,00:00:00.0 00:00:00.0,2
2,17,Ogier  S.  /  Landais  Vincent  Toyota GR Yaris Rally1 Hybrid,RC1,00:20:21.8,69.74 0.17,00:00:04.0 00:00:04.0,2
3,11,Neuville  T.  /  Wydaeghe  M.  Hyundai i20 N Rally1 Hybrid,RC1,00:20:38.6,68.80 0.88,00:00:20.8 00:00:16.8,2
4,20,Mikkelsen  A.  /  Eriksen  T.  Škoda Fabia RS Rally2,RC2,00:20:44.6,68.47 1.13,00:00:26.8 00:00:06.0,2
5,69,Rovanperä  K.  /  Halttunen  Jonne  Toyota GR Yaris Rally1 Hybrid,RC1,00:20:50.1,68.16 1.36,00:00:32.3 00:00:05.5,2
6,8,Tänak  Ott  /  Järveoja  M.  Ford Puma Rally1 Hybrid,RC1,00:20:51.2,68.10 1.41,00:00:33.4 00:00:01.1,2
7,21,Gryazin  Nikolay  /  Aleksandrov  K.  Škoda Fabia RS Rally2,RC2,00:20:52.4,68.04 1.46,00:00:34.6 00:00:01.2,2
7,24,Munster  G.  /  Louka  Louis  Ford Fiesta Rally2 MkII,RC2,00:20:52.4,68.04 1.46,00:00:34.6 00:00:00.0,2
9,23,Kovalainen  H.  /  Kitagawa  Sae  Škoda Fabia R5,RC2,00:21:35.6,65.77 3.29,00:01:17.8 00:00:43.2,2
10,4,Lappi  Esapekka  /  Ferm  Janne  Hyundai i20 N Rally1 Hybrid,RC1,00:21:39.8,65.56 3.46,00:01:22.0 00:00:04.2,2
10,22,Kajetanowicz  K.  /  Szczepaniak  M.  Škoda Fabia RS Rally2,RC2,00:21:39.8,65.56 3.46,00:01:22.0 00:00:00.0,2
10,25,Chwist  Daniel  /  Heller  Kamil  Škoda Fabia Rally2 Evo,RC2,00:21:39.8,65.56 3.46,00:01:22.0 00:00:00.0,2
10,26,Fukunaga  Osamu  /  Saida  Misako  Škoda Fabia Rally2 Evo,RC2,00:21:39.8,65.56 3.46,00:01:22.0 00:00:00.0,2
10,28,"Boland  Eamonn  /  ""MJ""  ..  Citroën C3 Rally2",RC2,00:21:39.8,65.56 3.46,00:01:22.0 00:00:00.0,2
10,29,Díaz Aboitiz  M.  /  Sanjuán  R.  Škoda Fabia RS Rally2,RC2,00:21:39.8,65.56 3.46,00:01:22.0 00:00:00.0,2
10,30,Imai  Satoshi  /  Farmer  Jason  Citroën C3 Rally2,RC2,00:21:39.8,65.56 3.46,00:01:22.0 00:00:00.0,2
10,31,Bailey  Jason  /  Peterson  Shayne  Ford Fiesta Rally3,RC3,00:21:39.8,65.56 3.46,00:01:22.0 00:00:00.0,2
10,32,Katsuta  N.  /  Kimura  Yusuke  Toyota Yaris GR,,00:21:39.8,65.56 3.46,00:01:22.0 00:00:00.0,2
10,34,Arai  Toshihiro  /  Matsumoto  Y.  Subaru Impreza STI,,00:21:39.8,65.56 3.46,00:01:22.0 00:00:00.0,2
10,35,Arai  Hiroki  /  Tachikui  Hiroki  Peugeot 208 Rally4,RC4,00:21:39.8,65.56 3.46,00:01:22.0 00:00:00.0,2
10,36,Shinkai  T.  /  Ando  Yuichi  Toyota Yaris GR,,00:21:39.8,65.56 3.46,00:01:22.0 00:00:00.0,2
10,37,Sasaki  Yasuyuki  /  Matsushita  K.  Toyota Yaris GR,,00:21:39.8,65.56 3.46,00:01:22.0 00:00:00.0,2
10,38,Hotta  Makoto  /  Kawanishi  Haruo  Toyota Yaris GR,,00:21:39.8,65.56 3.46,00:01:22.0 00:00:00.0,2
10,39,Murata  Kohsuke  /  Umemoto  Madoka  Toyota Yaris GR,,00:21:39.8,65.56 3.46,00:01:22.0 00:00:00.0,2
10,40,Yamamoto  Yuta  /  Tachikui  Kazuko  Toyota GT86,,00:21:39.8,65.56 3.46,00:01:22.0 00:00:00.0,2
10,41,Kunisawa  M.  /  Kihara  Masahiko  Renault Clio Rally5,RC5,00:21:39.8,65.56 3.46,00:01:22.0 00:00:00.0,2
10,44,Nakayama  Tohru  /  Matsuura  T.  Toyota Yaris GR,,00:21:39.8,65.56 3.46,00:01:22.0 00:00:00.0,2
10,45,Takata  Koji  /  Sekimoto  T.  Toyota Yaris GR,,00:21:39.8,65.56 3.46,00:01:22.0 00:00:00.0,2
10,46,Hagiwara  Y.  /  Harada  Koichi  Subaru Impreza STI,,00:21:39.8,65.56 3.46,00:01:22.0 00:00:00.0,2
10,47,Irie  Satoshi  /  Kageyama  S.  Toyota Vitz,,00:21:39.8,65.56 3.46,00:01:22.0 00:00:00.0,2
10,48,Shimizu  H.  /  Yasui  Takahiro  Toyota Yaris,,00:21:39.8,65.56 3.46,00:01:22.0 00:00:00.0,2
10,49,Aihara  Taisuke  /  Hagino  Tsukasa  Daihatsu Copen,,00:21:39.8,65.56 3.46,00:01:22.0 00:00:00.0,2
