,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12
#40,Kovacs Eduardo  - Garcia Ruben Škoda Fabia R5  [SR],RC2,-,-,-,-,-,-,-,24:29.8 [N],28:22.5 [N],27:45.2 [N],24:18.1 [N],27:53.2 [N]
#41,Domínguez Diego Jr.  - Peñate R. Ford Fiesta Rally3,RC3,11:49.4,7:55.2,14:23.5,11:32.9,8:09.9,14:11.5 [N],19:27.1,15:30.6,20:17.2,19:03.6,15:47.8,19:33.1
#44,Castro Eduardo  - Mussano Fernando Ford Fiesta Rally3,RC3,12:11.9,8:06.6,14:33.4,11:58.3,7:59.8,14:21.4 [N],20:05.6,15:57.7,20:05.2,19:38.9,15:58.1,19:56.7
#46,Martínez Merizalde J.  - Medina Luna G. Hyundai i20 N Rally2,RC2,13:07.4,9:04.3,15:52.6,13:03.3,8:43.7,15:40.6 [N],21:05.1,16:34.0,20:44.3,20:46.9,16:36.2,21:03.3
#47,Martinez Merizalde A.  - Cilloniz Duclos J. Hyundai i20 N Rally2,RC2,13:02.8,8:43.5,16:07.4,13:02.5,8:49.3,15:35.4 [N],21:24.1,16:52.4,20:28.2,20:28.0,16:40.6,21:09.8
#48,Muñoz Patricio  - Recalt Miguel Peugeot 208 Rally4,RC4,12:11.8,8:05.9,-,-,-,-,20:01.3,15:59.1,20:11.3,20:07.0,16:12.4,20:09.6
#48,Muñoz Patricio  - Recalt Miguel Peugeot 208 Rally4  [SR],RC4,-,-,24:36.7 [N],22:04.5 [N],17:53.0 [N],24:24.7 [N],-,-,-,-,-,-
#49,Rosselot Tadeo  - Olguin Sebastian Peugeot 208 Rally4,RC4,12:01.3,8:02.4,14:38.1,12:28.8,7:53.0,14:26.1 [N],19:59.5,16:07.4,19:59.9,19:38.8,16:09.7,20:22.8
#50,Gardiol Ignacio  - González S. Renault Clio Rally4,RC4,12:50.8,8:34.2,15:22.9,12:23.3,8:13.8,15:10.9 [N],20:34.1,16:34.1,20:49.2,20:30.3,16:26.4,-
#50,Gardiol Ignacio  - González S. Renault Clio Rally4  [SR],RC4,-,-,-,-,-,-,-,-,-,-,-,30:09.6 [N]
#51,Parra Mario  - Leiva Matias Opel Corsa Rally4,RC4,12:20.0,8:01.2,14:36.7,12:04.5,7:59.2,14:24.7 [N],20:11.6,16:04.3,20:14.5,19:54.9,16:21.8,20:11.8
#52,Martínez Rodríguez L.  - Sanhueza J. Opel Corsa Rally4,RC4,12:36.3,8:17.0,14:42.7,12:11.6,8:07.3,14:30.7 [N],20:35.6,16:24.1,22:10.1,20:55.4,16:39.5,20:51.3
#53,Padilla Felipe  - Medrano S. Peugeot 208 Rally4,RC4,12:46.2,8:06.0,14:53.8,12:17.9,8:07.8,14:41.8 [N],20:21.4,-,-,-,-,-
#53,Padilla Felipe  - Medrano S. Peugeot 208 Rally4  [SR],RC4,-,-,-,-,-,-,-,25:59.1 [N],29:59.9 [N],29:38.8 [N],26:09.7 [N],30:09.6 [N]
#54,Palma Lucas  - Braun Augusto Peugeot 208 Rally4,RC4,12:39.7,-,-,-,-,-,29:59.5 [N],25:59.1 [N],29:59.9 [N],29:38.8 [N],26:09.7 [N],30:09.6 [N]
#54,Palma Lucas  - Braun Augusto Peugeot 208 Rally4  [SR],RC4,-,18:01.2 [N],24:36.7 [N],22:04.5 [N],17:53.0 [N],24:24.7 [N],-,-,-,-,-,-
#55,Fuertes Iván  - Ferrero V. Peugeot 208 Rally4,RC4,12:24.2,-,-,-,-,-,21:52.5,25:59.1 [N],29:59.9 [N],29:38.8 [N],26:09.7 [N],30:09.6 [N]
#55,Fuertes Iván  - Ferrero V. Peugeot 208 Rally4  [SR],RC4,-,18:01.2 [N],24:36.7 [N],22:04.5 [N],17:53.0 [N],24:24.7 [N],-,-,-,-,-,-
#56,Arenas Felipe  - Salvo Andy Ivan Peugeot 208 R2,RC4,13:08.8,8:50.4,15:47.7,12:56.7,8:43.4,15:35.7 [N],21:18.9,17:28.1,21:11.8,25:35.3,18:11.5,21:59.5
#57,Prieto Carlos  - Cruz Varela Juan Peugeot 208 Rally4,RC4,13:05.9,8:45.0,15:43.6,13:01.4,8:42.0,15:31.6 [N],21:07.8,16:37.2,20:59.5,21:12.1,16:25.8,21:06.7
#58,Pérez Beristain M.  - Pérez Delgado E. Peugeot 208 Rally4,RC4,12:33.5,8:19.4,15:09.2,12:29.9,8:17.5,14:57.2 [N],20:59.4,16:39.5,20:28.4,20:56.9,16:41.7,20:33.4
#59,Quezada Jose David  - Bascur A. Peugeot 208 Rally4,RC4,12:36.4,8:21.4,15:14.4,12:22.8,8:23.9,15:02.4 [N],21:11.3,16:58.3,20:54.6,20:55.3,17:08.2,20:59.9
#60,Iglesias Rodolfo  - Lopetegui P. Peugeot 208 R2,RC4,14:04.6,9:27.0 [N],17:18.0,13:59.0,9:45.7,17:06.0 [N],31:20.6,19:04.8,23:39.4,23:50.8,19:22.2,23:42.4
#62,Klein Javier  - Guzman Samuel Peugeot 208 R2,RC4,13:41.2,9:11.0 [N],16:22.3,13:31.9,9:07.6,16:10.3 [N],22:45.9,18:33.2,23:26.2,22:44.5,18:56.7,22:39.9
#65,Cohen Harold  - Gajardo Hugo Peugeot 208 Rally4,RC4,-,-,-,-,-,-,22:31.1,17:43.9,21:55.5,22:22.0,17:43.7,22:09.4
#65,Cohen Harold  - Gajardo Hugo Peugeot 208 Rally4  [SR],RC4,22:01.3 [N],18:01.2 [N],24:36.7 [N],22:04.5 [N],17:53.0 [N],24:24.7 [N],-,-,-,-,-,-
#67,Arce Lazo J.  - Acosta Tapia M. Renault Clio Rally5,RC5,15:32.8,10:26.0 [N],17:39.9,14:15.5,9:41.5,17:27.9 [N],23:39.8,18:35.5,22:58.5,22:47.6,18:17.7,22:55.7
#68,Garay Moreira W.  - Garay Moreira W. Renault Clio Rally5,RC5,15:40.0,10:31.0 [N],18:18.4,14:50.8,10:21.0,18:06.4 [N],23:58.3,18:26.9,23:28.8,23:27.6,18:06.7,23:48.4
#69,Rovanperä Kalle  - Halttunen J. Toyota GR Yaris Rally1,RC1 M,10:26.8,6:54.4,12:39.0,10:06.5,6:45.7,12:30.0,17:20.7,14:19.9,18:27.6,17:07.5,14:00.3,17:40.0 [N]
#7,Loubet Pierre-Louis  - Gilsoul N. Ford Puma Rally1,RC1 M,10:24.2,6:54.8,-,-,-,-,-,-,-,-,-,-
#8,Tänak Ott  - Järveoja Martin Ford Puma Rally1,RC1 M,10:16.8,6:59.6,12:32.9,10:02.4,6:39.8,12:12.2,17:22.3,13:59.0,17:40.9,17:22.0,13:47.8,17:20.5
