No.,Crew,Group,ss,Race,cou,time_SS_sec
46,Hangodi  B,RC4,3,Latvia,45,405.4
39,Noller  Re,RC4,3,Latvia,46,407.0
33,Zanin  Mat,RC4,3,Latvia,47,410.4
41,Kramer  A.,RC4,3,Latvia,48,414.3
60,Orgus  Kei,RC4,3,Latvia,49,414.6
26,Nore  Ola ,RC4,3,Latvia,50,414.7
61,Zakmans  I,RC2,3,Latvia,51,417.8
32,Raftery  A,RC4,3,Latvia,52,418.1
45,Kreuter  N,RC4,3,Latvia,53,421.2
51,Uger  Serg,RC2,3,Latvia,54,422.8
27,Maior  Nor,RC4,3,Latvia,55,436.1
50,Tiramani  ,RC2,3,Latvia,56,456.9
40,Zeiringer ,RC4,3,Latvia,57,984.4
59,Schwarz  F,RC4,3,Latvia,58,984.4
5,Sesks  M. ,RC2,4,Latvia,1,804.0
1,Paddon  Ha,RC2,4,Latvia,2,809.9
2,Østberg  M,RC2,4,Latvia,3,812.4
7,Heikkilä  ,RC2,4,Latvia,4,818.1
6,Franceschi,RC2,4,Latvia,5,821.4
14,Virves  Ro,RC2,4,Latvia,6,823.5
8,Linnamäe  ,RC2,4,Latvia,7,824.0
9,McErlean  ,RC2,4,Latvia,8,825.1
3,Llarena  E,RC2,4,Latvia,9,832.1
17,Pryce  Osi,RC2,4,Latvia,10,835.1
4,Mabellini ,RC2,4,Latvia,11,837.7
10,Mareš  Fil,RC2,4,Latvia,12,839.1
11,Cais  Erik,RC2,4,Latvia,13,840.3
15,Campedelli,RC2,4,Latvia,14,840.5
12,Rådström  ,RC2,4,Latvia,15,841.3
18,Battistoll,RC2,4,Latvia,16,844.1
16,László  Ma,RC2,4,Latvia,17,848.6
22,Armstrong ,RC3,4,Latvia,18,854.3
19,Kołtun  J.,RC2,4,Latvia,19,880.6
24,Parys  Pio,RC3,4,Latvia,20,884.8
56,Laskowski ,RC3,4,Latvia,21,886.2
53,Terlecki  ,RC2,4,Latvia,22,890.5
23,Matulka  J,RC3,4,Latvia,23,892.3
50,Tiramani  ,RC2,4,Latvia,24,896.3
25,Soria  Pau,RC3,4,Latvia,25,903.2
57,Kelly  Eam,RC3,4,Latvia,26,910.9
20,Cuzma  Bog,RC2,4,Latvia,27,916.9
52,Mauro  Ale,RC2,4,Latvia,28,921.3
26,Nore  Ola ,RC4,4,Latvia,29,921.8
37,Vaher  Jas,RC4,4,Latvia,30,925.6
28,Hansen  Vi,RC4,4,Latvia,31,926.0
48,Yamamoto  ,RC4,4,Latvia,32,928.5
54,Potiiko  S,RC2,4,Latvia,33,929.9
38,Sei  Karl-,RC4,4,Latvia,34,931.2
55,Korzun  An,RC2,4,Latvia,35,931.7
27,Maior  Nor,RC4,4,Latvia,36,933.4
31,McRae  Max,RC4,4,Latvia,37,934.4
