No.,Crew,Group,ss,Race,cou,time_SS_sec
8,Marczyk  M,RC2,1,Hungary,1,96.9
3,Sesks  M. ,RC2,1,Hungary,2,97.4
10,Cais  Erik,RC2,1,Hungary,3,97.9
1,Østberg  M,RC2,1,Hungary,4,98.3
2,Llarena  E,RC2,1,Hungary,5,98.3
15,Turán  Fri,RC2,1,Hungary,6,98.4
6,Mareš  Fil,RC2,1,Hungary,7,98.5
14,Vincze  Fe,RC2,1,Hungary,8,98.6
5,Bonato  Yo,RC2,1,Hungary,9,99.2
16,Hadik  And,RC2,1,Hungary,10,99.2
7,Csomós  Mi,RC2,1,Hungary,11,99.3
4,Franceschi,RC2,1,Hungary,12,99.6
11,László  Ma,RC2,1,Hungary,13,99.6
20,Michelisz ,RC2,1,Hungary,14,101.0
32,Német  Gáb,RC2,1,Hungary,15,101.2
19,Allen  Phi,RC2,1,Hungary,16,102.0
17,Bodolai  L,RC2,1,Hungary,17,102.1
12,Cuzma  Bog,RC2,1,Hungary,18,105.2
22,Daprà  Rob,RC4,1,Hungary,19,105.2
24,Schulz  Ti,RC4,1,Hungary,20,105.4
29,Herczig  P,RC4,1,Hungary,21,106.0
31,Hangodi  B,RC4,1,Hungary,22,106.1
21,Maior  Nor,RC4,1,Hungary,23,106.4
33,Kohn  Fili,RC3,1,Hungary,24,106.6
27,Johansson ,RC4,1,Hungary,25,106.7
28,Škulj  Mar,RC4,1,Hungary,26,107.0
26,McRae  Max,RC4,1,Hungary,27,107.1
25,Zanin  Mat,RC4,1,Hungary,28,107.5
23,Nore  Ola ,RC4,1,Hungary,29,109.2
37,Sugar  Cri,RC4,1,Hungary,30,109.6
35,Berta  Lás,RC4,1,Hungary,31,111.4
34,Rada  Mart,RGT,1,Hungary,32,111.8
36,Viszlo  Cs,RC4,1,Hungary,33,111.8
30,Kreuter  N,RC4,1,Hungary,34,113.5
9,McErlean  ,RC2,1,Hungary,35,143.1
18,Trencsényi,RC2,1,Hungary,36,165.2
7,Csomós  Mi,RC2,2,Hungary,1,633.4
14,Vincze  Fe,RC2,2,Hungary,2,640.3
1,Østberg  M,RC2,2,Hungary,3,640.6
8,Marczyk  M,RC2,2,Hungary,4,647.0
10,Cais  Erik,RC2,2,Hungary,5,647.9
2,Llarena  E,RC2,2,Hungary,6,651.2
5,Bonato  Yo,RC2,2,Hungary,7,651.6
3,Sesks  M. ,RC2,2,Hungary,8,655.6
15,Turán  Fri,RC2,2,Hungary,9,658.7
16,Hadik  And,RC2,2,Hungary,10,660.3
32,Német  Gáb,RC2,2,Hungary,11,660.4
20,Michelisz ,RC2,2,Hungary,12,665.1
6,Mareš  Fil,RC2,2,Hungary,13,669.3
17,Bodolai  L,RC2,2,Hungary,14,680.1
19,Allen  Phi,RC2,2,Hungary,15,685.9
11,László  Ma,RC2,2,Hungary,16,686.3
4,Franceschi,RC2,2,Hungary,17,687.2
33,Kohn  Fili,RC3,2,Hungary,18,688.1
21,Maior  Nor,RC4,2,Hungary,19,692.0
22,Daprà  Rob,RC4,2,Hungary,20,693.8
31,Hangodi  B,RC4,2,Hungary,21,696.9
24,Schulz  Ti,RC4,2,Hungary,22,697.9
27,Johansson ,RC4,2,Hungary,23,707.3
26,McRae  Max,RC4,2,Hungary,24,709.5
29,Herczig  P,RC4,2,Hungary,25,709.9
25,Zanin  Mat,RC4,2,Hungary,26,710.4
28,Škulj  Mar,RC4,2,Hungary,27,712.5
12,Cuzma  Bog,RC2,2,Hungary,28,716.8
37,Sugar  Cri,RC4,2,Hungary,29,721.8
35,Berta  Lás,RC4,2,Hungary,30,727.3
36,Viszlo  Cs,RC4,2,Hungary,31,741.9
34,Rada  Mart,RGT,2,Hungary,32,779.6
30,Kreuter  N,RC4,2,Hungary,33,783.6
23,Nore  Ola ,RC4,2,Hungary,34,900.7
18,Trencsényi,RC2,2,Hungary,35,922.2
7,Csomós  Mi,RC2,3,Hungary,1,772.1
1,Østberg  M,RC2,3,Hungary,2,774.9
14,Vincze  Fe,RC2,3,Hungary,3,776.7
10,Cais  Erik,RC2,3,Hungary,4,780.5
8,Marczyk  M,RC2,3,Hungary,5,782.1
5,Bonato  Yo,RC2,3,Hungary,6,784.3
3,Sesks  M. ,RC2,3,Hungary,7,794.0
16,Hadik  And,RC2,3,Hungary,8,796.6
15,Turán  Fri,RC2,3,Hungary,9,798.1
4,Franceschi,RC2,3,Hungary,10,801.5
11,László  Ma,RC2,3,Hungary,11,813.4
32,Német  Gáb,RC2,3,Hungary,12,815.8
20,Michelisz ,RC2,3,Hungary,13,816.8
17,Bodolai  L,RC2,3,Hungary,14,827.3
18,Trencsényi,RC2,3,Hungary,15,837.5
33,Kohn  Fili,RC3,3,Hungary,16,841.6
23,Nore  Ola ,RC4,3,Hungary,17,842.4
24,Schulz  Ti,RC4,3,Hungary,18,846.1
21,Maior  Nor,RC4,3,Hungary,19,847.4
22,Daprà  Rob,RC4,3,Hungary,20,851.2
26,McRae  Max,RC4,3,Hungary,21,854.2
27,Johansson ,RC4,3,Hungary,22,858.7
12,Cuzma  Bog,RC2,3,Hungary,23,860.3
31,Hangodi  B,RC4,3,Hungary,24,860.9
25,Zanin  Mat,RC4,3,Hungary,25,863.5
28,Škulj  Mar,RC4,3,Hungary,26,866.1
29,Herczig  P,RC4,3,Hungary,27,868.8
