,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
#32,Kremer Armin - Kremer Ella Škoda Fabia RS Rally2,RC2,13:27.2,16:38.3,6:12.1,5:19.3,13:20.5,17:03.9,6:06.6,5:27.6,14:20.0,5:04.4,6:50.2,9:24.8,14:29.8,5:04.8,6:50.5,9:38.2,8:06.0,9:29.8,7:53.0,9:22.8
#33,Evans Elfyn - Martin Scott Toyota GR Yaris Rally1,RC1,12:10.0,15:22.3,5:34.1,4:50.0,12:11.6,15:34.0,5:29.8,4:56.3,12:50.8,4:33.1,5:56.5,8:28.0,13:02.1,4:35.6,5:57.7,8:33.8,7:01.3,8:21.0,7:07.2,8:19.1
#34,Miele Mauro - Beltrame Luca Škoda Fabia RS Rally2,RC2,14:02.4,17:03.5,6:09.4,5:19.2,13:41.0,17:26.5,6:11.9,5:32.3,14:58.3,5:04.2,6:48.8,9:25.7,15:07.2,5:04.3,6:52.4,9:41.5,7:55.9,9:29.2,-,-
#35,Keferböck Johannes - Minor Ilka Škoda Fabia RS Rally2,RC2,13:53.0,17:00.7,6:20.5,5:27.7,13:42.3,17:36.6,6:19.5,5:39.8,14:47.9,5:14.4,7:04.3,9:38.3,14:55.2,5:15.3,6:57.5,9:57.7,8:13.8,9:43.6,8:05.1,9:48.3
#36,Cachón Alejandro - Jandrín Citroën C3 Rally2,RC2,13:12.9,16:05.1,6:00.3,5:09.7,12:40.6,16:15.2,5:55.7,5:13.9,-,-,-,-,-,-,-,-,7:37.5,8:59.4,7:29.2,8:38.0
#36,Cachón Alejandro - Jandrín Citroën C3 Rally2  [SR],RC2,-,-,-,-,-,-,-,-,23:28.7 [N],14:46.5 [N],16:13.7 [N],18:48.6 [N],23:30.6 [N],14:47.7 [N],16:15.4 [N],18:52.4 [N],-,-,-,-
#37,Herczig Norbert - Ferencz Ramón Škoda Fabia Rally2 evo,RC2,13:38.4,16:31.6,6:02.2,5:12.7,13:32.6,20:03.1,6:09.3,5:27.7,14:35.5,4:57.9,6:52.6,9:29.7,14:13.3,4:53.8,6:52.8,9:37.7,7:48.8,9:17.8,7:44.3,9:03.3
#38,O'Brien Patrick - O'Brien Stephen Hyundai i20 N Rally2,RC2,13:46.3,17:07.6,6:23.8,5:27.4,14:09.4,18:15.7,6:22.2,6:16.9,14:52.3,5:13.6,6:51.2,9:42.4,14:28.8,5:11.8,6:54.1,9:50.6,8:06.6,9:46.6,7:50.4,9:23.7
#39,Vossen Henk - van Hoek Radboud Škoda Fabia Rally2 evo,RC2,16:55.0,19:51.8,7:49.7,6:48.4,17:05.8,20:31.0,7:54.3,7:09.5,18:15.1,6:29.9,8:30.9,11:05.6,18:22.5,6:32.2,8:34.1,12:26.1,9:21.4,12:27.5,9:15.6,12:12.6
#4,Lappi Esapekka - Ferm Janne Hyundai i20 N Rally1,RC1 M,12:20.7,15:23.7,5:38.1,4:52.7,12:14.7,15:33.3,5:32.8,4:59.8,12:56.4,4:36.2,6:02.9,8:30.0,13:11.6,4:35.9,6:00.4,8:31.9,7:07.9,8:20.9,7:08.0,8:15.0
