Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
40,49,Anwar  Hamza  /  Brady  Martin  Ford Fiesta Rally3,RC3,00:19:56.7,77.22 10.26,00:04:23.4 00:00:02.2,6
41,37,Herczig  Norbert  /  Ferencz  Ramón  Škoda Fabia Rally2 Evo,RC2,00:20:03.1,76.81 10.51,00:04:29.8 00:00:06.4,6
42,71,Mandić  Igor  /  Ivančić  A.  Renault Clio Rally5,RC5,00:20:05.9,76.63 10.62,00:04:32.6 00:00:02.8,6
43,39,Vossen  Henk  /  Van Hoek  R.  Škoda Fabia Rally2 Evo,RC2,00:20:31.0,75.07 11.60,00:04:57.7 00:00:25.1,6
44,68,Čičko  V.  /  Kokolić  Eugen  Renault Clio Rally5,RC5,00:21:04.5,73.08 12.90,00:05:31.2 00:00:33.5,6
45,67,Lončarić  M.  /  Krnjić  G.  Renault Clio Rally4,RC4,00:22:16.3,69.16 15.70,00:06:43.0 00:01:11.8,6
46,40,Boland  Eamonn  /  Morrissey  M.  Citroën C3 Rally2,RC2,00:25:41.2,59.96 23.68,00:10:07.9 00:03:24.9,6
47,27,Cais  Erik  /  Těšínský  P.  Škoda Fabia RS Rally2,RC2,00:26:11.4,58.81 24.86,00:10:38.1 00:00:30.2,6
47,28,Munster  G.  /  Louka  Louis  Ford Fiesta Rally2 MkII,RC2,00:26:11.4,58.81 24.86,00:10:38.1 00:00:00.0,6
47,29,Linnamäe  Georg  /  Morgan  James  Hyundai i20 N Rally2,RC2,00:26:11.4,58.81 24.86,00:10:38.1 00:00:00.0,6
50,47,Blach  Roberto  /  Barreiro  Mauro  Ford Fiesta Rally3,RC3,00:27:06.4,56.82 27.00,00:11:33.1 00:00:55.0,6
50,51,Kohn  Filip  /  Střeska  T.  Ford Fiesta Rally3,RC3,00:27:06.4,56.82 27.00,00:11:33.1 00:00:00.0,6
50,52,Ravenščak  M.  /  Ravenščak  D.  Ford Fiesta Rally3,RC3,00:27:06.4,56.82 27.00,00:11:33.1 00:00:00.0,6
53,59,Fontana  Matteo  /  Arnaboldi  A.  Peugeot 208 Rally4,RC4,00:28:32.4,53.97 30.35,00:12:59.1 00:01:26.0,6
54,70,Šekuljica  S.  /  Petrović  Damir  Renault Clio Rally5,RC5,00:30:05.9,51.17 33.99,00:14:32.6 00:01:33.5,6
