Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
46,#34,Martínez Fontena J. - Alvarez Nicholson A. Škoda Fabia Rally2 evo  [SR],RC2,16:15.2 [N],+10:20.1 +8:41.6,43.3 52.9,13
47,#63,Vaher Jaspar - Mitendorf Evelin Ford Fiesta Rally4  [SR],RC4,17:04.0 [N],+11:08.9 +48.8,41.2 57.0,13
47,#64,Sei Karl-Markus - Leotoots Martin Peugeot 208 Rally4  [SR],RC4,17:04.0 [N],+11:08.9 +0.0,41.2 57.0,13
47,#66,Lempu Kevin - Rahumeel Andre Ford Fiesta Rally4  [SR],RC4,17:04.0 [N],+11:08.9 +0.0,41.2 57.0,13
1,#69,Rovanperä Kalle - Halttunen Jonne Toyota GR Yaris Rally1,RC1 M,7:58.5,,124.0,14
2,#11,Neuville Thierry - Wydaeghe Martijn Hyundai i20 N Rally1,RC1 M,8:02.3,+3.8 +3.8,123.0 0.23,14
3,#4,Lappi Esapekka - Ferm Janne Hyundai i20 N Rally1,RC1 M,8:05.2,+6.7 +2.9,122.3 0.41,14
4,#33,Evans Elfyn - Martin Scott Toyota GR Yaris Rally1,RC1 M,8:06.4,+7.9 +1.2,122.0 0.48,14
5,#3,Suninen Teemu - Markkula Mikko Hyundai i20 N Rally1,RC1 M,8:11.9,+13.4 +5.5,120.6 0.81,14
6,#18,Katsuta Takamoto - Johnston Aaron Toyota GR Yaris Rally1,RC1 M,8:13.3,+14.8 +1.4,120.3 0.90,14
7,#8,Tänak Ott - Järveoja Martin Ford Puma Rally1,RC1 M,8:15.8,+17.3 +2.5,119.7 1.05,14
8,#7,Loubet Pierre-Louis - Gilsoul N. Ford Puma Rally1,RC1 M,8:19.6,+21.1 +3.8,118.8 1.28,14
9,#20,Solberg Oliver - Edmondson Elliott Škoda Fabia RS Rally2,RC2,8:23.0,+24.5 +3.4,117.9 1.49,14
10,#29,Marczyk Mikołaj - Gospodarczyk S. Škoda Fabia RS Rally2,RC2,8:28.8,+30.3 +5.8,116.6 1.84,14
11,#23,Mikkelsen Andreas - Eriksen T. Škoda Fabia RS Rally2,RC2,8:29.7,+31.2 +0.9,116.4 1.89,14
12,#22,Lindholm Emil - Hämäläinen Reeta Hyundai i20 N Rally2,RC2,8:30.6,+32.1 +0.9,116.2 1.95,14
13,#27,Bulacia Marco - Vallejo Diego Škoda Fabia RS Rally2,RC2,8:31.2,+32.7 +0.6,116.1 1.98,14
14,#24,Pajari Sami - Mälkönen Enni Škoda Fabia RS Rally2,RC2,8:31.9,+33.4 +0.7,115.9 2.03,14
15,#21,Greensmith Gus - Andersson Jonas Škoda Fabia RS Rally2,RC2,8:32.8,+34.3 +0.9,115.7 2.08,14
16,#26,Virves Robert - Drew Craig Ford Fiesta Rally2,RC2,8:33.8,+35.3 +1.0,115.5 2.14,14
17,#25,Kaur Egon - Viilo Jakko Škoda Fabia RS Rally2,RC2,8:34.6,+36.1 +0.8,115.3 2.19,14
18,#31,McErlean Josh - Fulton James Hyundai i20 N Rally2,RC2,8:35.1,+36.6 +0.5,115.2 2.22,14
19,#35,Bulacia B. - Coronado Jiménez A. Škoda Fabia RS Rally2,RC2,8:41.1,+42.6 +6.0,113.9 2.58,14
20,#36,Fernández Emilio - Rozada Borja Škoda Fabia Rally2 evo,RC2,8:42.6,+44.1 +1.5,113.5 2.68,14
21,#37,Koik Priit - Tamm Kristo Škoda Fabia Rally2 evo,RC2,8:49.3,+50.8 +6.7,112.1 3.08,14
22,#52,Creighton William - Regan Liam Ford Fiesta Rally3,RC3,8:54.9,+56.4 +5.6,110.9 3.42,14
23,#50,Korhola Benjamin - Kelander Pekka Ford Fiesta Rally3,RC3,8:58.1,+59.6 +3.2,110.3 3.62,14
24,#54,Pellier Laurent - Bronner Kévin Ford Fiesta Rally3,RC3,9:01.5,+1:03.0 +3.4,109.6 3.82,14
24,#58,Munster Grégoire - Louka Louis Ford Fiesta Rally3,RC3,9:01.5,+1:03.0 +0.0,109.6 3.82,14
26,#38,Kasari Kaspar - Raidma Rainis Škoda Fabia R5,RC2,9:01.9,+1:03.4 +0.4,109.5 3.85,14
27,#47,Korhonen Roope - Viinikka Anssi Ford Fiesta Rally3,RC3,9:02.2,+1:03.7 +0.3,109.4 3.87,14
28,#48,Herranen Toni - Lukka Mikko Ford Fiesta Rally3,RC3,9:05.5,+1:07.0 +3.3,108.8 4.07,14
29,#49,Türkkan Ali - Erdener Burak Ford Fiesta Rally3,RC3,9:11.4,+1:12.9 +5.9,107.6 4.42,14
30,#40,Kremer Armin - Kremer Ella Škoda Fabia RS Rally2,RC2,9:16.0,+1:17.5 +4.6,106.7 4.70,14
31,#57,Kelly Eamonn - Mohan Conor Ford Fiesta Rally3,RC3,9:20.5,+1:22.0 +4.5,105.8 4.98,14
32,#53,Domínguez Diego - Peñate Rogelio Ford Fiesta Rally3,RC3,9:20.8,+1:22.3 +0.3,105.8 4.99,14
33,#39,Villanueva A. - Murado González J. Škoda Fabia RS Rally2,RC2,9:22.5,+1:24.0 +1.7,105.5 5.10,14
34,#62,Kohn Filip - Woodburn Tom Ford Fiesta Rally3,RC3,9:23.3,+1:24.8 +0.8,105.3 5.15,14
35,#60,Mauro Sánchez A. - Sanjuan de Eusebio D. Škoda Fabia Rally2 evo,RC2,9:29.2,+1:30.7 +5.9,104.2 5.50,14
36,#65,Jürgenson Romet - Oja Siim Ford Fiesta Rally4,RC4,9:39.5,+1:41.0 +10.3,102.4 6.13,14
37,#55,Blach Roberto - Barreiro Mauro Ford Fiesta Rally3,RC3,9:40.5,+1:42.0 +1.0,102.2 6.19,14
38,#59,Anwar Hamza - Kihurani Alexander Ford Fiesta Rally3,RC3,9:49.0,+1:50.5 +8.5,100.7 6.71,14
39,#51,Cumiskey Brendan - Kierans Arthur Ford Fiesta Rally3,RC3,10:00.4,+2:01.9 +11.4,98.8 7.40,14
