SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
00:03:09.7,00:13:57.4,00:09:21.4,00:10:48.6,00:14:09.2,00:09:29.2,00:10:45.9,00:04:48.2,00:06:02.1,00:06:07.7,00:05:57.2,00:06:01.8,00:06:20.3,00:08:29.7,00:06:11.9,00:08:20.3,00:03:05.8,00:06:28.4,00:10:03.7,00:06:22.0,00:09:56.7
00:03:10.4,00:14:05.3,00:09:27.3,00:10:45.2,00:14:06.6,00:09:36.8,00:10:48.1,00:04:47.5,00:06:02.4,00:06:09.5,00:05:56.9,00:06:01.5,00:06:17.5,00:08:31.9,00:06:11.7,00:08:17.1,00:03:06.5,00:06:25.7,00:10:03.2,00:06:19.2,00:09:56.6
00:03:13.3,00:14:00.3,00:09:26.9,00:10:46.6,00:14:11.7,00:09:32.7,00:12:00.6,00:04:54.4,00:06:04.9,00:06:19.8,00:06:08.0,00:06:15.1,00:06:18.7,00:08:34.6,00:06:11.8,00:08:20.2,00:03:11.0,00:06:32.4,00:10:06.8,00:06:22.5,00:10:00.6
00:03:11.6,00:14:04.8,00:09:26.7,00:10:52.0,00:14:15.1,00:09:35.7,00:11:26.1,00:04:53.1,00:06:05.4,00:06:12.3,00:06:02.9,00:06:08.2,00:06:27.6,00:08:33.8,00:06:16.6,00:08:27.7,00:03:11.0,00:06:34.7,00:10:16.7,00:06:28.8,00:10:01.6
00:03:13.1,00:14:11.2,00:09:27.6,00:10:48.0,00:14:17.8,00:09:29.6,00:11:43.4,00:04:49.7,00:06:06.7,00:06:09.4,00:06:02.0,00:06:02.9,00:06:19.1,00:08:31.2,00:06:13.6,00:08:24.2,00:03:09.2,00:06:30.8,00:10:09.8,00:06:22.7,00:09:58.8
00:03:09.1,00:14:13.4,00:09:23.0,00:10:41.5,00:14:19.9,00:09:34.1,00:11:26.7,00:04:51.5,00:06:06.8,00:06:06.7,00:06:01.0,00:06:03.4,00:06:19.1,00:18:23.0,00:16:08.6,00:18:17.1,00:13:05.8,00:06:34.1,00:10:10.1,00:06:26.7,00:09:59.3
00:03:09.0,00:14:41.8,00:09:28.9,00:10:47.1,00:14:22.9,00:09:35.2,00:11:31.7,00:04:48.8,00:06:07.2,00:06:09.2,00:06:00.9,00:06:01.5,00:06:19.7,00:08:28.8,00:06:13.3,00:08:20.1,00:03:09.9,00:06:32.7,00:10:12.2,00:06:22.1,00:09:57.2
00:03:12.8,00:14:16.6,00:09:39.8,00:10:58.4,00:14:34.6,00:09:54.8,00:11:45.5,00:04:51.0,00:06:10.6,00:06:10.0,00:06:07.7,00:06:08.9,00:06:23.8,00:29:21.8,00:06:15.9,00:08:38.0,00:03:11.5,00:06:35.4,00:10:15.6,00:06:29.2,00:10:03.8
00:03:11.0,00:14:30.3,00:09:41.9,00:11:07.7,00:14:32.0,00:09:40.6,00:11:36.9,00:04:54.1,00:06:06.5,00:06:13.0,00:06:03.3,00:06:05.2,00:06:21.5,00:08:35.1,00:06:14.5,00:08:28.3,00:03:09.8,00:06:34.4,00:10:14.9,00:06:27.7,00:10:07.7
00:03:03.1,00:13:27.5,00:08:51.7,00:10:21.7,00:13:21.1,00:08:50.1,00:10:07.9,00:04:33.2,00:05:43.3,00:05:48.1,00:05:36.6,00:05:42.6,00:05:59.5,00:08:06.4,00:05:51.1,00:07:55.5,00:03:02.6,00:06:05.0,00:09:28.2,00:05:57.7,00:09:17.0
00:03:13.9,00:14:51.1,00:09:51.9,00:11:31.0,00:14:57.8,00:09:58.7,00:11:56.2,00:05:03.2,00:06:21.4,00:06:30.5,00:06:12.7,00:06:24.1,00:16:15.2,00:18:23.0,00:16:08.6,00:18:17.1,00:13:05.8,00:06:36.1,00:10:30.4,00:06:31.0,00:10:19.0
00:03:11.6,00:14:26.2,00:09:42.0,00:11:01.2,00:14:32.8,00:09:42.6,00:11:52.8,00:04:55.0,00:06:09.4,00:06:24.3,00:06:04.6,00:06:23.3,00:06:28.3,00:08:41.1,00:06:18.9,00:08:28.8,00:03:11.1,00:06:44.4,00:10:41.6,00:06:34.6,00:10:09.9
00:03:11.9,00:14:22.9,00:09:45.6,00:11:00.6,00:14:41.0,00:09:47.3,00:11:32.7,00:04:58.4,00:06:12.1,00:06:12.4,00:06:05.8,00:06:11.2,00:06:31.1,00:08:42.6,00:06:20.2,00:08:29.0,00:03:11.1,00:06:36.0,-,-,-
00:03:18.9,00:14:32.3,00:09:44.7,00:11:08.4,00:14:55.6,00:09:55.7,00:11:42.0,00:05:00.4,00:06:16.1,00:06:23.6,00:17:51.6,00:06:22.4,00:06:29.9,00:08:49.3,00:06:22.7,00:08:41.6,00:03:15.9,00:06:52.1,00:10:43.4,00:06:38.4,00:10:20.9
00:03:17.5,00:14:55.1,00:10:08.0,00:11:17.1,00:15:23.5,00:10:18.5,00:12:09.4,00:05:06.3,00:06:28.8,00:06:28.1,00:06:24.0,00:06:33.9,00:06:37.7,00:09:01.9,00:06:27.5,00:08:57.4,00:03:13.3,00:06:50.6,00:10:49.7,00:06:43.8,00:10:30.9
00:03:21.3,00:15:10.7,00:10:27.9,00:11:51.8,00:15:19.6,00:10:26.9,00:12:17.4,00:05:08.3,00:06:35.8,00:06:37.7,00:06:30.2,00:06:32.5,00:06:49.0,00:09:22.5,00:06:45.2,00:09:10.4,00:03:17.6,00:07:03.7,00:11:04.5,00:06:59.4,00:11:02.1
00:13:09.0,00:14:46.8,00:09:58.8,00:11:32.4,00:24:06.6,00:19:29.2,00:20:35.3,00:14:46.3,00:06:34.6,00:07:14.1,00:06:25.8,00:06:35.9,00:06:46.2,00:09:16.0,00:06:42.4,00:09:02.6,00:03:19.1,00:10:12.7,00:11:08.0,00:07:03.5,00:10:52.3
00:03:18.8,00:15:12.9,00:10:22.6,00:11:40.2,00:15:32.4,00:10:25.2,00:12:13.1,00:05:11.8,00:06:25.8,00:06:50.6,00:06:52.2,00:06:39.4,00:06:45.7,00:14:18.2,00:07:05.9,00:09:59.8,00:03:26.9,00:07:17.6,00:11:22.3,00:07:05.8,00:11:07.4
00:03:27.4,00:16:40.1,00:11:17.3,00:13:07.7,00:17:36.8,00:12:01.1,00:13:36.9,00:05:40.8,00:07:14.4,00:07:27.3,00:07:09.5,00:07:16.2,00:07:24.6,00:10:20.5,00:07:28.2,00:10:15.1,00:03:23.6,00:07:41.2,00:12:12.5,00:07:35.2,00:12:08.0
00:03:17.1,00:14:55.7,00:09:56.8,00:11:21.3,00:15:10.9,00:10:07.7,00:11:46.7,00:05:02.0,00:06:27.8,00:06:28.5,00:06:25.5,00:06:28.4,00:06:39.9,00:09:02.2,00:06:34.1,00:08:55.3,00:03:16.2,00:06:59.9,00:10:42.6,00:06:53.9,00:10:43.7
00:03:19.2,00:15:00.3,00:10:09.5,00:11:25.4,00:15:33.2,00:10:30.1,00:11:48.6,00:05:08.4,00:06:30.9,00:06:35.7,00:06:28.4,00:06:31.7,00:06:47.3,00:09:05.5,00:06:43.0,00:08:59.9,00:03:18.3,00:06:56.9,00:10:59.3,00:06:54.5,00:11:12.9
00:03:19.3,00:15:31.7,00:10:23.5,00:11:47.2,00:15:45.8,00:10:39.5,00:12:08.2,00:05:24.5,00:06:33.0,00:06:36.8,00:06:28.0,00:06:30.0,00:06:49.7,00:09:11.4,00:06:39.2,00:09:00.9,00:03:16.1,00:07:02.7,00:10:48.9,00:06:57.5,00:10:57.7
00:03:13.9,00:14:46.9,00:09:55.1,00:11:24.0,00:15:03.3,00:20:07.7,00:21:46.7,00:15:02.0,00:06:24.8,00:06:33.8,00:06:25.3,00:06:26.1,00:06:41.3,00:08:58.1,00:06:35.8,00:08:50.1,00:03:16.0,00:06:54.8,00:10:50.6,00:06:48.4,00:10:37.1
00:03:25.7,00:15:51.6,00:10:54.3,00:12:25.3,00:16:57.4,00:11:41.7,00:12:58.7,00:05:29.6,00:06:58.2,00:07:11.3,00:06:58.5,00:07:08.6,00:07:18.3,00:10:00.4,00:07:13.5,00:09:45.6,00:03:28.1,00:07:32.6,00:12:05.4,00:07:23.1,00:11:54.9
00:03:14.8,00:14:53.9,00:10:09.7,00:11:28.0,00:25:25.0,00:20:10.5,00:21:35.5,00:15:01.6,00:06:20.9,00:06:28.3,00:06:23.5,00:06:26.6,00:06:36.8,00:08:54.9,00:06:34.9,00:08:50.7,00:03:14.6,00:06:50.1,00:10:37.6,00:06:45.6,00:10:29.4
00:03:14.3,00:15:16.7,00:10:13.7,00:11:38.9,00:15:31.2,00:10:17.6,00:11:51.4,00:05:15.5,00:06:30.4,00:06:39.6,00:06:30.7,00:06:32.4,00:06:49.9,00:09:20.8,00:06:48.7,00:09:08.2,00:03:14.0,00:06:59.9,00:10:59.8,00:06:55.8,00:10:54.1
00:03:15.4,00:15:05.1,00:10:17.2,00:11:31.2,00:15:27.8,00:10:10.5,00:11:37.9,00:05:08.5,00:06:25.4,00:06:35.9,00:06:23.2,00:06:27.4,00:06:40.4,00:09:01.5,00:06:36.9,00:08:52.5,00:03:15.8,00:06:54.4,00:10:47.5,00:06:44.1,00:10:32.1
00:03:25.1,00:15:39.9,00:11:11.7,00:12:11.6,00:16:22.5,00:11:19.5,00:12:27.4,00:05:28.1,00:06:56.0,00:06:59.4,00:06:58.4,00:06:56.0,00:07:05.0,00:09:40.5,00:07:00.5,00:09:36.7,00:03:29.1,00:07:26.7,00:11:40.8,00:07:22.7,00:11:38.9
00:03:24.2,00:19:22.9,00:11:01.5,00:12:14.1,00:16:37.5,00:11:03.8,00:12:19.9,00:05:19.3,00:06:45.9,00:06:50.5,00:06:47.9,00:06:48.4,00:07:00.6,00:12:35.8,00:06:57.8,00:09:33.6,00:03:19.9,00:07:13.1,00:11:22.7,00:07:07.9,00:11:13.2
00:03:21.0,00:45:37.3,00:10:42.9,00:11:59.9,00:16:00.6,00:10:39.4,00:12:28.7,00:05:19.2,00:06:39.9,00:06:45.4,00:06:38.4,00:06:43.1,00:06:58.6,00:09:20.5,00:06:49.0,00:09:09.7,00:03:22.8,00:07:10.0,00:11:09.4,00:06:58.9,-
00:03:16.8,00:15:01.2,00:10:19.3,00:11:26.2,00:15:25.0,00:10:15.4,00:11:35.5,00:05:01.6,00:06:25.4,00:06:28.8,00:06:27.1,00:06:27.0,00:06:52.6,00:09:01.5,00:06:38.7,00:08:49.1,00:03:15.0,00:06:53.0,00:10:44.6,00:06:49.1,00:10:29.7
00:03:23.3,00:15:59.5,00:11:03.8,00:12:23.0,00:16:34.8,00:12:01.7,00:12:58.1,00:05:24.7,00:06:50.8,00:06:55.8,00:06:51.9,00:06:53.1,00:07:20.3,00:09:49.0,00:07:21.2,00:09:45.7,00:03:29.0,00:07:20.7,00:11:25.1,00:07:20.9,00:11:34.6
00:03:18.7,00:15:56.1,00:10:54.7,00:11:55.1,00:16:35.6,00:10:42.2,00:12:11.8,00:05:21.6,00:06:34.9,00:06:41.8,00:06:34.1,00:06:33.8,00:07:00.3,00:09:29.2,00:06:52.8,00:09:05.5,00:03:19.4,00:07:03.5,00:11:01.4,00:06:52.6,00:10:47.9
00:03:23.6,00:15:51.3,00:10:39.2,00:11:55.3,00:15:50.7,00:10:32.6,00:12:06.3,00:05:18.1,00:06:37.6,00:06:47.9,00:06:34.3,00:06:38.5,00:06:50.1,00:09:23.3,00:06:45.1,00:09:11.9,00:03:23.8,00:07:06.0,00:11:11.4,00:07:01.6,00:11:00.5
00:03:30.6,00:15:21.9,00:10:35.3,00:11:38.3,00:17:40.4,00:10:49.3,00:11:59.5,00:05:19.8,00:06:48.1,00:06:44.2,00:06:42.0,00:06:52.1,00:17:04.0,00:19:39.5,00:17:01.0,00:19:25.2,00:13:32.4,00:07:09.8,-,-,-
00:03:27.3,00:15:38.5,00:11:00.2,00:11:50.9,00:16:24.1,00:10:56.8,00:12:07.1,00:05:20.4,00:06:45.0,00:06:42.5,00:06:39.5,00:06:36.5,00:17:04.0,00:19:39.5,00:17:01.0,00:19:25.2,00:13:32.4,00:07:14.9,00:11:19.7,00:07:16.9,00:11:07.7
00:03:31.0,00:15:53.1,00:11:11.0,00:12:01.7,00:16:54.1,00:11:08.7,00:12:19.3,00:05:23.6,00:06:51.0,00:06:51.3,00:07:08.0,00:06:45.3,00:07:04.0,00:09:39.5,00:07:01.0,00:09:25.2,00:03:32.4,00:07:18.6,00:11:27.4,00:07:19.9,00:11:14.2
00:03:35.4,00:16:01.3,00:12:08.5,00:12:32.3,00:17:09.9,00:11:20.1,00:12:29.9,00:05:26.4,00:06:55.9,00:16:42.5,00:16:39.5,00:16:36.5,00:17:04.0,00:19:39.5,00:17:01.0,00:19:25.2,00:13:32.4,-,-,-,-
00:03:39.4,00:17:16.8,00:11:49.4,00:12:39.7,00:17:23.4,00:11:31.5,00:15:04.1,00:05:51.1,00:07:14.6,00:07:18.4,00:07:13.7,00:07:16.9,00:07:33.6,00:10:08.9,00:07:19.1,00:10:15.0,00:03:58.2,00:07:48.2,00:12:03.1,00:07:39.6,00:12:16.0
00:03:03.2,00:13:25.2,00:08:49.9,00:10:19.5,00:13:18.7,00:08:46.1,00:10:05.7,00:04:33.9,00:05:39.3,00:05:44.7,00:05:34.2,00:05:37.6,00:05:55.1,00:07:58.5,00:05:48.7,00:07:49.0,00:03:00.0,00:06:00.0,00:09:23.6,00:05:55.3,00:09:14.9
