0,,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
No.,Crew,Group,Race,,,,,,,,,,,,,,,,,,,,,
3,Suninen  T,RC1,Estonia,7,4,6,5,4,6,7,6,5,6,7,5,5,5,6,6,5,6,8,6,7
4,Lappi  Esa,RC1,Estonia,2,5,5,4,2,3,2,4,4,4,2,2,3,3,4,3,2,2,4,2,3
7,Loubet  P.,RC1,Estonia,8,8,7,7,7,7,3,7,8,7,6,6,8,8,7,8,11,8,7,8,6
8,Tänak  Ott,RC1,Estonia,1,1,1,1,6,2,1,1,6,5,5,4,6,7,5,5,9,5,5,7,4
11,Neuville  ,RC1,Estonia,5,2,2,2,4,5,4,5,2,2,4,8,2,2,3,2,3,4,3,3,5
18,Katsuta  T,RC1,Estonia,6,7,8,8,8,8,8,8,7,8,8,7,7,6,8,7,8,7,6,5,8
20,Solberg  O,RC2,Estonia,12,9,9,10,47,46,46,46,9,9,9,9,9,9,9,10,7,44,9,43,11
21,Greensmith,RC2,Estonia,15,12,12,14,13,11,9,9,13,10,22,15,15,15,14,16,13,11,14,14,-
22,Lindholm  ,RC2,Estonia,27,15,13,18,17,13,10,21,12,13,12,16,14,12,13,14,12,13,13,15,16
23,Mikkelsen ,RC2,Estonia,11,10,10,16,10,9,11,11,10,12,11,12,17,11,12,13,6,10,11,10,10
24,Pajari  Sa,RC2,Estonia,13,14,16,11,9,17,12,10,11,16,10,10,10,14,10,9,10,9,10,9,9
25,Kaur  Egon,RC2,Estonia,21,11,15,12,11,12,29,18,14,21,21,21,11,17,11,12,17,14,12,12,15
26,Virves  Ro,RC2,Estonia,16,13,14,17,12,16,13,16,15,18,16,18,20,16,19,17,17,18,20,18,17
27,Bulacia  M,RC2,Estonia,20,16,17,15,14,10,21,13,17,15,15,13,12,13,16,15,14,12,15,13,13
28,Linnamäe  ,RC2,Estonia,10,17,11,9,15,14,14,15,18,11,14,14,12,44,45,45,45,16,16,16,14
29,Marczyk  M,RC2,Estonia,9,23,18,13,16,15,15,12,19,13,13,10,16,10,15,11,16,15,17,11,11
30,Zaldivar  ,RC2,Estonia,19,18,19,19,20,21,22,14,21,17,20,19,19,49,18,21,21,19,19,19,18
