0,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
No.,Driver / Co-driver Vehicle,Group,,,,,,,,,,,,,,,,,,,,,
54,Pellier  Laurent  /  Bronner  Kévin  Ford Fiesta Rally3,RC3,26,32,32,31,29,25,19,29,27,31,24,28,27,24,27,26,26,27,27,24,26
55,Blach  Roberto  /  Barreiro  Mauro  Ford Fiesta Rally3,RC3,41,39,46,43,36,40,39,42,46,44,43,45,41,37,38,39,42,43,43,42,41
56,Rensonnet  Tom  /  Dumont  Loïc  Ford Fiesta Rally3,RC3,40,48,43,44,40,38,38,34,41,40,40,42,39,42,37,38,35,38,40,38,38
57,Kelly  Eamonn  /  Mohan  Conor  Ford Fiesta Rally3,RC3,36,49,39,41,35,33,40,33,39,38,37,40,37,31,35,34,36,37,36,33,-
58,Munster  G.  /  Louka  Louis  Ford Fiesta Rally3,RC3,28,31,33,28,28,26,17,23,27,27,30,27,36,24,28,23,25,26,26,27,24
59,Anwar  Hamza  /  Kihurani  A.  Ford Fiesta Rally3,RC3,38,44,44,45,38,45,42,40,43,43,41,44,43,38,43,41,41,42,41,41,40
60,Mauro  Alejandro  /  Sanjuán  Diego  Škoda Fabia Rally2 Evo,RC2,31,43,41,39,39,35,34,37,36,35,35,34,38,35,36,32,34,33,33,28,29
62,Kohn  Filip  /  Woodburn  Tom  Ford Fiesta Rally3,RC3,39,40,38,40,34,32,30,32,38,39,36,38,35,34,32,36,38,35,37,35,33
63,Vaher  Jaspar  /  Mitendorf  E.  Ford Fiesta Rally4,RC4,45,36,37,33,46,36,28,35,42,37,39,43,47,46,47,47,47,36,-,-,-
64,Sei  Karl-Markus  /  Leotoots  Martin  Peugeot 208 Rally4,RC4,43,38,42,37,37,37,31,36,40,36,38,37,47,46,47,47,47,39,38,39,36
65,Jürgenson  R.  /  Oja  Siim  Ford Fiesta Rally4,RC4,46,42,45,42,41,39,37,38,44,42,45,41,40,36,39,37,43,41,42,40,39
66,Lempu  Kevin  /  Rahumeel  Andre  Ford Fiesta Rally4,RC4,47,45,49,47,43,41,41,41,45,49,48,49,47,46,47,47,47,-,-,-,-
67,Uger  Sergey  /  Uger  Maria  Ford Fiesta R5,RC2,48,47,48,48,44,42,45,45,49,47,47,48,45,40,42,43,44,47,44,46,44
69,Rovanperä  K.  /  Halttunen  Jonne  Toyota GR Yaris Rally1 Hybrid,RC1,4,3,3,3,1,1,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1
