,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
#34,Martínez Fontena J. - Alvarez Nicholson A. Škoda Fabia Rally2 evo  [SR],RC2,-,-,-,-,-,-,-,-,-,-,-,-,16:15.2 [N],18:23.0 [N],16:08.6 [N],18:17.1 [N],13:05.8 [N],-,-,-,-
#35,Bulacia B. - Coronado Jiménez A. Škoda Fabia RS Rally2,RC2,3:11.6,14:26.2,9:42.0,11:01.2,14:32.8,9:42.6,11:52.8,4:55.0,6:09.4,6:24.3,6:04.6,6:23.3,6:28.3,8:41.1,6:18.9,8:28.8,3:11.1,6:44.4,10:41.6,6:34.6,10:09.9
#36,Fernández Emilio - Rozada Borja Škoda Fabia Rally2 evo,RC2,3:11.9,14:22.9,9:45.6,11:00.6,14:41.0,9:47.3,11:32.7,4:58.4,6:12.1,6:12.4,6:05.8,6:11.2,6:31.1,8:42.6,6:20.2,8:29.0,3:11.1,6:36.0,-,-,-
#37,Koik Priit - Tamm Kristo Škoda Fabia Rally2 evo,RC2,3:18.9,14:32.3,9:44.7,11:08.4,14:55.6,9:55.7,11:42.0,5:00.4,6:16.1,6:23.6,17:51.6,6:22.4,6:29.9,8:49.3,6:22.7,8:41.6,3:15.9,6:52.1,10:43.4,6:38.4,10:20.9
#38,Kasari Kaspar - Raidma Rainis Škoda Fabia R5,RC2,3:17.5,14:55.1,10:08.0,11:17.1,15:23.5,10:18.5,12:09.4,5:06.3,6:28.8,6:28.1,6:24.0,6:33.9,6:37.7,9:01.9,6:27.5,8:57.4,3:13.3,6:50.6,10:49.7,6:43.8,10:30.9
#39,Villanueva A. - Murado González J. Škoda Fabia RS Rally2,RC2,3:21.3,15:10.7,10:27.9,11:51.8,15:19.6,10:26.9,12:17.4,5:08.3,6:35.8,6:37.7,6:30.2,6:32.5,6:49.0,9:22.5,6:45.2,9:10.4,3:17.6,7:03.7,11:04.5,6:59.4,11:02.1
#4,Lappi Esapekka - Ferm Janne Hyundai i20 N Rally1,RC1 M,3:03.1,13:26.6,8:55.1,10:20.5,13:20.8,8:50.1,10:04.2,4:34.0,5:43.9,5:48.7,5:36.1,5:41.9,5:58.9,8:05.2,5:52.1,7:52.6,3:00.9,6:02.7,9:29.9,5:56.5,9:18.9
#40,Kremer Armin - Kremer Ella Škoda Fabia RS Rally2,RC2,-,-,-,-,-,-,-,-,6:34.6,7:14.1,6:25.8,6:35.9,6:46.2,9:16.0,6:42.4,9:02.6,3:19.1,10:12.7,11:08.0,7:03.5,10:52.4
#40,Kremer Armin - Kremer Ella Škoda Fabia RS Rally2  [SR],RC2,13:09.0 [N],14:46.8,9:58.8,11:32.4,24:06.6 [N],19:29.2 [N],20:35.3 [N],14:46.3,-,-,-,-,-,-,-,-,-,-,-,-,-
#41,Miele Mauro - Beltrame Luca Škoda Fabia RS Rally2,RC2,3:18.8,15:12.9,10:22.6,11:40.2,15:32.4,10:25.2,12:13.1,5:11.8,6:25.8,6:50.6,6:52.2,6:39.4,6:45.7,14:18.2,7:05.9,9:59.8,3:26.9,7:17.6,11:22.3,7:05.8,11:07.5
