,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,13
No,Crew,Gr/Cl,,,,,,,,,,,,
#4,Lappi Esapekka - Ferm Janne Hyundai i20 N Rally1,RC1 M,1:33.2,5:41.2,11:27.2,5:35.9,13:07.8,18:17.2,20:20.6,19:38.0,11:09.7,19:24.6,17:13.6,12:27.7
#44,Gill Gaurav - Barral Florian Škoda Fabia Rally2 evo,RC2,1:39.2,6:14.8,12:20.6,6:15.6 [N],13:53.5,22:34.9,-,-,-,-,-,-
#44,Gill Gaurav - Barral Florian Škoda Fabia Rally2 evo  [SR],RC2,-,-,-,-,-,-,30:30.8 [N],27:30.7 [N],21:30.5 [N],29:39.4 [N],27:25.5 [N],21:14.9 [N]
#45,Kechagias Giorgos - Kouzionis C. Škoda Fabia Rally2 evo,RC2,1:45.8,6:20.8,13:22.1,6:15.6 [N],14:41.9,20:43.4,23:02.2,18:59.1,13:20.7,29:39.4 [N],-,-
#45,Kechagias Giorgos - Kouzionis C. Škoda Fabia Rally2 evo  [SR],RC2,-,-,-,-,-,-,-,-,-,-,27:25.5 [N],21:14.9 [N]
#46,Panagiotis Roustemis - Petropoulos N. Škoda Fabia RS Rally2,RC2,1:45.2,6:19.1,12:56.2,6:15.6 [N],15:05.3,20:47.3,-,-,-,-,-,-
#47,Velanis Vassileios - Velanis I. Škoda Fabia Rally2 evo,RC2,1:43.6,6:41.5,13:24.2,6:15.6 [N],15:03.9,21:17.0,23:12.6,-,-,-,-,-
#47,Velanis Vassileios - Velanis I. Škoda Fabia Rally2 evo  [SR],RC2,-,-,-,-,-,-,-,27:30.7 [N],21:30.5 [N],29:39.4 [N],27:25.5 [N],21:14.9 [N]
#48,Karellis C. - Panagiotounis E. Citroën C3 Rally2,RC2,1:44.4,6:52.1,13:31.3,6:15.6 [N],15:03.4,20:59.5,23:24.8,19:36.2,12:43.1,22:50.9,19:53.7,12:59.5
#49,Xanthakos Marios - Karathanassis N. Škoda Fabia R5,RC2,1:44.9,7:01.0,14:30.0,6:15.6 [N],19:32.4,21:49.7,23:59.5,19:42.6,-,-,-,-
#50,Díaz-Aboitiz M. - Sanjuan de Eusebio D. Škoda Fabia Rally2 evo,RC2,1:47.8,7:04.2,15:04.6,6:15.6 [N],16:44.9,24:32.4,26:21.4,21:08.6,13:20.7 [N],24:09.7,22:33.5,16:02.9
#51,Vassilakis George - Intzoglou Nikos Ford Fiesta R5,RC2,2:01.8,7:48.5,14:59.0,6:15.6 [N],16:33.8,23:38.0,24:08.7,22:57.4,13:20.7 [N],30:15.5,24:27.6,15:37.6
#53,Karanikolas E. - Kakavas G. Ford Fiesta Rally3,RC3,1:47.6,6:38.6,13:24.2,6:15.6 [N],15:05.7,22:20.8,22:16.6,19:18.5,13:20.7 [N],25:37.8,19:26.3,17:28.8
#54,Halkias Efthimios - Komnos Nikos Renault Clio Rally3,RC3,1:51.2,6:44.9,13:47.9,6:15.6 [N],15:36.2,21:45.4,23:18.8,25:15.2,13:20.7 [N],23:17.0,20:33.6,13:54.1
#55,Galerakis Spiros - Soukoulis K. Ford Fiesta Rally3,RC3,1:56.5,6:53.2,14:13.2,6:15.6 [N],16:14.3,23:50.3,29:50.1,20:12.1,13:20.7 [N],24:26.1,24:58.4,15:01.6
#56,Delaportas Giorgos - Panaritis E. Ford Fiesta Rally3,RC3,1:54.7,7:31.9,14:45.6,6:15.6 [N],-,-,24:30.8,21:13.7,13:20.7 [N],29:22.0,22:23.8,18:40.1
#56,Delaportas Giorgos - Panaritis E. Ford Fiesta Rally3  [SR],RC3,-,-,-,-,25:05.7 [N],31:29.2 [N],-,-,-,-,-,-
#57,Castro Eduardo - Salvat Trías C. Ford Fiesta Rally3,RC3,1:48.8,6:42.8,13:18.2,6:15.6 [N],15:19.8,21:29.2,23:15.1,20:05.8,13:20.7 [N],22:55.8,20:14.3,13:34.0
#58,Türkkan Ali - Erdener Burak Ford Fiesta Rally3,RC3,11:44.7,-,-,-,-,-,-,-,-,-,-,-
#59,Domínguez Diego - Peñate Rogelio Ford Fiesta Rally3,RC3,1:44.3,6:26.7,12:49.8,6:15.6 [N],14:41.5,20:14.6,22:09.0,20:36.4,13:20.7 [N],21:15.0,18:47.2,12:44.7
#6,Sordo Dani - Carrera Cándido Hyundai i20 N Rally1,RC1 M,1:33.4,5:40.8,11:29.1,5:38.1,13:09.3,18:28.3,20:07.4,17:37.3,11:02.7,19:18.8,16:59.4,10:40.3
#60,Creighton William - Regan Liam Ford Fiesta Rally3,RC3,1:41.7,6:38.5,13:43.6,-,-,-,22:00.0,18:52.6,13:20.7 [N],23:25.6,18:22.2,12:58.5
#60,Creighton William - Regan Liam Ford Fiesta Rally3  [SR],RC3,-,-,-,16:15.6 [N],24:32.7 [N],30:14.5 [N],-,-,-,-,-,-
#61,Pellier Laurent - Bronner Kévin Ford Fiesta Rally3,RC3,1:42.2,6:28.0,12:59.5,6:15.6 [N],14:32.7,20:14.5,23:07.7,-,-,-,-,-
#61,Pellier Laurent - Bronner Kévin Ford Fiesta Rally3  [SR],RC3,-,-,-,-,-,-,-,28:52.6 [N],23:20.7 [N],31:15.0 [N],28:22.2 [N],22:44.7 [N]
#62,Rensonnet Tom - Dumont Loïc Ford Fiesta Rally3,RC3,1:43.5,6:37.0,13:37.5,6:15.6 [N],14:57.5,20:54.9,22:54.2,19:35.9,13:20.7 [N],24:09.4,19:47.1,13:51.0
#63,Blach Roberto - Barreiro Mauro Ford Fiesta Rally3,RC3,1:49.2,6:53.7,14:08.4,6:15.6 [N],15:56.5,21:40.0,24:31.1,19:52.6,13:20.7 [N],22:48.3,19:32.9,16:30.8
#64,Kelly Eamonn - Mohan Conor Ford Fiesta Rally3,RC3,1:44.2,7:08.5,13:28.3,6:15.6 [N],15:05.5,20:44.4,22:25.9,19:25.4,13:20.7 [N],22:13.3,19:05.1,13:20.7
#65,Anwar Hamza - Thulin Julia Ford Fiesta Rally3,RC3,1:52.1,6:46.6,13:24.0,6:15.6 [N],15:15.7,20:55.1,25:44.1,19:30.6,13:20.7 [N],22:27.5,-,-
#66,Bruun Sosa Nataniel - Bustos C. Ford Fiesta Rally3,RC3,1:45.7,6:43.1,14:18.6,6:15.6 [N],15:16.7,21:02.9,22:50.9,19:50.2,13:20.7 [N],24:14.7,19:53.4,13:49.1
#67,Philippedes Yorgo - Loudon Stuart Škoda Fabia Rally2 evo,RC2,1:43.6,6:22.6,12:53.7,6:15.6 [N],-,-,-,-,-,-,-,-
#68,Panteli Petros - Laos Pambos Citroën DS3 R5,RC2,1:52.8,6:40.9,13:33.3,6:15.6 [N],15:19.5,25:18.7,23:04.2,20:53.5,13:20.7 [N],-,-,-
#68,Panteli Petros - Laos Pambos Citroën DS3 R5  [SR],RC2,-,-,-,-,-,-,-,-,-,32:40.4 [N],30:07.2 [N],23:47.3 [N]
#69,Rovanperä Kalle - Halttunen Jonne Toyota GR Yaris Rally1,RC1 M,1:32.9,5:39.9,11:16.8,5:38.1,13:11.9,18:16.3,19:46.5,17:12.1,10:47.6,19:07.5,16:43.5,10:27.4
#7,Loubet Pierre-Louis - Gilsoul N. Ford Puma Rally1,RC1 M,1:34.6,-,-,-,-,-,-,-,-,-,-,-
#70,Campagnoli Gabriele - Arena Nicola Hyundai i20 N Rally2,RC2,1:50.3,6:51.5,13:48.8,6:15.6 [N],15:46.3,21:37.5,23:50.2,20:12.2,13:20.7 [N],24:11.3,54:55.9,14:13.8
#71,Pyck Filip - Dehouck Peter Ford Fiesta R5,RC2,1:46.3,7:20.5,14:41.8,6:15.6 [N],17:18.8,23:46.7,24:50.4,20:52.3,13:20.7 [N],24:19.0,21:17.2,15:18.6
#72,Dolofan Cristian - Pavel Traian Citroën C3 Rally2,RC2,1:48.6,7:19.5,14:24.3,6:15.6 [N],16:17.4,22:46.3,24:16.6,24:34.6,13:20.7 [N],23:36.9,20:51.5,14:36.5
