Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
40,57,Castro  Eduardo  /  Salvat Trías  C.  Ford Fiesta Rally3,RC3,00:15:19.8,82.31 7.04,00:02:28.1 00:00:00.3,5
41,54,Halkias  E.  /  Komnos  Nikolaos  Renault Clio Rally3,RC3,00:15:36.2,80.87 7.82,00:02:44.5 00:00:16.4,5
42,79,Fontana  Matteo  /  Arnaboldi  A.  Peugeot 208 Rally4,RC4,00:15:40.5,80.50 8.03,00:02:48.8 00:00:04.3,5
43,74,Caragui  Eugen  /  Fus  Robert  Citroën C3 Rally2,RC2,00:15:44.2,80.18 8.20,00:02:52.5 00:00:03.7,5
44,70,Campagnoli  G.  /  Arena  Nicola  Hyundai i20 N Rally2,RC2,00:15:46.3,80.00 8.30,00:02:54.6 00:00:02.1,5
45,76,Chatzimarkos  P.  /  Tsaousoglou  M.  Peugeot 208 Rally4,RC4,00:15:50.7,79.63 8.51,00:02:59.0 00:00:04.4,5
46,63,Blach  Roberto  /  Barreiro  Mauro  Ford Fiesta Rally3,RC3,00:15:56.5,79.15 8.79,00:03:04.8 00:00:05.8,5
47,75,Lefkaditis  S.  /  Akratos  E.  Peugeot 208 Rally4,RC4,00:16:09.7,78.07 9.42,00:03:18.0 00:00:13.2,5
48,55,Galerakis  S.  /  Soukoulis  K.  Ford Fiesta Rally3,RC3,00:16:14.3,77.71 9.63,00:03:22.6 00:00:04.6,5
49,72,Dolofan  C.  /  Pavel  Traian  Citroën C3 Rally2,RC2,00:16:17.4,77.46 9.78,00:03:25.7 00:00:03.1,5
50,51,Vassilakis  G.  /  Intzoglou  N.  Ford Fiesta R5,RC2,00:16:33.8,76.18 10.56,00:03:42.1 00:00:16.4,5
51,50,Díaz Aboitiz  M.  /  Sanjuán  Diego  Škoda Fabia Rally2 Evo,RC2,00:16:44.9,75.34 11.09,00:03:53.2 00:00:11.1,5
52,81,Panteli  C.  /  Theofanous  T.  Peugeot 208 R2,RC4,00:16:56.6,74.47 11.65,00:04:04.9 00:00:11.7,5
53,80,Kalamaras  T.  /  Labrakis  D.  Peugeot 208 Rally4,RC4,00:17:15.7,73.10 12.55,00:04:24.0 00:00:19.1,5
54,71,Pyck  Filip  /  Dehouck  Peter  Ford Fiesta R5,RC2,00:17:18.8,72.88 12.70,00:04:27.1 00:00:03.1,5
55,84,Parellis  D.  /  Papandreou  A.  Renault Clio Rally5,RC5,00:17:59.5,70.13 14.64,00:05:07.8 00:00:40.7,5
56,83,Šekuljica  S.  /  Petrović  Damir  Renault Clio Rally5,RC5,00:19:06.7,66.02 17.83,00:06:15.0 00:01:07.2,5
57,49,Xanthakos  M.  /  Karathanassis  N.  Škoda Fabia R5,RC2,00:19:32.4,64.58 19.05,00:06:40.7 00:00:25.7,5
58,77,Plagos  Ioannis  /  Rentis  A.  Ford Fiesta Rally4,RC4,00:20:41.8,60.97 22.35,00:07:50.1 00:01:09.4,5
59,82,Kanellopoulos  A.  /  Chalatsis  P.  Peugeot 208 R2,RC4,00:20:53.9,60.38 22.93,00:08:02.2 00:00:12.1,5
60,23,Solberg  Oliver  /  Edmondson  E.  Škoda Fabia RS Rally2,RC2,00:23:31.8,53.63 30.44,00:10:40.1 00:02:37.9,5
60,31,Linnamäe  Georg  /  Morgan  James  Hyundai i20 N Rally2,RC2,00:23:31.8,53.63 30.44,00:10:40.1 00:00:00.0,5
60,36,Tsouloftas  A.  /  Elia  Stelios  Volkswagen Polo Gti R5,RC2,00:23:31.8,53.63 30.44,00:10:40.1 00:00:00.0,5
60,67,Filippides  G.  /  Loudon  Stuart  Škoda Fabia Rally2 Evo,RC2,00:23:31.8,53.63 30.44,00:10:40.1 00:00:00.0,5
64,60,Creighton  W.  /  Regan  Liam  Ford Fiesta Rally3,RC3,00:24:32.7,51.41 33.33,00:11:41.0 00:01:00.9,5
65,78,Papageorgiou  L.  /  Kougias  V.  Citroën DS3 R3T,RC4,00:25:01.8,50.41 34.72,00:12:10.1 00:00:29.1,5
66,56,Delaportas  G.  /  Panaritis  E.  Ford Fiesta Rally3,RC3,00:25:05.7,50.28 34.90,00:12:14.0 00:00:03.9,5
67,85,Kaltsounis  H.  /  Peridis  Andreas  Opel Corsa Rally4,RC4,00:25:40.5,49.15 36.56,00:12:48.8 00:00:34.8,5
