,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6
Crew,Gr/Cl,Race,,,,,,
Plagos Ioannis,RC4,Acropolis 2023,1:50.2,7:15.5,14:59.5,6:15.6 [N],20:41.8,24:27.5
Prokop Martin ,RC2,Acropolis 2023,1:43.4,6:15.2,12:34.2,6:15.6 [N],14:17.4,19:47.6
Pyck Filip - D,RC2,Acropolis 2023,1:46.3,7:20.5,14:41.8,6:15.6 [N],17:18.8,23:46.7
Rensonnet Tom ,RC3,Acropolis 2023,1:43.5,6:37.0,13:37.5,6:15.6 [N],14:57.5,20:54.9
Rossel Yohan -,RC2,Acropolis 2023,1:36.1,5:59.9,12:07.1,6:15.6 [N],13:42.2,19:15.8
Rovanperä Kall,RC1,Acropolis 2023,1:32.9,5:39.9,11:16.8,5:38.1,13:11.9,18:16.3
Serderidis Jou,RC1,Acropolis 2023,1:43.5,6:18.5,13:00.7,6:15.5,14:44.9,21:12.0
Solberg Oliver,RC2,Acropolis 2023,1:36.6,9:02.1,42:54.8,6:15.6 [N],23:31.8 [N],29:01.8 [N]
Sordo Dani - C,RC1,Acropolis 2023,1:33.4,5:40.8,11:29.1,5:38.1,13:09.3,18:28.3
Tsouloftas Ale,RC2,Acropolis 2023,1:43.3,6:01.0,12:11.3,6:15.6 [N],23:31.8,29:01.8
Tänak Ott - Jä,RC1,Acropolis 2023,1:33.6,5:38.3,11:24.0,5:35.9 [N],12:51.7,18:01.4
Türkkan Ali - ,RC3,Acropolis 2023,11:44.7,-,-,-,-,-
Vassilakis Geo,RC2,Acropolis 2023,2:01.8,7:48.5,14:59.0,6:15.6 [N],16:33.8,23:38.0
Velanis Vassil,RC2,Acropolis 2023,1:43.6,6:41.5,13:24.2,6:15.6 [N],15:03.9,21:17.0
Villanueva A. ,RC2,Acropolis 2023,1:48.3,6:16.3,12:45.2,6:15.6 [N],14:19.1,19:54.0
Virves Robert ,RC2,Acropolis 2023,1:36.9,6:06.3,12:15.0,6:15.6 [N],13:44.5,19:15.5
Xanthakos Mari,RC2,Acropolis 2023,1:44.9,7:01.0,14:30.0,6:15.6 [N],19:32.4,21:49.7
Šekuljica Slav,RC5,Acropolis 2023,1:55.5,8:39.3,18:09.7,6:15.6 [N],19:06.7,27:13.9
