Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
14,#8,Gobakis Lefteris  - Gobakis S. Honda Civic Type-R EP3,C3 F2,4:04.36,+27.12 +  0.82,105.2 3.80,2
15,#14,Perakis A.  - Kourougiaouris K. Peugeot 206 XS,C4 F2,4:06.19,+28.95 +  1.83,104.4 4.05,2
16,#21,Polias Mihalis  - Roussaki Stella Citroën Saxo,C5 F2,4:10.04,+32.80 +  3.85,102.8 4.59,2
17,#25,Avramidis A.  - Kyrlagitsi O. Citroën Saxo VTS,C6 F2,4:15.96,+38.72 +  5.92,100.4 5.42,2
18,#27,Stamatakis S.  - Fakourelis F. Peugeot 106 XSi,C6 F2,4:16.52,+39.28 +  0.56,100.2 5.50,2
19,#12,Mihailakis S.  - Ligopsichakis N. Citroën DS3 R3T Max,C3 F2,4:17.81,+40.57 +  1.29,99.7 5.68,2
20,#24,Massialas Vagelis  - Massialas A. Citroën Saxo VTS,C6 F2,4:22.26,+45.02 +  4.45,98.0 6.31,2
21,#30,Manouskos Nikolaos  - Bogdanos S. Citroën Saxo VTS,C6 F2,4:23.14,+45.90 +  0.88,97.7 6.43,2
22,#26,Poulakis Mihalis  - Poulakis G. Toyota Yaris,C6 F2,4:25.13,+47.89 +  1.99,96.9 6.71,2
23,#28,Kapsalakis D.  - Badalakis M. Ford Fiesta Mk5 ST,C3 F2,4:28.63,+51.39 +  3.50,95.7 7.20,2
24,#33,Stivaktakis Aris  - Roussakis E. Toyota Yaris,C6 F2,4:30.29,+53.05 +  1.66,95.1 7.43,2
25,#31,Kakepakis Giannis  - Dimitriou M. Peugeot 106 Rallye,C6 F2,5:09.84,+1:32.60 +  39.55,83.0 13.0,2
1,#1,Anapoliotakis G.  - Tsioukas A. Ford Fiesta R5,C1,4:49.56,,103.4,3
2,#2,Aligizakis E.  - Chatzidakis M. Škoda Fabia R5,C1,4:50.33,+0.77 +  0.77,103.2 0.09,3
3,#4,Peroulakis Georgios  - Sarris E. Mitsubishi Lancer Evo VIII,C2,4:58.97,+9.41 +  8.64,100.2 1.13,3
4,#3,Ktistakis Dimitris  - Ktistakis M. Peugeot 306 S16,C3 F2,5:05.93,+16.37 +  6.96,97.9 1.97,3
5,#20,Nikolidakis I.  - Petoussis M. Peugeot 106 S16,C5 F2,5:08.40,+18.84 +  2.47,97.1 2.26,3
6,#5,Kazanas Dimitris  - Makrakis T. Mitsubishi Lancer Evo IX,C2,5:08.87,+19.31 +  0.47,97.0 2.32,3
7,#9,Titakis Titos  - Chalkiadakis A. Citroën DS3 R3T Max,C3 F2,5:10.75,+21.19 +  1.88,96.4 2.55,3
8,#7,Frantzeskakis D.  - Klaridopoulos F. Ford Fiesta Mk5 ST,C3 F2,5:14.97,+25.41 +  4.22,95.1 3.05,3
9,#23,Kafetzakis I.  - Providakis E. Peugeot 106,C5 F2,5:15.41,+25.85 +  0.44,95.0 3.11,3
10,#19,Zervakis Mihalis  - Liodakis I. Citroën Saxo,C4 F2,5:16.09,+26.53 +  0.68,94.8 3.19,3
11,#6,Konstantinidis I.  - Kyparissas D. Citroën DS3 R3T Max,C3 F2,5:17.54,+27.98 +  1.45,94.3 3.36,3
12,#16,Damianakis Giannis  - Chronakis M. Peugeot 205,C4 F2,5:26.88,+37.32 +  9.34,91.6 4.49,3
13,#14,Perakis A.  - Kourougiaouris K. Peugeot 206 XS,C4 F2,5:27.60,+38.04 +  0.72,91.4 4.57,3
14,#18,Maragakis Andreas  - Argiros E. Peugeot 206,C4 F2,5:29.42,+39.86 +  1.82,90.9 4.79,3
15,#31,Kakepakis Giannis  - Dimitriou M. Peugeot 106 Rallye,C6 F2,5:31.01,+41.45 +  1.59,90.5 4.98,3
16,#21,Polias Mihalis  - Roussaki Stella Citroën Saxo,C5 F2,5:31.41,+41.85 +  0.40,90.4 5.03,3
17,#30,Manouskos Nikolaos  - Bogdanos S. Citroën Saxo VTS,C6 F2,5:41.68,+52.12 +  10.27,87.7 6.26,3
18,#26,Poulakis Mihalis  - Poulakis G. Toyota Yaris,C6 F2,5:46.07,+56.51 +  4.39,86.5 6.79,3
19,#27,Stamatakis S.  - Fakourelis F. Peugeot 106 XSi,C6 F2,5:49.49,+59.93 +  3.42,85.7 7.20,3
20,#8,Gobakis Lefteris  - Gobakis S. Honda Civic Type-R EP3,C3 F2,5:53.15,+1:03.59 +  3.66,84.8 7.64,3
21,#24,Massialas Vagelis  - Massialas A. Citroën Saxo VTS,C6 F2,5:56.57,+1:07.01 +  3.42,84.0 8.05,3
22,#28,Kapsalakis D.  - Badalakis M. Ford Fiesta Mk5 ST,C3 F2,5:58.36,+1:08.80 +  1.79,83.6 8.27,3
23,#33,Stivaktakis Aris  - Roussakis E. Toyota Yaris,C6 F2,5:59.25,+1:09.69 +  0.89,83.4 8.38,3
24,#12,Mihailakis S.  - Ligopsichakis N. Citroën DS3 R3T Max,C3 F2,12:07.66,+7:18.10 +  6:08.41,41.2 52.7,3
1,#2,Aligizakis E.  - Chatzidakis M. Škoda Fabia R5,C1,4:49.00,,133.5,4
2,#1,Anapoliotakis G.  - Tsioukas A. Ford Fiesta R5,C1,4:50.01,+1.01 +  1.01,133.1 0.09,4
3,#4,Peroulakis Georgios  - Sarris E. Mitsubishi Lancer Evo VIII,C2,4:58.76,+9.76 +  8.75,129.2 0.91,4
4,#3,Ktistakis Dimitris  - Ktistakis M. Peugeot 306 S16,C3 F2,5:02.46,+13.46 +  3.70,127.6 1.26,4
5,#9,Titakis Titos  - Chalkiadakis A. Citroën DS3 R3T Max,C3 F2,5:08.20,+19.20 +  5.74,125.2 1.79,4
6,#6,Konstantinidis I.  - Kyparissas D. Citroën DS3 R3T Max,C3 F2,5:08.43,+19.43 +  0.23,125.1 1.81,4
7,#20,Nikolidakis I.  - Petoussis M. Peugeot 106 S16,C5 F2,5:09.15,+20.15 +  0.72,124.8 1.88,4
8,#7,Frantzeskakis D.  - Klaridopoulos F. Ford Fiesta Mk5 ST,C3 F2,5:12.26,+23.26 +  3.11,123.6 2.17,4
9,#16,Damianakis Giannis  - Chronakis M. Peugeot 205,C4 F2,5:13.65,+24.65 +  1.39,123.0 2.30,4
10,#5,Kazanas Dimitris  - Makrakis T. Mitsubishi Lancer Evo IX,C2,5:14.81,+25.81 +  1.16,122.6 2.41,4
11,#23,Kafetzakis I.  - Providakis E. Peugeot 106,C5 F2,5:18.92,+29.92 +  4.11,121.0 2.79,4
12,#14,Perakis A.  - Kourougiaouris K. Peugeot 206 XS,C4 F2,5:22.96,+33.96 +  4.04,119.5 3.17,4
13,#31,Kakepakis Giannis  - Dimitriou M. Peugeot 106 Rallye,C6 F2,5:25.54,+36.54 +  2.58,118.5 3.41,4
14,#12,Mihailakis S.  - Ligopsichakis N. Citroën DS3 R3T Max,C3 F2,5:28.38,+39.38 +  2.84,117.5 3.67,4
15,#21,Polias Mihalis  - Roussaki Stella Citroën Saxo,C5 F2,5:31.42,+42.42 +  3.04,116.4 3.96,4
16,#18,Maragakis Andreas  - Argiros E. Peugeot 206,C4 F2,5:32.64,+43.64 +  1.22,116.0 4.07,4
17,#8,Gobakis Lefteris  - Gobakis S. Honda Civic Type-R EP3,C3 F2,5:44.12,+55.12 +  11.48,112.1 5.14,4
18,#26,Poulakis Mihalis  - Poulakis G. Toyota Yaris,C6 F2,5:45.70,+56.70 +  1.58,111.6 5.29,4
19,#27,Stamatakis S.  - Fakourelis F. Peugeot 106 XSi,C6 F2,5:49.36,+1:00.36 +  3.66,110.5 5.63,4
20,#30,Manouskos Nikolaos  - Bogdanos S. Citroën Saxo VTS,C6 F2,5:51.74,+1:02.74 +  2.38,109.7 5.85,4
21,#28,Kapsalakis D.  - Badalakis M. Ford Fiesta Mk5 ST,C3 F2,5:59.63,+1:10.63 +  7.89,107.3 6.59,4
22,#24,Massialas Vagelis  - Massialas A. Citroën Saxo VTS,C6 F2,6:08.35,+1:19.35 +  8.72,104.8 7.40,4
23,#33,Stivaktakis Aris  - Roussakis E. Toyota Yaris,C6 F2,6:27.64,+1:38.64 +  19.29,99.6 9.20,4
1,#2,Aligizakis E.  - Chatzidakis M. Škoda Fabia R5,C1,4:44.77,,105.2,5
2,#1,Anapoliotakis G.  - Tsioukas A. Ford Fiesta R5,C1,4:45.49,+0.72 +  0.72,104.9 0.09,5
3,#4,Peroulakis Georgios  - Sarris E. Mitsubishi Lancer Evo VIII,C2,4:54.07,+9.30 +  8.58,101.9 1.12,5
4,#3,Ktistakis Dimitris  - Ktistakis M. Peugeot 306 S16,C3 F2,4:59.44,+14.67 +  5.37,100.0 1.76,5
5,#20,Nikolidakis I.  - Petoussis M. Peugeot 106 S16,C5 F2,5:02.39,+17.62 +  2.95,99.1 2.12,5
6,#9,Titakis Titos  - Chalkiadakis A. Citroën DS3 R3T Max,C3 F2,5:05.77,+21.00 +  3.38,98.0 2.52,5
7,#7,Frantzeskakis D.  - Klaridopoulos F. Ford Fiesta Mk5 ST,C3 F2,5:05.82,+21.05 +  0.05,97.9 2.53,5
8,#6,Konstantinidis I.  - Kyparissas D. Citroën DS3 R3T Max,C3 F2,5:07.06,+22.29 +  1.24,97.5 2.68,5
9,#5,Kazanas Dimitris  - Makrakis T. Mitsubishi Lancer Evo IX,C2,5:07.49,+22.72 +  0.43,97.4 2.73,5
10,#23,Kafetzakis I.  - Providakis E. Peugeot 106,C5 F2,5:11.79,+27.02 +  4.30,96.1 3.25,5
11,#31,Kakepakis Giannis  - Dimitriou M. Peugeot 106 Rallye,C6 F2,5:20.39,+35.62 +  8.60,93.5 4.28,5
12,#18,Maragakis Andreas  - Argiros E. Peugeot 206,C4 F2,5:23.07,+38.30 +  2.68,92.7 4.60,5
13,#12,Mihailakis S.  - Ligopsichakis N. Citroën DS3 R3T Max,C3 F2,5:27.34,+42.57 +  4.27,91.5 5.12,5
14,#8,Gobakis Lefteris  - Gobakis S. Honda Civic Type-R EP3,C3 F2,5:28.19,+43.42 +  0.85,91.3 5.22,5
15,#21,Polias Mihalis  - Roussaki Stella Citroën Saxo,C5 F2,5:30.67,+45.90 +  2.48,90.6 5.52,5
16,#14,Perakis A.  - Kourougiaouris K. Peugeot 206 XS,C4 F2,5:31.88,+47.11 +  1.21,90.2 5.66,5
17,#27,Stamatakis S.  - Fakourelis F. Peugeot 106 XSi,C6 F2,5:33.90,+49.13 +  2.02,89.7 5.91,5
18,#26,Poulakis Mihalis  - Poulakis G. Toyota Yaris,C6 F2,5:39.72,+54.95 +  5.82,88.2 6.60,5
19,#30,Manouskos Nikolaos  - Bogdanos S. Citroën Saxo VTS,C6 F2,5:41.59,+56.82 +  1.87,87.7 6.83,5
20,#16,Damianakis Giannis  - Chronakis M. Peugeot 205,C4 F2,5:47.66,+1:02.89 +  6.07,86.2 7.56,5
21,#24,Massialas Vagelis  - Massialas A. Citroën Saxo VTS,C6 F2,5:49.14,+1:04.37 +  1.48,85.8 7.74,5
22,#28,Kapsalakis D.  - Badalakis M. Ford Fiesta Mk5 ST,C3 F2,5:58.67,+1:13.90 +  9.53,83.5 8.88,5
23,#33,Stivaktakis Aris  - Roussakis E. Toyota Yaris,C6 F2,6:04.68,+1:19.91 +  6.01,82.1 9.60,5
1,#2,Aligizakis E.  - Chatzidakis M. Škoda Fabia R5,C1,4:47.21,,134.4,6
2,#1,Anapoliotakis G.  - Tsioukas A. Ford Fiesta R5,C1,4:47.71,+0.50 +  0.50,134.1 0.05,6
3,#4,Peroulakis Georgios  - Sarris E. Mitsubishi Lancer Evo VIII,C2,4:58.14,+10.93 +  10.43,129.4 1.02,6
4,#3,Ktistakis Dimitris  - Ktistakis M. Peugeot 306 S16,C3 F2,5:00.46,+13.25 +  2.32,128.4 1.24,6
5,#6,Konstantinidis I.  - Kyparissas D. Citroën DS3 R3T Max,C3 F2,5:05.26,+18.05 +  4.80,126.4 1.68,6
6,#9,Titakis Titos  - Chalkiadakis A. Citroën DS3 R3T Max,C3 F2,5:05.84,+18.63 +  0.58,126.2 1.74,6
7,#5,Kazanas Dimitris  - Makrakis T. Mitsubishi Lancer Evo IX,C2,5:08.99,+21.78 +  3.15,124.9 2.03,6
8,#7,Frantzeskakis D.  - Klaridopoulos F. Ford Fiesta Mk5 ST,C3 F2,5:10.04,+22.83 +  1.05,124.5 2.13,6
9,#20,Nikolidakis I.  - Petoussis M. Peugeot 106 S16,C5 F2,5:10.17,+22.96 +  0.13,124.4 2.14,6
