Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Bernardi Valte,ver 55,1,dOrcia,6-7/04/2024,Gravel,Italy,68,758.7
Papi David  - ,ly4/R2,1,dOrcia,6-7/04/2024,Gravel,Italy,69,772.1
Da Ros Matteo ,N5,1,dOrcia,6-7/04/2024,Gravel,Italy,70,779.8
Müller Liam  -,der 25,1,dOrcia,6-7/04/2024,Gravel,Italy,71,797.5
Maspoli Luca  ,N5,1,dOrcia,6-7/04/2024,Gravel,Italy,72,807.6
Molinaro Tamar,Female,1,dOrcia,6-7/04/2024,Gravel,Italy,73,
Trentin Angelo,ver 55,1,dOrcia,6-7/04/2024,Gravel,Italy,74,826.4
Bitti Giuseppe,der 25,1,dOrcia,6-7/04/2024,Gravel,Italy,75,
Cocco Giovanni,Rally4,1,dOrcia,6-7/04/2024,Gravel,Italy,76,
Savio Michael ,Rally5,1,dOrcia,6-7/04/2024,Gravel,Italy,77,
Nannetti Filip,Rally5,1,dOrcia,6-7/04/2024,Gravel,Italy,78,
Travaglia Aron,N5,1,dOrcia,6-7/04/2024,Gravel,Italy,79,940.8
Zaldivar F.  -,der 25,2,dOrcia,6-7/04/2024,Gravel,Italy,1,543.9
Tempestini Sim,Rally2,2,dOrcia,6-7/04/2024,Gravel,Italy,2,544.2
Scandola Umber,Rally2,2,dOrcia,6-7/04/2024,Gravel,Italy,3,551.3
Heikkilä Mikko,Rally2,2,dOrcia,6-7/04/2024,Gravel,Italy,4,554.0
Battistolli A.,Rally2,2,dOrcia,6-7/04/2024,Gravel,Italy,5,554.6
Ciuffi Tommaso,Rally2,2,dOrcia,6-7/04/2024,Gravel,Italy,6,554.7
Quilichini J. ,Rally2,2,dOrcia,6-7/04/2024,Gravel,Italy,7,558.3
Oldrati Enrico,Rally2,2,dOrcia,6-7/04/2024,Gravel,Italy,8,560.0
Hoelbling Luca,Rally2,2,dOrcia,6-7/04/2024,Gravel,Italy,9,561.5
László Martin ,Rally2,2,dOrcia,6-7/04/2024,Gravel,Italy,10,564.5
Costenaro Giac,Rally2,2,dOrcia,6-7/04/2024,Gravel,Italy,11,571.9
