Pos.,No.,,Driver / Co-driver Vehicle,Pos.,SS time Penalty,Total time,Diff.Leader Diff.Prev.,ss
1,33,,Evans  Elfyn /  Martin  Scott  Toyota GR Yaris Rally1 Hybrid,RC1 1,00:12:12.9,00:12:12.9,00:00:00.0 00:00:00.0,1
2,8,,Tänak  Ott /  Järveoja  M.  Hyundai i20 N Rally1 Hybrid,RC1 2,00:12:18.1,00:12:18.1,00:00:05.2 00:00:05.2,1
3,11,,Neuville  T. /  Wydaeghe  M.  Hyundai i20 N Rally1 Hybrid,RC1 3,00:12:21.2,00:12:21.2,00:00:08.3 00:00:03.1,1
4,17,,Ogier  S. /  Landais  Vincent  Toyota GR Yaris Rally1 Hybrid,RC1 4,00:12:22.7,00:12:22.7,00:00:09.8 00:00:01.5,1
5,16,,Fourmaux  Adrien /  Coria  Alexandre  Ford Puma Rally1 Hybrid,RC1 5,00:12:29.1,00:12:29.1,00:00:16.2 00:00:06.4,1
6,18,,Katsuta  T. /  Johnston  Aaron  Toyota GR Yaris Rally1 Hybrid,RC1 6,00:12:37.2,00:12:37.2,00:00:24.3 00:00:08.1,1
7,13,,Munster  G. /  Louka  Louis  Ford Puma Rally1 Hybrid,RC1 7,00:12:43.3,00:12:43.3,00:00:30.4 00:00:06.1,1
8,9,,Mikkelsen  A. /  Eriksen  T.  Hyundai i20 N Rally1 Hybrid,RC1 8,00:12:45.8,00:12:45.8,00:00:32.9 00:00:02.5,1
9,25,,López  J. /  Vázquez  David  Škoda Fabia RS Rally2,RC2 1,00:12:55.3,00:12:55.3,00:00:42.4 00:00:09.5,1
10,20,,Rossel  Yohan /  Dunand  Arnaud  Citroën C3 Rally2,RC2 2,00:13:04.5,00:13:04.5,00:00:51.6 00:00:09.2,1
11,23,,Pajari  Sami /  Mälkönen  Enni  Toyota GR Yaris Rally2,RC2 3,00:13:05.8,00:13:05.8,00:00:52.9 00:00:01.3,1
12,21,,Gryazin  Nikolay /  Aleksandrov  K.  Citroën C3 Rally2,RC2 4,00:13:08.9,00:13:08.9,00:00:56.0 00:00:03.1,1
13,22,,Solberg  Oliver /  Edmondson  E.  Škoda Fabia RS Rally2,RC2 5,00:13:12.5,00:13:12.5,00:00:59.6 00:00:03.6,1
