0,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
No.,Driver / Co-driver Vehicle,Group,,,,,,,,,,,,,,,,,
62,Berard  C.  /  Bernabo  C.  Alpine A110 RGT,RGT,53.0,53.0,51.0,56.0,55.0,51.0,52.0,55.0,52.0,55.0,54.0,54.0,51.0,49.0,61.0,54.0,47.0
63,Fontana  Matteo  /  Arnaboldi  A.  Peugeot 208 Rally4,RC4,26.0,25.0,34.0,29.0,29.0,27.0,23.0,23.0,35.0,25.0,26.0,27.0,28.0,26.0,31.0,39.0,42.0
64,Oldani  Marco  /  D’Agostino  P.  Peugeot 208 Rally4,RC4,42.0,42.0,45.0,39.0,37.0,43.0,40.0,37.0,49.0,42.0,37.0,41.0,36.0,29.0,32.0,36.0,40.0
65,Latil  Nicolas  /  Mercoiret  G.  Peugeot 208 Rally4,RC4,35.0,32.0,27.0,27.0,28.0,34.0,35.0,28.0,24.0,29.0,29.0,26.0,26.0,27.0,62.0,38.0,39.0
66,Boisseranc  M.  /  Amoros  Cédric  Peugeot 208 Rally4,RC4,60.0,60.0,41.0,46.0,48.0,38.0,38.0,38.0,31.0,45.0,39.0,40.0,59.0,48.0,44.0,47.0,46.0
67,Filippi  Eric  /  Mazotti  Francis  Renault Clio R3T,RC4,57.0,57.0,56.0,59.0,56.0,55.0,56.0,53.0,54.0,65.0,57.0,53.0,52.0,51.0,54.0,59.0,61.0
68,Rota  Rémy  /  Gendraud  Nil  Renault Clio Rally4,RC4,43.0,43.0,39.0,43.0,46.0,45.0,44.0,48.0,36.0,41.0,40.0,36.0,44.0,33.0,42.0,46.0,54.0
70,Perrard  F.  /  Leclercq  F.  Peugeot 208 Rally4,RC4,46.0,46.0,42.0,48.0,47.0,46.0,48.0,43.0,57.0,50.0,50.0,45.0,43.0,43.0,56.0,52.0,53.0
71,Morini  Olivier  /  Marquez  S.  Peugeot 208 R2,RC4,66.0,66.0,60.0,63.0,62.0,62.0,61.0,61.0,61.0,64.0,64.0,60.0,58.0,58.0,64.0,64.0,64.0
72,Delgery  F.  /  Garin  Fabrice  Renault Clio R3T,RC4,64.0,64.0,53.0,54.0,58.0,56.0,59.0,56.0,63.0,56.0,59.0,56.0,55.0,52.0,58.0,57.0,59.0
73,Michellier  G.  /  Richard  C.  Peugeot 208 Rally4,RC4,58.0,58.0,46.0,49.0,50.0,48.0,45.0,46.0,50.0,52.0,52.0,49.0,45.0,45.0,52.0,55.0,51.0
74,Dal Zotto  G.  /  Dubreuil  Hervé  Peugeot 208 Rally4,RC4,52.0,52.0,50.0,52.0,49.0,50.0,47.0,42.0,56.0,60.0,51.0,48.0,49.0,46.0,48.0,50.0,49.0
75,Palmero  J.  /  Pastorino  M.  Peugeot 208 Rally4,RC4,65.0,65.0,59.0,62.0,61.0,59.0,60.0,54.0,61.0,59.0,60.0,58.0,56.0,55.0,59.0,60.0,63.0
76,Šekuljica  S.  /  Petrović  Damir  Renault Clio Rally5,RC5,63.0,62.0,58.0,61.0,63.0,61.0,58.0,58.0,64.0,62.0,63.0,65.0,65.0,62.0,55.0,58.0,57.0
77,Charnay  Julien  /  Gomez  Maxime  Renault Clio Rally5,RC5,44.0,44.0,43.0,45.0,43.0,42.0,43.0,39.0,39.0,47.0,44.0,38.0,37.0,36.0,37.0,45.0,45.0
78,Vialle  Lilian  /  Ghirardello  M.  Renault Clio Rally5,RC5,54.0,54.0,49.0,50.0,52.0,52.0,50.0,51.0,55.0,51.0,53.0,46.0,46.0,42.0,46.0,51.0,55.0
79,Morel  Jean-Luc  /  Toti  Mireille  Renault Clio Rally5,RC5,61.0,61.0,55.0,55.0,51.0,58.0,53.0,57.0,59.0,61.0,58.0,57.0,57.0,53.0,57.0,62.0,60.0
80,Jamet  Jérémy  /  Journet  Marine  Renault Clio Rally5,RC5,47.0,47.0,36.0,47.0,45.0,37.0,37.0,34.0,41.0,46.0,43.0,37.0,35.0,31.0,41.0,43.0,44.0
81,Matteuzzi  G.  /  La Ferla  A.  Renault Clio Rally5,RC5,59.0,59.0,54.0,53.0,54.0,53.0,51.0,52.0,58.0,54.0,56.0,52.0,48.0,47.0,53.0,53.0,52.0
82,Biagetti  Lucas  /  Biagetti  Loan  Renault Clio Rally5,RC5,48.0,49.0,62.0,57.0,59.0,54.0,54.0,47.0,53.0,57.0,55.0,50.0,50.0,50.0,47.0,56.0,50.0
83,Arnaud  Julien  /  Renchet  Marion  Renault Clio Rally5,RC5,56.0,56.0,48.0,51.0,53.0,49.0,49.0,49.0,47.0,53.0,47.0,51.0,47.0,37.0,45.0,48.0,56.0
84,Andrade  F.  /  Coronado  Axel  Renault Clio Rally5,RC5,55.0,55.0,52.0,58.0,57.0,57.0,55.0,65.0,60.0,63.0,62.0,55.0,54.0,54.0,60.0,61.0,62.0
