,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
#34,Daprà Roberto  - Guglielmetti L. Škoda Fabia Rally2 evo,RC2,13:42.2,15:54.5,10:54.7,10:55.0,11:32.4,10:10.6,10:53.2,11:57.1,14:22.0,12:44.9,14:00.2,-,-,-,12:14.7,12:38.6,10:45.5
#34,Daprà Roberto  - Guglielmetti L. Škoda Fabia Rally2 evo  [SR],RC2,-,-,-,-,-,-,-,-,-,-,-,21:56.5 [N],22:08.5 [N],23:27.3 [N],-,-,-
#35,Burri Olivier  - Levratti Anderson Škoda Fabia Rally2 evo,RC2,14:21.8,16:25.5,11:14.9,11:22.5,11:53.2,10:39.7,11:29.8,12:28.4,14:40.3,13:06.3,14:10.3,13:13.4,13:27.8,14:51.6,12:38.3,12:54.6,11:19.1
#37,Laurencich Federico  - Mlakar A. Škoda Fabia Rally2 evo,RC2,14:59.1,17:12.4,11:41.7,11:53.7,12:13.1,11:16.7,20:37.9,13:34.0,15:46.3,13:57.7,15:04.7,13:37.3,13:33.9,15:16.3,13:02.2,13:19.5,11:18.4
#38,Locatelli M.  - Tiraboschi S. Škoda Fabia Rally2 evo,RC2,15:01.3,17:24.2,20:20.2,12:15.9,13:04.7,11:40.6,12:26.4,13:43.6,15:57.4,13:48.6,15:30.6,14:16.6,14:08.8,30:14.0,13:59.7,13:58.5,11:25.0
#39,Boland Eamonn  - MJ Ford Fiesta Rally2,RC2,14:56.1,17:39.0,11:27.8,11:58.9,12:30.5,11:03.8,12:35.1,13:14.0,15:01.9,13:37.0,15:02.2,13:34.9,13:47.0,15:29.2,13:28.5,13:24.4,11:45.2
#40,Serderidis Jourdan  - Miclotte F. Volkswagen Polo GTI R5,RC2,15:27.0,18:07.6,11:43.0,11:56.3,12:31.5,11:04.1,12:20.1,13:18.9,14:51.1,13:58.4,15:12.3,13:30.4,13:50.1,15:51.3,12:56.7,13:19.9,11:20.3
#41,Morato Maurizio  - Bosi M. Škoda Fabia Rally2 evo,RC2,16:14.2,18:36.0,26:02.1,12:37.4,12:53.5,15:34.9,13:46.6,15:08.3,16:08.8,14:34.1,15:51.6,14:38.8,14:51.8,17:13.9,13:38.5,13:40.6,12:16.3
#43,Chiarani Maurizio  - Zanella F. Škoda Fabia Rally2 evo,RC2,15:26.0,18:47.2,12:11.8,12:27.9,13:03.3,11:53.5,12:32.7,13:45.9,15:43.5,14:14.4,15:17.7,14:36.7,14:23.6,16:36.8,13:43.5,13:39.7,11:43.4
#44,Marchino Filippo  - Ometto P. Škoda Fabia Rally2 evo,RC2,15:59.5,18:34.8,11:59.2,12:27.4,13:19.3,11:41.8,13:09.5,14:39.1,15:28.0,14:23.7,15:54.1,14:40.6,14:43.1,16:19.9,13:38.3,13:49.0,11:43.8
#45,Vossen Henk  - Vissenberg Willem Hyundai i20 N Rally2,RC2,18:18.0,21:37.6,13:35.6,14:10.6,14:43.0,13:02.5,15:08.9,16:28.4,17:38.7,15:36.4,17:34.6,16:28.2,15:55.4,20:03.4,16:23.7,16:09.9,13:26.6
#46,Černý Jan  - Krajča Ondřej Ford Fiesta Rally3,RC3,14:41.2,16:40.1,11:20.5,11:33.7,12:14.9,10:41.2,11:49.9,12:57.8,14:45.4,13:15.4,14:35.1,13:07.6,13:16.1,14:53.8,12:13.2,12:59.2,11:04.0
#47,Rossi Ghjuvanni  - Sarmezan Kylian Renault Clio Rally3,RC3,14:35.1,17:30.1,11:28.0,12:08.6,12:36.9,11:09.7,12:12.9,13:08.2,15:13.2,13:55.2,15:11.0,13:56.6,13:49.0,15:36.1,13:07.0,13:30.5,11:23.6
#49,Ganguet Christophe  - Frison E. Škoda Fabia R5,RC2,15:19.5,17:56.7,11:24.3,12:02.6,12:38.4,11:07.9,12:52.7,13:35.7,14:41.3,13:51.2,15:02.5,13:52.0,14:09.7,16:15.0,13:20.3,13:49.3,11:58.1
#50,Prat Jérémy  - Deslauriers J. Ford Fiesta R5,RC2,14:52.2,17:14.0,11:12.3,14:54.3,12:38.0,11:06.4,12:32.7,13:39.3,14:51.3,14:04.8,15:15.1,13:43.5,13:47.0,15:34.6,13:04.4,13:37.8,11:29.5
#51,Ressegaire Nicolas  - Pellegrin E. Volkswagen Polo GTI R5,RC2,14:49.3,17:42.4,-,-,-,-,-,-,15:02.5,13:52.4,15:14.9,13:51.3,14:37.9,26:53.0,14:32.8,14:18.4,12:23.0
#51,Ressegaire Nicolas  - Pellegrin E. Volkswagen Polo GTI R5  [SR],RC2,-,-,20:47.2 [N],21:11.0 [N],22:01.3 [N],20:17.3 [N],21:17.9,22:33.0,-,-,-,-,-,-,-,-,-
#52,Cartier Victor  - Deliot Manon Toyota Yaris Rally2-Kit,RC2,14:51.9,17:21.9,11:16.8,11:37.1,12:09.9,10:52.6,12:02.9,13:22.4,14:48.2,13:34.5,14:27.7,13:11.3,13:14.5,15:23.6,12:35.6,13:08.6,11:12.0
#53,Berfa Jordan  - Thomas Chloé Hyundai i20 R5,RC2,13:53.5,16:32.9,10:47.2,11:11.0,12:01.3,10:17.3,11:17.9,12:33.0,13:53.7,13:04.8,14:20.1,12:48.8,12:57.8,17:08.8,12:17.9,12:49.5,10:57.4
#54,Oberti Damien  - Gastinel J. Renault Clio Rally3,RC3,14:52.4,17:10.3,11:24.7,11:44.1,12:20.6,11:13.8,12:10.6,13:08.1,14:15.6,13:28.5,14:39.6,-,-,-,13:03.0,13:12.2,11:41.3
#54,Oberti Damien  - Gastinel J. Renault Clio Rally3  [SR],RC3,-,-,-,-,-,-,-,-,-,-,-,23:10.6 [N],23:24.4 [N],25:03.7 [N],-,-,-
#55,Lafay Pierre  - Aubeuf Benjamin Renault Clio Rally3,RC3,14:36.6,17:17.5,11:25.9,11:48.7,12:12.8,10:56.0,12:00.0,12:48.6,14:59.4,13:49.5,15:05.9,13:10.6,13:24.4,15:08.3,12:46.0,13:31.5,11:42.5
#56,Dolce Renaud  - Giroud Quentin Renault Clio Rally3,RC3,16:31.6,17:39.7,11:12.3,11:54.8,12:46.7,10:52.3,12:33.0,16:37.3,14:18.8,13:35.3,14:44.4,13:51.2,-,-,-,-,-
#57,Chatillon Mattéo  - Cornuau M. Renault Clio Rally3,RC3,14:12.0,16:41.5,11:17.8,11:41.5,12:15.8,10:43.4,11:51.7,12:43.0,14:15.3,13:37.9,14:36.7,13:13.8,13:32.7,15:03.7,12:21.2,12:49.2,11:13.8
#59,Royère Eric  - Grenier Alexis Alpine A110 Rally RGT,RGT,16:32.8,19:08.1,12:02.2,12:27.8,13:17.7,11:42.8,13:18.5,14:42.2,15:49.7,14:42.0,16:11.4,14:02.6,14:49.5,17:06.6,13:27.5,13:31.9,11:31.9
#60,Fumal Armand  - Escartefigue Jules Alpine A110 Rally RGT,RGT,16:42.0,19:19.1,12:03.9,12:13.5,-,-,-,-,15:37.1,14:20.9,16:11.7,15:00.1,14:42.0,16:37.6,14:29.9,13:57.4,12:13.7
#60,Fumal Armand  - Escartefigue Jules Alpine A110 Rally RGT  [SR],RGT,-,-,-,-,23:17.3 [N],21:41.2 [N],23:12.4,24:14.0,-,-,-,-,-,-,-,-,-
#61,Baffoun Philippe  - Dupuy Margot Alpine A110 Rally RGT,RGT,15:56.0,19:00.2,12:21.7,12:12.6,13:17.3,11:41.2,13:12.4,14:14.0,15:50.1,14:14.4,15:43.3,14:30.1,14:14.4,17:06.5,14:33.4,13:41.2,11:40.2
#62,Berard Christophe  - Bernabo C. Alpine A110 Rally RGT,RGT,17:05.7,19:31.3,12:48.9,13:40.9,14:21.8,12:29.8,14:30.2,15:51.9,16:14.6,15:21.4,16:35.4,15:42.1,15:49.6,18:01.4,15:39.6,14:45.3,12:20.0
#63,Fontana Matteo  - Arnaboldi A. Peugeot 208 Rally4,RC4,14:42.9,16:59.8 [N],11:43.7,11:54.0,12:26.1,11:02.3,11:58.2,12:56.1,15:03.3,13:35.1,14:48.7,13:40.3,13:49.6,15:37.2,13:07.8,13:48.1,12:14.0
#64,Oldani Marco  - D'Agostino Pietro Peugeot 208 Rally4,RC4,16:04.0,18:37.1 [N],12:19.4,12:25.2,12:56.5,11:42.7,13:10.5,13:54.2,15:58.3,14:19.1,15:30.0,14:36.2,14:32.4,16:08.8,13:17.6,13:42.1,12:03.8
#65,Latil Nicolas  - Mercoiret G. Peugeot 208 Rally4,RC4,15:05.4,17:26.8 [N],11:24.6,11:51.6,12:24.2,11:13.4,12:41.0,13:18.8,14:27.0,13:41.0,15:04.2,13:39.5,13:47.1,15:46.5,15:44.1,13:45.4,11:58.6
#66,Boisseranc Mickaël  - Amoros C. Peugeot 208 Rally4,RC4,17:42.5,20:35.2 [N],12:05.3,12:39.8,13:44.0,11:35.5,12:55.8,14:05.1,14:59.0,14:23.9,15:39.0,14:35.8,19:05.3,17:39.6,14:03.5,14:11.8,12:19.3
#67,Filippi Eric  - Mazotti Francis Renault Clio RS R3T,RC4,17:23.0,20:11.8 [N],13:09.2,13:44.3,14:22.8,12:36.4,15:06.5,15:20.7,16:17.6,18:15.2,17:03.3,15:32.8,15:51.0,18:04.0,14:43.8,15:20.6,13:36.8
#68,Rota Rémy  - Gendraud Nil Renault Clio Rally4,RC4,16:06.2,18:39.7 [N],12:03.1,12:28.6,13:22.8,11:46.5,13:21.0,14:58.3,15:06.2,14:18.6,15:41.6,14:23.1,15:13.6,16:26.3,13:57.3,14:07.8,12:35.9
#70,Perrard Frédéric  - Leclercq F. Peugeot 208 Rally4,RC4,16:16.1,18:51.6 [N],12:05.7,12:45.3,13:28.3,11:52.4,13:49.7,14:37.9,16:29.6,14:46.9,16:13.4,14:48.7,14:54.8,17:12.2,15:20.3,14:43.3,12:33.1
#71,Morini Olivier  - Marquez S. Peugeot 208 R2,RC4,18:53.2,21:59.9 [N],14:36.0,14:52.8,15:09.3,13:46.3,16:08.3,17:31.0,17:06.3,16:27.1,18:00.0,16:57.0,17:45.9,23:06.9,16:32.8,16:53.2,18:44.6
#72,Delgery François  - Garin Fabrice Renault Clio RS R3T,RC4,18:43.5,21:48.3 [N],12:58.9,13:31.3,14:23.8,12:46.6,15:19.5,15:57.3,17:11.0,15:28.5,17:24.2,15:45.9,16:12.0,18:17.7,15:23.8,15:13.3,13:26.7
#73,Michellier Gilles  - Richard C. Peugeot 208 Rally4,RC4,17:29.7,20:19.8 [N],12:21.4,13:10.9,13:51.4,12:03.2,13:45.9,14:44.2,16:00.6,15:10.8,16:17.7,15:08.3,15:16.5,17:18.3,14:35.1,14:45.6,12:29.7
#74,Dal Zotto Grégory  - Dubreuil H. Peugeot 208 Rally4,RC4,16:44.4,19:25.5 [N],12:38.6,13:17.1,13:50.2,12:17.0,13:46.9,14:28.0,16:20.9,15:47.4,16:15.1,15:03.2,15:37.0,17:31.8,14:28.3,14:22.9,12:25.0
#75,Palmero Jean-Paul  - Pastorino M. Peugeot 208 Rally4,RC4,18:47.3,21:52.9 [N],14:08.9,14:25.9,14:48.2,12:54.4,15:33.2,15:45.8,17:06.3,15:45.6,17:29.4,16:13.6,16:31.4,18:52.9,15:37.3,15:34.4,14:10.2
#76,Šekuljica Slaven  - Petrović D. Renault Clio Rally5,RC5,18:21.8,21:22.3 [N],13:54.5,14:15.5,15:30.0,13:27.8,15:09.5,16:09.6,17:11.6,16:05.6,17:45.3,-,-,-,15:02.1,15:16.9,13:18.8
#76,Šekuljica Slaven  - Petrović D. Renault Clio Rally5  [SR],RC5,-,-,-,-,-,-,-,-,-,-,-,24:23.3 [N],24:27.0 [N],26:16.2 [N],-,-,-
#77,Charnay Julien  - Gomez Maxime Renault Clio Rally5,RC5,16:09.2,18:43.3 [N],12:08.4,12:38.6,13:19.0,11:42.3,13:19.2,14:12.0,15:22.5,14:33.5,15:47.4,14:29.1,14:37.3,16:42.9,13:37.2,13:59.2,12:19.1
#78,Vialle Lilian  - Ghirardello M. Renault Clio Rally5,RC5,17:10.6,19:56.9 [N],12:38.1,13:11.1,13:58.3,12:30.1,14:11.7,15:10.1,16:20.4,14:58.6,16:31.6,14:50.2,15:22.3,17:09.8,14:19.4,14:38.0,12:38.5
#79,Morel Jean-Luc  - Toti Mireille Renault Clio Rally5,RC5,17:58.3,20:54.1 [N],13:05.3,13:34.0,13:58.2,12:48.7,14:31.4,16:03.0,16:35.8,15:48.8,17:23.7,16:12.0,16:42.2,18:33.2,15:20.6,15:47.7,13:28.2
#8,Tänak Ott  - Järveoja Martin Hyundai i20 N Rally1,RC1 M,12:18.1,14:17.6,10:00.2,9:55.0,10:22.8,9:14.6,9:56.1,10:38.1,12:32.6,11:30.3,12:40.0,11:36.9,11:45.2,12:57.9,10:36.9,11:12.9,9:55.5
#80,Jamet Jérémy  - Journet Marine Renault Clio Rally5,RC5,16:18.1,18:54.0 [N],11:57.9,12:44.5,13:20.5,11:27.2,12:55.1,13:41.0,15:32.6,14:25.5,15:46.3,14:23.3,14:27.0,16:16.2,13:54.2,13:58.3,12:17.4
#81,Matteuzzi Giacomo  - La Ferla A. Renault Clio Rally5,RC5,17:37.8,20:29.5 [N],13:01.4,13:23.8,14:11.7,12:31.8,14:21.9,15:20.2,16:34.3,15:20.7,16:56.4,15:26.5,15:32.2,17:39.1,14:42.2,14:44.1,12:31.3
#82,Biagetti Lucas  - Biagetti Loan Renault Clio Rally5,RC5,16:26.0,19:03.5 [N],15:30.5,13:42.7,14:32.0,12:33.6,14:31.6,14:55.2,16:17.0,15:34.0,16:48.2,15:12.2,15:47.5,18:03.0,14:26.3,14:53.9,12:26.6
#83,Arnaud Julien  - Renchet Marion Renault Clio Rally5,RC5,17:22.8,20:11.6 [N],12:35.6,13:15.8,14:10.2,12:09.9,13:54.1,15:07.6,15:53.6,15:14.9,16:05.9,15:24.8,15:24.2,16:48.7,14:11.7,14:11.9,12:43.7
#84,Andrade F.  - Coronado Jiménez A. Renault Clio Rally5,RC5,17:16.4,20:03.9 [N],12:56.0,13:43.7,14:23.3,12:47.9,14:42.3,-,16:50.5,16:09.8,17:42.2,15:44.1,16:09.2,18:42.9,15:37.5,15:35.7,13:46.9
#84,Andrade F.  - Coronado Jiménez A. Renault Clio Rally5  [SR],RC5,-,-,-,-,-,-,-,23:41.0 [N],-,-,-,-,-,-,-,-,-
#9,Mikkelsen Andreas  - Eriksen T. Hyundai i20 N Rally1,RC1 M,12:45.8,14:35.9,9:45.6,10:12.9,10:41.1,9:22.9,10:09.8,10:53.8,12:59.2,11:33.8,12:50.1,11:38.2,11:49.5,13:01.1,11:15.1,11:34.7,9:56.0
