,Pos.,No,Crew,Gr/Cl,total_time,Diff,Speed,ss,Race,date,surface,competition,cPos,Stages_time,Penalty,Stages_t_s,Stages_t_m,Stages_t_h,Penalty_m,Penalty_s,Diff_1st,Diff_Pre,time,min_time_Gr,min_time,diff,diff_G,diff_G%,SS.
0,1.0,#2,Tsolakidis Soc,C1,17:00.00,0,80.4,1,Stereas Elladas,14-04-2024,Gravel,Greek Championship,1,17:00.00,0,0.0,17.0,0.0,0.0,0.0,0,0,1020.0,1020.0,1038.11,-18.1099999999999,0.0,0.0,01
1,1.0,#3,Panagiotis Rou,C1,17:00.00,+0.00 +0.00,80.4 0.00,1,Stereas Elladas,14-04-2024,Gravel,Greek Championship,2,17:00.00,0,0.0,17.0,0.0,0.0,0.0,0.00,+0.00,1020.0,1020.0,1038.11,-18.1099999999999,0.0,0.0,01
2,3.0,#4,Halkias Efthim,C2,17:18.11,+18.11 +18.11,79.0 0.79,1,Stereas Elladas,14-04-2024,Gravel,Greek Championship,3,17:18.11,0,18.11,17.0,0.0,0.0,0.0,18.11,+18.11,1038.11,1038.11,1038.11,0.0,0.0,0.0,01
3,3.0,#5,Karanikolas E.,C2,17:18.11,+18.11 +0.00,79.0 0.79,1,Stereas Elladas,14-04-2024,Gravel,Greek Championship,4,17:18.11,0,18.11,17.0,0.0,0.0,0.0,18.11,+0.00,1038.11,1038.11,1038.11,0.0,0.0,0.0,01
4,3.0,#6,Chatzimarkos P,C2,17:18.11,+18.11 +0.00,79.0 0.79,1,Stereas Elladas,14-04-2024,Gravel,Greek Championship,5,17:18.11,0,18.11,17.0,0.0,0.0,0.0,18.11,+0.00,1038.11,1038.11,1038.11,0.0,0.0,0.0,01
5,3.0,#8,Ismailos Panos,C2,17:18.11,+18.11 +0.00,79.0 0.79,1,Stereas Elladas,14-04-2024,Gravel,Greek Championship,6,17:18.11,0,18.11,17.0,0.0,0.0,0.0,18.11,+0.00,1038.11,1038.11,1038.11,0.0,0.0,0.0,01
6,3.0,#10,Panteli Petros,C2,17:18.11,+18.11 +0.00,79.0 0.79,1,Stereas Elladas,14-04-2024,Gravel,Greek Championship,7,17:18.11,0,18.11,17.0,0.0,0.0,0.0,18.11,+0.00,1038.11,1038.11,1038.11,0.0,0.0,0.0,01
7,9.0,#12,Delaportas Gio,C2,17:54.42,+54.42 +2.12,76.4 2.39,1,Stereas Elladas,14-04-2024,Gravel,Greek Championship,9,17:54.42,0,54.42,17.0,0.0,0.0,0.0,54.42,+2.12,1074.42,1038.11,1038.11,36.31000000000017,36.31000000000017,3.4977025556058776,01
8,10.0,#15,Zygogiannis K.,C2,18:05.57,+1:05.57 +11.15,75.6 2.88,1,Stereas Elladas,14-04-2024,Gravel,Greek Championship,10,18:05.57,0,5.57,18.0,0.0,0.0,0.0,1:05.57,+11.15,1085.57,1038.11,1038.11,47.460000000000036,47.460000000000036,4.571769850979187,01
9,11.0,#11,Flandy  - Gira,C2,18:28.96,+1:28.96 +23.39,74.0 3.90,1,Stereas Elladas,14-04-2024,Gravel,Greek Championship,11,18:28.96,0,28.96,18.0,0.0,0.0,0.0,1:28.96,+23.39,1108.96,1038.11,1038.11,70.85000000000014,70.85000000000014,6.824902948627809,01
10,16.0,#14,Davaris Nikos ,C2,19:25.49,+2:25.49 +0.89,70.4 6.38,1,Stereas Elladas,14-04-2024,Gravel,Greek Championship,16,19:25.49,0,25.49,19.0,0.0,0.0,0.0,2:25.49,+0.89,1165.49,1038.11,1038.11,127.38000000000011,127.38000000000011,12.270375971717845,01
11,25.0,#24,Yiangou Y.  - ,C2,20:59.16,+3:59.16 +5.82,65.2 10.5,1,Stereas Elladas,14-04-2024,Gravel,Greek Championship,25,20:59.16,0,59.16,20.0,0.0,0.0,0.0,3:59.16,+5.82,1259.16,1038.11,1038.11,221.05000000000018,221.05000000000018,21.29350454190791,01
12,29.0,#38,Amoutzas Giorg,C2,22:17.11,+5:17.11 +35.20,61.4 13.9,1,Stereas Elladas,14-04-2024,Gravel,Greek Championship,29,22:17.11,0,17.11,22.0,0.0,0.0,0.0,5:17.11,+35.20,1337.11,1038.11,1038.11,299.0,299.0,28.802342718979684,01
13,8.0,#16,Polykarpou Pan,C4,17:52.30,+52.30 +34.19,76.5 2.29,1,Stereas Elladas,14-04-2024,Gravel,Greek Championship,8,17:52.30,0,52.3,17.0,0.0,0.0,0.0,52.30,+34.19,1072.3,1072.3,1038.11,34.190000000000055,0.0,0.0,01
