,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
No,Crew,Gr/Cl,,,,,,,,,,,,,,,,,
#11,Neuville Thierry  - Wydaeghe M. Hyundai i20 N Rally1,RC1 M,12:21.2,26:28.0,35:46.3,45:49.5,56:17.2,1:05:26.2,1:15:15.8,1:25:45.0,1:37:57.5,1:49:26.8,2:02:06.8,2:13:35.3,2:25:10.7,2:37:58.5,2:48:30.3,2:59:40.5,3:09:30.9
#13,Munster Grégoire  - Louka Louis Ford Puma Rally1,RC1 M,12:43.3,27:18.9,37:38.8,47:46.8,58:26.0,1:07:54.9,1:18:05.3,1:28:56.0,1:41:22.7,1:52:56.1,2:05:45.9,-,-,-,-,-,-
#13,Munster Grégoire  - Louka Louis Ford Puma Rally1 [SR],RC1 M,-,-,-,-,-,-,-,-,-,-,-,2:27:08.9,2:48:41.3,3:11:29.1,3:22:30.1,3:34:01.1,3:44:10.9
#16,Fourmaux Adrien  - Coria Alexandre Ford Puma Rally1,RC1 M,12:29.1,26:51.9,36:32.7,46:34.4,56:57.0,1:06:20.5,1:16:25.4,1:27:06.9,1:39:46.5,1:51:22.1,2:04:13.2,2:15:53.8,2:27:44.9,2:40:52.5,2:51:40.7,3:03:08.1,3:13:07.8
#17,Ogier Sébastien  - Landais V. Toyota GR Yaris Rally1,RC1 M,12:22.7,26:34.5,35:59.4,45:52.6,56:03.4,1:05:14.0,1:15:07.1,1:25:33.4,1:38:04.7,1:49:31.9,2:02:14.5,2:13:37.5,2:25:09.9,2:38:01.8,2:48:38.3,2:59:54.0,3:09:47.0
#18,Katsuta Takamoto  - Johnston Aaron Toyota GR Yaris Rally1,RC1 M,12:37.2,26:59.2,41:42.0,51:45.4,1:02:17.3,1:11:37.1,1:21:41.4,1:32:25.2,1:44:55.8,1:56:25.3,2:09:06.5,2:20:43.4,2:32:32.8,2:45:32.5,2:56:41.5,3:08:06.2,3:17:59.4
#20,Rossel Yohan  - Dunand Arnaud Citroën C3 Rally2,RC2,13:04.5,28:09.3,38:13.5,48:39.0,59:25.8,1:09:12.5,1:19:43.9,1:30:54.0,1:43:52.8,1:56:02.9,2:09:22.4,2:21:25.3,2:33:33.8,2:47:01.1,2:58:07.8,3:09:46.9,3:20:00.7
#21,Gryazin Nikolay  - Aleksandrov K. Citroën C3 Rally2,RC2,13:08.9,28:03.6,38:07.1,48:33.2,59:21.0,1:09:07.1,1:19:42.0,1:30:47.8,1:43:40.1,1:55:46.5,2:09:07.8,2:21:15.1,2:33:26.4,2:46:54.2,2:58:04.8,3:09:52.5,3:20:16.1
