,Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec,min_time_Gr,min_time,diff,diff_G,diff_G%,SS.
38,Nomikos Ioanni,C2,3,Kentavros,31/03/2021,Tarmac,Greek Cup,10,316.13,285.76,285.76,30.370000000000005,30.370000000000005,10.627799552071671,03
39,Avgeropoulos C,C4 ,3,Kentavros,31/03/2021,Tarmac,Greek Cup,2,286.34000000000003,286.34000000000003,285.76,0.5800000000000409,0.0,0.0,03
40,Titov Anton  -,C1,3,Kentavros,31/03/2021,Tarmac,Greek Cup,3,289.94,289.94,285.76,4.180000000000007,0.0,0.0,03
41,Moschos A.  - ,C3 ,3,Kentavros,31/03/2021,Tarmac,Greek Cup,4,290.88,290.88,285.76,5.1200000000000045,0.0,0.0,03
42,Baxevanakis P.,C3 ,3,Kentavros,31/03/2021,Tarmac,Greek Cup,8,310.67,290.88,285.76,24.910000000000025,19.79000000000002,6.803492849284935,03
43,Kapralos D.  -,C3 ,3,Kentavros,31/03/2021,Tarmac,Greek Cup,11,319.78,290.88,285.76,34.01999999999998,28.899999999999977,9.935368536853678,03
44,Karathanassis ,C5 ,3,Kentavros,31/03/2021,Tarmac,Greek Cup,5,300.82,300.82,285.76,15.060000000000002,0.0,0.0,03
45,Vergozissis Ap,C5 ,3,Kentavros,31/03/2021,Tarmac,Greek Cup,6,305.64,300.82,285.76,19.879999999999995,4.819999999999993,1.6022870819759303,03
46,Stratieva Ekat,C5 ,3,Kentavros,31/03/2021,Tarmac,Greek Cup,7,309.78,300.82,285.76,24.019999999999982,8.95999999999998,2.978525364005046,03
47,Damassiotis E.,C5 ,3,Kentavros,31/03/2021,Tarmac,Greek Cup,17,343.40999999999997,300.82,285.76,57.64999999999998,42.589999999999975,14.157968220198116,03
48,Rekkas Viktora,C6 ,3,Kentavros,31/03/2021,Tarmac,Greek Cup,9,312.59,312.59,285.76,26.829999999999984,0.0,0.0,03
49,Gerodimos Gior,C6 ,3,Kentavros,31/03/2021,Tarmac,Greek Cup,12,320.83,312.59,285.76,35.06999999999999,8.240000000000009,2.636040820243773,03
50,Tzigas-Zygas G,C6 ,3,Kentavros,31/03/2021,Tarmac,Greek Cup,13,324.35,312.59,285.76,38.59000000000003,11.760000000000048,3.762116510445007,03
51,Benoukas Marin,C6 ,3,Kentavros,31/03/2021,Tarmac,Greek Cup,14,328.77,312.59,285.76,43.00999999999999,16.180000000000007,5.176109280527211,03
52,Polichronopoul,C6 ,3,Kentavros,31/03/2021,Tarmac,Greek Cup,15,333.04,312.59,285.76,47.28000000000003,20.450000000000045,6.542115870629274,03
53,Mossios Ioanni,C6 ,3,Kentavros,31/03/2021,Tarmac,Greek Cup,16,335.02,312.59,285.76,49.25999999999999,22.430000000000007,7.175533446367449,03
54,Vlachos Aposto,C2,4,Kentavros,31/03/2021,Tarmac,Greek Cup,1,484.71,484.71,484.71,0.0,0.0,0.0,04
55,Nomikos Ioanni,C2,4,Kentavros,31/03/2021,Tarmac,Greek Cup,8,531.07,484.71,484.71,46.36000000000007,46.36000000000007,9.564481855129886,04
56,Avgeropoulos C,C4 ,4,Kentavros,31/03/2021,Tarmac,Greek Cup,2,487.42,487.42,484.71,2.7100000000000364,0.0,0.0,04
