,Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec,min_time_Gr,min_time,diff,diff_G,diff_G%,SS.
0,Papadimitriou ,C1,1,Olympiako,19-05-2024,Gravel,Greek Championship,1,628.66,628.66,628.66,0.0,0.0,0.0,01
1,Tsolakidis Soc,C1,1,Olympiako,19-05-2024,Gravel,Greek Championship,3,641.45,628.66,628.66,12.790000000000077,12.790000000000077,2.03448604969301,01
2,Rendina Max  -,C1,1,Olympiako,19-05-2024,Gravel,Greek Championship,7,649.5,628.66,628.66,20.840000000000032,20.840000000000032,3.3149874335889082,01
3,Philippedes Yo,C1,1,Olympiako,19-05-2024,Gravel,Greek Championship,8,651.94,628.66,628.66,23.280000000000086,23.280000000000086,3.7031145611300365,01
4,Amoutzas G.  -,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,2,638.13,638.13,628.66,9.470000000000027,0.0,0.0,01
5,Karanikolas E.,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,4,643.02,638.13,628.66,14.360000000000014,4.889999999999986,0.7663015373043089,01
6,Panteli Petros,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,5,645.79,638.13,628.66,17.129999999999995,7.659999999999968,1.200382367229243,01
7,Halkias Efthim,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,6,646.89,638.13,628.66,18.230000000000018,8.759999999999991,1.3727610361525067,01
8,Chatzimarkos P,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,9,652.29,638.13,628.66,23.629999999999995,14.159999999999968,2.218983592684871,01
9,Ismailos Panos,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,10,655.9,638.13,628.66,27.24000000000001,17.769999999999982,2.7846990425148452,01
10,Vigopoulos Nik,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,11,661.25,638.13,628.66,32.59000000000003,23.120000000000005,3.623086205005251,01
11,Tzemos K.  - P,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,12,671.69,638.13,628.66,43.030000000000086,33.56000000000006,5.259116480967837,01
12,Flandy  - Gira,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,14,679.24,638.13,628.66,50.58000000000004,41.110000000000014,6.442260981304752,01
13,Delaportas Gio,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,15,683.68,638.13,628.66,55.01999999999998,45.549999999999955,7.1380439722313564,01
14,Stavropoulos D,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,18,695.36,638.13,628.66,66.70000000000005,57.23000000000002,8.968392020434711,01
15,Tsetsonis Elia,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,20,698.66,638.13,628.66,70.0,60.52999999999997,9.485528027204484,01
16,J.J.  - Stefan,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,21,700.52,638.13,628.66,71.86000000000001,62.389999999999986,9.777004685565634,01
17,Tsoulos Argiri,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,24,713.57,638.13,628.66,84.91000000000008,75.44000000000005,11.822042530518868,01
18,Davaris Nikos ,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,25,720.7,638.13,628.66,92.04000000000008,82.57000000000005,12.93936972090327,01
19,Lymperis A.  -,C2,1,Olympiako,19-05-2024,Gravel,Greek Championship,27,725.61,638.13,628.66,96.95000000000005,87.48000000000002,13.708805415824365,01
50,Papadimitriou ,C1,2,Olympiako,19-05-2024,Gravel,Greek Championship,1,707.82,707.82,707.82,0.0,0.0,0.0,02
51,Tsolakidis Soc,C1,2,Olympiako,19-05-2024,Gravel,Greek Championship,2,714.59,707.82,707.82,6.769999999999982,6.769999999999982,0.956457856517191,02
52,Philippedes Yo,C1,2,Olympiako,19-05-2024,Gravel,Greek Championship,6,726.4,707.82,707.82,18.579999999999927,18.579999999999927,2.624961148314533,02
53,Rendina Max  -,C1,2,Olympiako,19-05-2024,Gravel,Greek Championship,8,733.73,707.82,707.82,25.909999999999968,25.909999999999968,3.660535164307305,02
54,Chatzimarkos P,C2,2,Olympiako,19-05-2024,Gravel,Greek Championship,3,722.31,722.31,707.82,14.489999999999895,0.0,0.0,02
55,Panteli Petros,C2,2,Olympiako,19-05-2024,Gravel,Greek Championship,4,725.19,722.31,707.82,17.370000000000005,2.880000000000109,0.3987207708601721,02
56,Halkias Efthim,C2,2,Olympiako,19-05-2024,Gravel,Greek Championship,5,726.33,722.31,707.82,18.50999999999999,4.0200000000000955,0.5565477426589824,02
57,Amoutzas G.  -,C2,2,Olympiako,19-05-2024,Gravel,Greek Championship,7,728.36,722.31,707.82,20.539999999999964,6.050000000000068,0.8375905082305476,02
58,Karanikolas E.,C2,2,Olympiako,19-05-2024,Gravel,Greek Championship,9,735.11,722.31,707.82,27.289999999999964,12.800000000000068,1.7720923149340408,02
59,Vigopoulos Nik,C2,2,Olympiako,19-05-2024,Gravel,Greek Championship,10,742.21,722.31,707.82,34.389999999999986,19.90000000000009,2.7550497708740145,02
60,Tsoulos Argiri,C2,2,Olympiako,19-05-2024,Gravel,Greek Championship,11,756.0,722.31,707.82,48.17999999999995,33.690000000000055,4.66420235079122,02
61,Tsetsonis Elia,C2,2,Olympiako,19-05-2024,Gravel,Greek Championship,13,767.24,722.31,707.82,59.41999999999996,44.930000000000064,6.220320914842667,02
62,Stavropoulos D,C2,2,Olympiako,19-05-2024,Gravel,Greek Championship,14,767.79,722.31,707.82,59.969999999999914,45.48000000000002,6.296465506499982,02
63,Flandy  - Gira,C2,2,Olympiako,19-05-2024,Gravel,Greek Championship,15,768.22,722.31,707.82,60.39999999999998,45.91000000000008,6.355996732704806,02
64,Delaportas Gio,C2,2,Olympiako,19-05-2024,Gravel,Greek Championship,16,783.32,722.31,707.82,75.5,61.010000000000105,8.44651188547855,02
65,Tzemos K.  - P,C2,2,Olympiako,19-05-2024,Gravel,Greek Championship,19,787.21,722.31,707.82,79.38999999999999,64.90000000000009,8.985061815563968,02
66,J.J.  - Stefan,C2,2,Olympiako,19-05-2024,Gravel,Greek Championship,20,790.08,722.31,707.82,82.25999999999999,67.7700000000001,9.382398139303083,02
67,Lymperis A.  -,C2,2,Olympiako,19-05-2024,Gravel,Greek Championship,23,803.38,722.31,707.82,95.55999999999995,81.07000000000005,11.223712810289218,02
68,Davaris Nikos ,C2,2,Olympiako,19-05-2024,Gravel,Greek Championship,33,844.71,722.31,707.82,136.89,122.40000000000009,16.945632761556688,02
69,Ismailos Panos,C2,2,Olympiako,19-05-2024,Gravel,Greek Championship,47,1066.2,722.31,707.82,358.38,343.8900000000001,47.609752045520636,02
100,Karanikolas E.,C2,3,Olympiako,19-05-2024,Gravel,Greek Championship,1,680.43,680.43,680.43,0.0,0.0,0.0,03
101,Amoutzas G.  -,C2,3,Olympiako,19-05-2024,Gravel,Greek Championship,2,682.49,680.43,680.43,2.060000000000059,2.060000000000059,0.3027497317872609,03
102,Panteli Petros,C2,3,Olympiako,19-05-2024,Gravel,Greek Championship,3,687.42,680.43,680.43,6.990000000000009,6.990000000000009,1.0272915656276191,03
103,Halkias Efthim,C2,3,Olympiako,19-05-2024,Gravel,Greek Championship,4,692.66,680.43,680.43,12.230000000000018,12.230000000000018,1.797392825125291,03
104,Chatzimarkos P,C2,3,Olympiako,19-05-2024,Gravel,Greek Championship,6,695.08,680.43,680.43,14.650000000000091,14.650000000000091,2.1530502770307147,03
105,Stavropoulos D,C2,3,Olympiako,19-05-2024,Gravel,Greek Championship,9,707.76,680.43,680.43,27.33000000000004,27.33000000000004,4.0165777523036965,03
106,Tsoulos Argiri,C2,3,Olympiako,19-05-2024,Gravel,Greek Championship,10,709.6,680.43,680.43,29.170000000000073,29.170000000000073,4.286994988463189,03
107,Flandy  - Gira,C2,3,Olympiako,19-05-2024,Gravel,Greek Championship,11,726.61,680.43,680.43,46.180000000000064,46.180000000000064,6.786884764046275,03
108,J.J.  - Stefan,C2,3,Olympiako,19-05-2024,Gravel,Greek Championship,16,736.34,680.43,680.43,55.91000000000008,55.91000000000008,8.216862866128784,03
109,Davaris Nikos ,C2,3,Olympiako,19-05-2024,Gravel,Greek Championship,18,770.2,680.43,680.43,89.7700000000001,89.7700000000001,13.193127875020222,03
110,Lymperis A.  -,C2,3,Olympiako,19-05-2024,Gravel,Greek Championship,21,777.17,680.43,680.43,96.74000000000001,96.74000000000001,14.217480122863485,03
111,Delaportas Gio,C2,3,Olympiako,19-05-2024,Gravel,Greek Championship,22,781.62,680.43,680.43,101.19000000000005,101.19000000000005,14.871478329879645,03
112,Philippedes Yo,C1,3,Olympiako,19-05-2024,Gravel,Greek Championship,5,694.7,694.7,680.43,14.270000000000095,0.0,0.0,03
