Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
J.J.  - Stefan,C2,2,Olympiako,19-05-2024,Gravel,Greek Championship,20,790.08
Angelopoulos A,C5,2,Olympiako,19-05-2024,Gravel,Greek Championship,21,796.09
Christodoulou ,4,2,Olympiako,19-05-2024,Gravel,Greek Championship,22,803.11
Lymperis A.  -,C2,2,Olympiako,19-05-2024,Gravel,Greek Championship,23,803.38
Paleokostas Di,C5,2,Olympiako,19-05-2024,Gravel,Greek Championship,24,805.91
Manetas Giorgo,C4,2,Olympiako,19-05-2024,Gravel,Greek Championship,25,811.76
Papadopoulos A,C3,2,Olympiako,19-05-2024,Gravel,Greek Championship,26,816.8
Giokaris S.  -,C6,2,Olympiako,19-05-2024,Gravel,Greek Championship,27,831.63
Anastassopoulo,C4,2,Olympiako,19-05-2024,Gravel,Greek Championship,28,831.71
Rigas Giorgos ,C3,2,Olympiako,19-05-2024,Gravel,Greek Championship,29,834.06
Giannakopoulos,C5,2,Olympiako,19-05-2024,Gravel,Greek Championship,30,837.11
Kalamaras Teo ,C5,2,Olympiako,19-05-2024,Gravel,Greek Championship,31,837.71
Chatzigakis Gi,C3,2,Olympiako,19-05-2024,Gravel,Greek Championship,32,838.97
Davaris Nikos ,C2,2,Olympiako,19-05-2024,Gravel,Greek Championship,33,844.71
Panoutsos P.  ,C3,2,Olympiako,19-05-2024,Gravel,Greek Championship,34,850.38
Athanassopoulo,C6,2,Olympiako,19-05-2024,Gravel,Greek Championship,35,852.72
Tsagarakis A. ,C3,2,Olympiako,19-05-2024,Gravel,Greek Championship,36,857.06
Pateas A.  - P,C6,2,Olympiako,19-05-2024,Gravel,Greek Championship,37,861.41
Bris Panagioti,C3,2,Olympiako,19-05-2024,Gravel,Greek Championship,38,872.06
Katevas D.  - ,C6,2,Olympiako,19-05-2024,Gravel,Greek Championship,39,889.69
Kassimis Ioann,C6,2,Olympiako,19-05-2024,Gravel,Greek Championship,40,900.67
Mourikis A.  -,C3,2,Olympiako,19-05-2024,Gravel,Greek Championship,41,927.45
Mavraganis A. ,C4,2,Olympiako,19-05-2024,Gravel,Greek Championship,42,933.48
Tzilavis Savva,2,2,Olympiako,19-05-2024,Gravel,Greek Championship,43,934.01
Vassilopoulos ,2,2,Olympiako,19-05-2024,Gravel,Greek Championship,44,940.03
Dimakopoulos K,C4,2,Olympiako,19-05-2024,Gravel,Greek Championship,45,987.58
Sotiropoulos N,C6,2,Olympiako,19-05-2024,Gravel,Greek Championship,46,997.18
Ismailos Panos,C2,2,Olympiako,19-05-2024,Gravel,Greek Championship,47,1066.2
Lathouris Pana,C4,2,Olympiako,19-05-2024,Gravel,Greek Championship,48,1219.29
Michalopoulos ,C6,2,Olympiako,19-05-2024,Gravel,Greek Championship,49,1379.44
Mantas Panagio,C6,2,Olympiako,19-05-2024,Gravel,Greek Championship,50,1853.01
Karanikolas E.,C2,3,Olympiako,19-05-2024,Gravel,Greek Championship,1,680.43
Amoutzas G.  -,C2,3,Olympiako,19-05-2024,Gravel,Greek Championship,2,682.49
Panteli Petros,C2,3,Olympiako,19-05-2024,Gravel,Greek Championship,3,687.42
Halkias Efthim,C2,3,Olympiako,19-05-2024,Gravel,Greek Championship,4,692.66
Philippedes Yo,C1,3,Olympiako,19-05-2024,Gravel,Greek Championship,5,694.7
Chatzimarkos P,C2,3,Olympiako,19-05-2024,Gravel,Greek Championship,6,695.08
Rendina Max  -,C1,3,Olympiako,19-05-2024,Gravel,Greek Championship,7,696.4
Polykarpou Pan,C5,3,Olympiako,19-05-2024,Gravel,Greek Championship,8,705.93
Stavropoulos D,C2,3,Olympiako,19-05-2024,Gravel,Greek Championship,9,707.76
Tsoulos Argiri,C2,3,Olympiako,19-05-2024,Gravel,Greek Championship,10,709.6
Flandy  - Gira,C2,3,Olympiako,19-05-2024,Gravel,Greek Championship,11,726.61
Angelopoulos A,C5,3,Olympiako,19-05-2024,Gravel,Greek Championship,12,727.76
Panteli Chryso,C5,3,Olympiako,19-05-2024,Gravel,Greek Championship,13,
Paleokostas Di,C5,3,Olympiako,19-05-2024,Gravel,Greek Championship,14,
Dimopoulos Ant,C4,3,Olympiako,19-05-2024,Gravel,Greek Championship,15,728.69
J.J.  - Stefan,C2,3,Olympiako,19-05-2024,Gravel,Greek Championship,16,736.34
Christodoulou ,4,3,Olympiako,19-05-2024,Gravel,Greek Championship,17,759.15
Davaris Nikos ,C2,3,Olympiako,19-05-2024,Gravel,Greek Championship,18,770.2
Manetas Giorgo,C4,3,Olympiako,19-05-2024,Gravel,Greek Championship,19,773.09
Giokaris S.  -,C6,3,Olympiako,19-05-2024,Gravel,Greek Championship,20,774.53
Lymperis A.  -,C2,3,Olympiako,19-05-2024,Gravel,Greek Championship,21,777.17
Delaportas Gio,C2,3,Olympiako,19-05-2024,Gravel,Greek Championship,22,781.62
Giannakopoulos,C5,3,Olympiako,19-05-2024,Gravel,Greek Championship,23,783.29
Chatzigakis Gi,C3,3,Olympiako,19-05-2024,Gravel,Greek Championship,24,783.92
Rigas Giorgos ,C3,3,Olympiako,19-05-2024,Gravel,Greek Championship,25,787.75
Pateas A.  - P,C6,3,Olympiako,19-05-2024,Gravel,Greek Championship,26,803.76
Michalopoulos ,C6,3,Olympiako,19-05-2024,Gravel,Greek Championship,27,810.39
Bris Panagioti,C3,3,Olympiako,19-05-2024,Gravel,Greek Championship,28,815.59
Tsagarakis A. ,C3,3,Olympiako,19-05-2024,Gravel,Greek Championship,29,819.21
Anastassopoulo,C4,3,Olympiako,19-05-2024,Gravel,Greek Championship,30,821.38
Athanassopoulo,C6,3,Olympiako,19-05-2024,Gravel,Greek Championship,31,822.01
Kassimis Ioann,C6,3,Olympiako,19-05-2024,Gravel,Greek Championship,32,831.16
Vassilopoulos ,2,3,Olympiako,19-05-2024,Gravel,Greek Championship,33,843.32
Dimakopoulos K,C4,3,Olympiako,19-05-2024,Gravel,Greek Championship,34,844.38
Mourikis A.  -,C3,3,Olympiako,19-05-2024,Gravel,Greek Championship,35,852.71
Mavraganis A. ,C4,3,Olympiako,19-05-2024,Gravel,Greek Championship,36,855.55
Tzilavis Savva,2,3,Olympiako,19-05-2024,Gravel,Greek Championship,37,861.1
Katevas D.  - ,C6,3,Olympiako,19-05-2024,Gravel,Greek Championship,38,869.14
Sotiropoulos N,C6,3,Olympiako,19-05-2024,Gravel,Greek Championship,39,879.93
Lathouris Pana,C4,3,Olympiako,19-05-2024,Gravel,Greek Championship,40,967.73
Amoutzas G.  -,C2,4,Olympiako,19-05-2024,Gravel,Greek Championship,1,631.78
Philippedes Yo,C1,4,Olympiako,19-05-2024,Gravel,Greek Championship,2,632.31
Halkias Efthim,C2,4,Olympiako,19-05-2024,Gravel,Greek Championship,3,632.74
Panteli Petros,C2,4,Olympiako,19-05-2024,Gravel,Greek Championship,4,633.88
Karanikolas E.,C2,4,Olympiako,19-05-2024,Gravel,Greek Championship,5,640.48
Chatzimarkos P,C2,4,Olympiako,19-05-2024,Gravel,Greek Championship,6,644.28
Rendina Max  -,C1,4,Olympiako,19-05-2024,Gravel,Greek Championship,7,645.52
Polykarpou Pan,C5,4,Olympiako,19-05-2024,Gravel,Greek Championship,8,664.64
Flandy  - Gira,C2,4,Olympiako,19-05-2024,Gravel,Greek Championship,9,674.16
Stavropoulos D,C2,4,Olympiako,19-05-2024,Gravel,Greek Championship,10,682.02
Tsoulos Argiri,C2,4,Olympiako,19-05-2024,Gravel,Greek Championship,11,682.2
Angelopoulos A,C5,4,Olympiako,19-05-2024,Gravel,Greek Championship,12,683.14
Panteli Chryso,C5,4,Olympiako,19-05-2024,Gravel,Greek Championship,13,683.44
Delaportas Gio,C2,4,Olympiako,19-05-2024,Gravel,Greek Championship,14,685.33
J.J.  - Stefan,C2,4,Olympiako,19-05-2024,Gravel,Greek Championship,15,685.73
Dimopoulos Ant,C4,4,Olympiako,19-05-2024,Gravel,Greek Championship,16,694.29
Paleokostas Di,C5,4,Olympiako,19-05-2024,Gravel,Greek Championship,17,702.15
Manetas Giorgo,C4,4,Olympiako,19-05-2024,Gravel,Greek Championship,18,720.61
Chatzigakis Gi,C3,4,Olympiako,19-05-2024,Gravel,Greek Championship,19,721.93
Lymperis A.  -,C2,4,Olympiako,19-05-2024,Gravel,Greek Championship,20,723.18
Davaris Nikos ,C2,4,Olympiako,19-05-2024,Gravel,Greek Championship,21,723.38
Anastassopoulo,C4,4,Olympiako,19-05-2024,Gravel,Greek Championship,22,727.08
Rigas Giorgos ,C3,4,Olympiako,19-05-2024,Gravel,Greek Championship,23,728.57
Giokaris S.  -,C6,4,Olympiako,19-05-2024,Gravel,Greek Championship,24,734.68
Kassimis Ioann,C6,4,Olympiako,19-05-2024,Gravel,Greek Championship,25,736.64
Giannakopoulos,C5,4,Olympiako,19-05-2024,Gravel,Greek Championship,26,738.39
Bris Panagioti,C3,4,Olympiako,19-05-2024,Gravel,Greek Championship,27,740.17
Michalopoulos ,C6,4,Olympiako,19-05-2024,Gravel,Greek Championship,28,743.79
Tsagarakis A. ,C3,4,Olympiako,19-05-2024,Gravel,Greek Championship,29,749.61
Athanassopoulo,C6,4,Olympiako,19-05-2024,Gravel,Greek Championship,30,750.66
Pateas A.  - P,C6,4,Olympiako,19-05-2024,Gravel,Greek Championship,31,754.83
Dimakopoulos K,C4,4,Olympiako,19-05-2024,Gravel,Greek Championship,32,764.73
Sotiropoulos N,C6,4,Olympiako,19-05-2024,Gravel,Greek Championship,33,770.29
Mavraganis A. ,C4,4,Olympiako,19-05-2024,Gravel,Greek Championship,34,784.11
