Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
39,#43,Marrini Stefano  - Valentini S. Mitsubishi Lancer Evo IX,N4,7:30.4,+1:06.6 +  0.7,71.2 7.47,1
40,#72,Leuratti Giorgio  - Del Rio L. Peugeot 208 Rally4,Rally4,7:30.7,+1:06.9 +  0.3,71.2 7.51,1
41,#53,Diserò Luca  - Manocchi Giada Peugeot 208 Rally4,Rally4,7:31.8,+1:08.0 +  1.1,71.0 7.63,1
42,#28,Barni Maurizio  - Zanella Flavio Škoda Fabia Rally2 evo,R5/Rally2,7:32.6,+1:08.8 +  0.8,70.9 7.72,1
43,#83,Solitro Fabio  - Porzio Alberto Renault Clio Rally5,Rally5 Under 25,7:32.9,+1:09.1 +  0.3,70.8 7.76,1
44,#47,Verbilli P.  - Montavoci S. Renault Clio R3,R3,7:33.1,+1:09.3 +  0.2,70.8 7.78,1
45,#85,Savio Michael  - De Bernardini N. Renault Clio Rally5,Rally5,7:37.0,+1:13.2 +  3.9,70.2 8.22,1
46,#82,Lani Alessandro  - Amaducci Gianni Peugeot 206 RC,A7 Under 25,7:37.3,+1:13.5 +  0.3,70.1 8.25,1
47,#48,Giovani Giuliano  - Rossi Fabio Renault Clio R3,R3,7:39.0,+1:15.2 +  1.7,69.9 8.44,1
48,#76,Ricciardi Franco  - Bartolucci M. Peugeot 208 R2,Rally4/R2,7:39.3,+1:15.5 +  0.3,69.8 8.47,1
49,#73,Rousopoulos Christos  - Moukas E. Peugeot 208 Rally4,Rally4,7:40.1,+1:16.3 +  0.8,69.7 8.56,1
50,#38,Santoro Luca  - Bragaglia Davide Mitsubishi Lancer Evo IX,N4,7:41.8,+1:18.0 +  1.7,69.5 8.75,1
51,#84,Nannetti Filippo  - Tasi Alessia Renault Clio Rally5,Rally5,7:41.9,+1:18.1 +  0.1,69.4 8.77,1
52,#46,Tosetto P.  - Gallinaro E. Ford Fiesta Rally3,Rally3 Under 25,7:45.8,+1:22.0 +  3.9,68.9 9.20,1
53,#32,Avandero Stefano  - Tricoli G. Citroën C3 Rally2,R5/Rally2,7:48.0,+1:24.2 +  2.2,68.5 9.45,1
54,#75,Frare Luca  - Rücker S. Peugeot 208 R2,Rally4/R2,7:50.7,+1:26.9 +  2.7,68.1 9.75,1
55,#45,Casarin Matteo  - De Bastiani Sara Mitsubishi Lancer Evo VII,N4,7:53.3,+1:29.5 +  2.6,67.8 10.0,1
56,#89,Lanci Maicol  - De Luca Fabio Citroën Saxo VTS,N2,7:57.7,+1:33.9 +  4.4,67.1 10.5,1
57,#78,Ongaro Germano  - Toffano Mattia Renault Clio RS,N3,8:09.1,+1:45.3 +  11.4,65.6 11.8,1
58,#81,Arati Mauro  - Musolesi Andrea Renault Clio RS,N3,8:09.2,+1:45.4 +  0.1,65.6 11.8,1
59,#79,Cerroni Wiliam  - Cicciarelli F. Renault Clio RS Light,N3,8:11.1,+1:47.3 +  1.9,65.3 12.0,1
60,#77,Bentivogli Giacomo  - Guzzi G. Seat Ibiza 2.0 GTi 16V,A7 Under 25,8:23.3,+1:59.5 +  12.2,63.7 13.4,1
61,#91,Olevano Emmanuele  - De Filippi S. Suzuki Swift Sport MK4,N2 Under 25,8:33.8,+2:10.0 +  10.5,62.4 14.6,1
