Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
40,#28,Ferrarol Maurizio  - Frigerio G. Renault Clio Rally4,Rally4,5:23.6,+1:03.1 +  5.4,75.4 9.31,1
41,#49,De Mattè Bruno  - Compagno Paolo Citroën Saxo VTS,N2,5:24.9,+1:04.4 +  1.3,75.1 9.50,1
42,#51,Melchiori Andrea  - Copelli C. Peugeot 106 Rallye,N2,5:30.8,+1:10.3 +  5.9,73.8 10.4,1
43,#46,Manera Luca  - Manera Francesca Suzuki Swift R1B,Ra5N Over 55,5:31.1,+1:10.6 +  0.3,73.7 10.4,1
44,#34,Betta Armando  - Modenini Mattea Peugeot 208 R2,Rally4/R2,5:32.4,+1:11.9 +  1.3,73.4 10.6,1
45,#37,Marinelli Michele  - D'Errico M. Suzuki Swift Sport Hybrid,Ra5H,5:33.5,+1:13.0 +  1.1,73.2 10.8,1
46,#48,Tumiati Emanuele  - Marcon Alberto Peugeot 106 Rallye,A5,5:50.2,+1:29.7 +  16.7,69.7 13.2,1
47,#38,Pederiva Ivano  - Gretter Daniele Renault Clio Rally5,Rally5,6:14.8,+1:54.3 +  24.6,65.1 16.9,1
48,#50,Piras Sean  - Alongi Fabio Peugeot 106,N2 Under 25,6:17.2,+1:56.7 +  2.4,64.7 17.2,1
49,#47,Campora Cristina  - Iuretig Miriam Peugeot 106 Rallye,A6 Female,6:25.5,+2:05.0 +  8.3,63.3 18.4,1
1,#4,Daprà Matteo  - Conci Mattias Škoda Fabia Rally2 evo,R5/Rally2,6:34.1,,97.1,2
2,#6,Zanolli Alessandro  - Pozzo Denis Škoda Fabia Rally2 evo,R5/Rally2,6:38.5,+4.4 +  4.4,96.0 0.41,2
3,#5,Menegatti Paolo  - Rutigliano N. Škoda Fabia Rally2 evo,R5/Rally2,6:42.2,+8.1 +  3.7,95.1 0.76,2
4,#2,Battaglin A.  - Pagliarini S. Hyundai i20 R5,R5/Rally2 Over 55,6:48.4,+14.3 +  6.2,93.7 1.35,2
5,#8,Sambugaro Michele  - Cumerlato M. Škoda Fabia Rally2 evo,R5/Rally2,6:50.2,+16.1 +  1.8,93.3 1.51,2
6,#1,De Tisi Pietro  - Gasparotto Ivan Škoda Fabia Rally2 evo,R5/Rally2,6:50.6,+16.5 +  0.4,93.2 1.55,2
7,#3,De Tisi Giorgio  - Pozzi Daniel Škoda Fabia Rally2 evo,R5/Rally2 Over 55,6:54.7,+20.6 +  4.1,92.3 1.94,2
8,#7,Ferri Luca  - Ventoso Nicolò Škoda Fabia Rally2 evo,R5/Rally2,6:57.0,+22.9 +  2.3,91.8 2.15,2
9,#10,Chiarani Maurizio  - Gallorini R. Škoda Fabia R5,R5/Rally2,7:05.2,+31.1 +  8.2,90.0 2.93,2
10,#19,Rainer Cesare  - Moser Thomas Renault Clio R3,R3,7:16.2,+42.1 +  11.0,87.7 3.96,2
11,#24,Strabello Stefano  - Montavoci S. Peugeot 208 Rally4,Rally4,7:16.9,+42.8 +  0.7,87.6 4.03,2
12,#9,Bergamin Jacopo  - Tasselli Alice Škoda Fabia Rally2 evo,R5/Rally2,7:17.7,+43.6 +  0.8,87.4 4.10,2
13,#23,Scalco Leonardo  - Toffano Mattia Peugeot 208 Rally4,Rally4,7:21.6,+47.5 +  3.9,86.7 4.47,2
14,#26,Pintarelli Matteo  - Manica F. Peugeot 208 Rally4,Rally4,7:22.7,+48.6 +  1.1,86.4 4.57,2
15,#12,Cappelletti D.  - Taufer D. Škoda Fabia R5,R5/Rally2,7:23.6,+49.5 +  0.9,86.3 4.66,2
16,#15,Toscana Christian  - Turco Fabio Renault Clio S1600,S1600,7:24.0,+49.9 +  0.4,86.2 4.69,2
17,#42,Čendak Martin  - Markežič Jakob Renault Clio Rally5,Rally5 Under 25,7:24.6,+50.5 +  0.6,86.1 4.75,2
18,#30,Angi Simone  - Maddalozzo Jenny Peugeot 208 Rally4,Rally4,7:25.8,+51.7 +  1.2,85.8 4.86,2
19,#31,Casagrande D.  - Franceschini L. Peugeot 208 R2,Rally4/R2,7:26.6,+52.5 +  0.8,85.7 4.94,2
20,#32,Zanon Andrea  - Filippozzi Lisa Peugeot 208 R2,Rally4/R2,7:30.2,+56.1 +  3.6,85.0 5.28,2
21,#25,Pagnan Alex  - Mondin Livio Peugeot 208 Rally4,Rally4,7:31.0,+56.9 +  0.8,84.9 5.35,2
22,#22,Strabello Paolo  - Bianchi Davide Peugeot 208 Rally4,Rally4 Over 55,7:32.4,+58.3 +  1.4,84.6 5.48,2
23,#39,Pellè Roberto  - Zampedri Serena Renault Clio Rally5,Rally5,7:35.0,+1:00.9 +  2.6,84.1 5.73,2
24,#41,Doretto Matteo  - Budoia Andrea Renault Clio Rally5,Rally5 Under 25,7:35.1,+1:01.0 +  0.1,84.1 5.74,2
25,#40,Nerobutto G.  - Nerobutto F. Renault Clio Rally5,Rally5 Under 25,7:41.5,+1:07.4 +  6.4,82.9 6.34,2
26,#20,Micheloni Gianluca  - Antonelli R. Renault Clio R3,R3,7:45.3,+1:11.2 +  3.8,82.2 6.70,2
27,#16,Zigliani Ludwig  - Rota Giuseppe Renault Clio S1600,S1600,7:49.6,+1:15.5 +  4.3,81.5 7.10,2
