,,,ss_time,ss_time,ss_time,ss_time
#16,Lorenzon Filippo  - Soldan G. Citroën C3 Rally2,R5/Rally2,7:17.9,7:11.3,7:02.3,7:05.6
#18,Tripolino Giuseppe  - Viola V. Škoda Fabia R5,R5/Rally2,7:30.5,-,-,-
#19,Vintaloro M.  - Buscemi G. Škoda Fabia Rally2 evo,R5/Rally2,7:40.3,7:29.3,7:19.3,7:38.2
#2,Trentin Mauro  - Zanella Flavio Citroën C3 Rally2,R5/Rally2,7:12.1,7:11.0,7:00.1,7:08.1
#20,Begher Walter  - Tessaro Rudy Citroën C3 Rally2,R5/Rally2,7:31.3,7:25.4,7:21.7,7:30.8
#21,Versace Tullio Luigi  - Moruzzi G. Škoda Fabia R5,R5/Rally2,7:13.3,7:05.1,6:58.1,7:08.5
#22,Sandrin Andrea  - Menegon Manuel Škoda Fabia Rally2 evo,R5/Rally2,7:06.8,7:02.5,6:54.3,7:17.6
#23,Aragno Francesco  - Segir Andrea Škoda Fabia R5,R5/Rally2,7:33.1,7:05.6,6:57.8,7:04.2
#24,Sandel Fabio  - Tommasini Sandra Škoda Fabia R5,R5/Rally2,7:26.1,7:12.5,7:04.6,7:15.6
#25,Callegaro Fabio  - Franchin F. Škoda Fabia Rally2 evo,R5/Rally2,7:28.8,7:16.3,7:02.9,7:38.1
#26,Brik  - Valmassoi Paola Škoda Fabia R5,R5/Rally2,7:52.9,7:26.5,7:20.3,7:57.4
#27,Ferronato Massimo  - Zortea Marco Škoda Fabia R5,R5/Rally2,7:15.8,7:05.5,7:00.1,7:10.8
#28,Ghelfi Loris  - Decadenti Martina Škoda Fabia Rally2 evo,R5/Rally2,7:54.2,7:32.8,7:24.1,7:36.4
#29,Zigliani Ludwig  - Rota Giuseppe Škoda Fabia R5,R5/Rally2,8:23.7,7:45.6,7:31.2,8:01.1
#3,Ceccoli Daniele  - Capolongo P. Škoda Fabia Rally2 evo,R5/Rally2,7:20.9,7:07.9,7:00.8,7:27.9
#30,Spagolla Alberto  - Zamboni G. Škoda Fabia R5,R5/Rally2,7:17.5,7:24.1,7:05.8,7:11.3
#31,Basso Andrea  - Rücker S. Škoda Fabia Rally2 evo,R5/Rally2,7:25.1,7:14.3,7:03.2,7:25.4
#32,Bassetto Luigino  - Bertoldi Denis Škoda Fabia R5,R5/Rally2,8:06.9,7:41.5,7:22.8,7:49.7
