,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9
No,Crew,Gr/Cl,,,,,,,,,
#1,Andreucci Paolo  - Briani Rudy Škoda Fabia Rally2 evo,R5/Rally2 Over 55,6:29.6,6:06.3,4:17.8,6:13.5,5:51.9,4:14.4,6:13.0,5:49.4,4:10.7
#11,Grossi A.  - Cardinali F. Škoda Fabia R5,R5/Rally2 Under 25,7:00.6,6:25.7,4:26.1,6:24.1,6:01.4,4:18.6,6:21.5,5:59.9,4:13.3
#12,Dati Emanuele  - Ciucci Giacomo Škoda Fabia Rally2 evo,R5/Rally2,6:43.2,6:08.6,4:17.6,6:20.9,5:57.2,4:14.0,6:19.7,5:57.1,4:13.4
#15,Hoelbling Luca  - Righetti Stefano Škoda Fabia Rally2 evo,R5/Rally2,6:59.3,6:23.0,4:26.9,6:28.6,6:03.6,4:23.3 [N],6:24.7,6:00.8,4:20.0
#16,Tali Nicola  - Frau Massimiliano Škoda Fabia Rally2 evo,R5/Rally2,6:56.4,-,-,-,-,-,-,-,-
#18,Quilichini J.  - Belhacène M. Škoda Fabia R5,R5/Rally2,6:46.2,6:13.4,4:17.7,6:22.0,5:58.3,4:13.1,6:17.8,5:54.2,4:10.7
#19,Bresolin Edoardo  - Pollet Rudy Škoda Fabia Rally2 evo,R5/Rally2,6:39.9,6:10.8,4:15.9,6:21.9,5:57.9,4:13.8,6:17.8,5:54.3,4:11.8
#2,Ciuffi Tommaso  - Cigni Pietro Škoda Fabia Rally2 evo,R5/Rally2,6:35.0,6:14.2,4:19.8,6:33.6,5:57.1,4:11.4,6:16.4,5:55.4,4:12.3
#21,Epis Filippo  - Zanni Gabriele Škoda Fabia R5,R5/Rally2,6:55.8,6:36.2,4:32.7,6:35.1,7:05.7,4:28.0,6:41.9,6:12.7,4:19.9
#22,Squarcialupi M.  - Squarcialupi G. Hyundai i20 N Rally2,R5/Rally2,7:19.5,6:42.4,4:56.1,6:50.2,6:35.0,4:35.8,6:41.3,6:25.7,4:32.3
#25,Roncoroni Marco  - Brusadelli P. Škoda Fabia Rally2 evo,R5/Rally2,7:02.9,6:39.1,4:32.2,6:36.0,6:19.3,4:27.0,6:31.9,6:18.4,4:26.5
#26,Griotti Daniele  - Grimaldi Fabio Škoda Fabia Rally2 evo,R5/Rally2 Over 55,7:02.1,7:04.9,4:23.5,6:41.6,6:17.5,4:22.1,6:37.6,-,-
#27,Pavlidis Nikos  - Harryman Allan Škoda Fabia Rally2 evo,R5/Rally2 Over 55,7:11.6,-,-,-,-,-,-,-,-
#28,Barni Maurizio  - Zanella Flavio Škoda Fabia Rally2 evo,R5/Rally2,7:32.6,7:06.1,4:49.6,7:19.5,6:48.5,4:39.7,7:17.3,6:44.9,4:42.0
#29,Aligizakis E.  - Amaxopoulos D. Škoda Fabia R5,R5/Rally2,6:47.8,6:25.9,4:26.9,6:36.5,6:14.7,4:23.3,6:36.4,6:12.7,4:23.8
#3,Gryazin Nikolay  - Aleksandrov K. Škoda Fabia Rally2 evo,R5/Rally2,6:24.9,6:02.2,4:13.6,6:12.8,5:48.8,4:08.4,6:13.3,5:47.6,4:09.1
#31,Tavelli Gianluca  - Cottellero N. Škoda Fabia Rally2 evo,R5/Rally2,7:01.0,6:31.9,4:29.6,6:56.5,7:07.9,4:31.6,6:42.6,6:27.3,4:22.5
#32,Avandero Stefano  - Tricoli G. Citroën C3 Rally2,R5/Rally2,7:48.0,6:46.8,4:38.1,7:00.5,6:39.2,4:39.4,7:05.7,6:33.5,4:35.9
#33,Rigo Riccardo  - Darderi Daiana Citroën DS3 N5,N5,7:24.9,7:00.8,4:52.1,7:04.2,6:36.2,4:44.9,6:56.6,6:32.4,4:33.2
#34,Travaglia Aronne  - Brachi Simone Ford Fiesta N5,N5,6:56.9,6:39.5,5:00.1,6:46.0,6:20.0,4:27.6,6:46.1,6:17.6,4:24.0
#35,Rossetto Alessandro  - Lazzer M. Volkswagen Polo MK5 N5,N5,7:19.2,7:02.9,4:43.5,7:05.8,6:45.4,4:37.7,7:06.9,6:46.8,4:41.8
#37,Mattonen  - Taglienti Giulia Mitsubishi Lancer Evo X,N4,7:04.2,6:57.5,4:41.6,6:53.6,7:27.0,4:47.6,-,-,-
#38,Santoro Luca  - Bragaglia Davide Mitsubishi Lancer Evo IX,N4,7:41.8,7:39.1,5:09.9,14:02.1,-,-,-,-,-
#39,Peljhan Darko  - Čar Matej Mitsubishi Lancer Evo IX,N4,7:10.2,7:13.3,4:41.8,6:48.4,6:28.3,4:29.2,6:41.9,6:23.0,4:24.5
#41,Milani Michele  - Camazzola C. Mitsubishi Lancer Evo VII,N4,7:20.2,6:56.9,4:45.0,10:55.2,-,-,-,-,-
#42,Temeroli Simone  - Simoncini D. Mitsubishi Lancer Evo IX,N4,7:08.0,6:57.3,4:29.9,6:49.8,6:36.8,4:33.6,6:52.9,6:36.6,4:36.6
#43,Marrini Stefano  - Valentini S. Mitsubishi Lancer Evo IX,N4,7:30.4,7:04.5,4:48.4,7:31.8,-,-,-,-,-
#44,Piccolotto Michele  - Marchiori M. Mitsubishi Lancer Evo X,N4,7:25.5,7:00.5,4:44.6,7:13.0,6:44.3,4:38.9,-,-,-
#45,Casarin Matteo  - De Bastiani Sara Mitsubishi Lancer Evo VII,N4,7:53.3,7:24.1,4:56.9,1:44:33.8,11:53.6,-,-,-,-
#46,Tosetto P.  - Gallinaro E. Ford Fiesta Rally3,Rally3 Under 25,7:45.8,7:07.7,-,-,-,-,-,-,-
#47,Verbilli P.  - Montavoci S. Renault Clio R3,R3,7:33.1,7:09.9,4:52.3,7:16.5,6:51.6,4:44.5,7:12.4,6:50.8,4:48.8
#48,Giovani Giuliano  - Rossi Fabio Renault Clio R3,R3,7:39.0,7:15.0,4:58.8,7:32.4,7:40.4,4:58.3,7:33.2,7:07.7,4:57.1
#49,Cogni Giorgio  - Colapietro Andrea Peugeot 208 Rally4,Rally4,7:04.4,6:35.8,4:37.7,7:07.0,6:27.8,4:32.6,6:55.1,6:27.1,4:32.6
#51,Fontana Matteo  - Arnaboldi A. Peugeot 208 Rally4,Rally4 Under 25,7:03.4,6:36.1,4:30.7,7:07.6,6:21.2,4:29.6,6:54.8,6:22.2,4:28.6
#52,Marchioro Nicolò  - Marchetti M. Peugeot 208 Rally4,Rally4,7:16.3,-,-,-,-,-,-,-,-
#53,Diserò Luca  - Manocchi Giada Peugeot 208 Rally4,Rally4,7:31.8,7:07.0,4:45.5,7:32.0,6:50.2,4:42.6,7:18.0,6:42.9,4:40.6
#54,Pesavento Davide  - Zaramella M. Peugeot 208 Rally4,Rally4 Under 25,7:06.7,6:43.5,4:40.8,7:01.3,6:27.1,4:39.4,6:53.1,6:25.3,4:34.4
#55,Ancillotti L.  - Ancillotti C. Peugeot 208 Rally4,Rally4,7:16.5,7:07.8,4:41.2,7:09.7,6:45.2,4:38.1,7:04.1,6:50.5,4:35.8
#56,Pierulivo Leonardo  - Ferrigno E. Peugeot 208 Rally4,Rally4 Under 25,7:24.5,7:09.1,4:48.1,7:24.4,6:45.7,4:44.4,7:16.3,6:40.0,4:39.3
#57,Stella Manuele  - Refondini Sara Peugeot 208 Rally4,Rally4,7:29.7,7:00.7,4:48.3,7:21.5,6:40.4,4:40.5,7:08.8,6:35.3,4:36.1
#58,Brancadori Alberto  - Pollini C. Peugeot 208 Rally4,Rally4 Over 55,7:26.6,7:06.0,4:49.7,7:17.6,6:43.4,4:46.0,7:16.0,6:42.2,4:46.7
#59,Bartolini Davide  - Selva Roberto Peugeot 208 Rally4,Rally4,7:22.3,6:58.8,4:45.8,7:16.9,6:44.8,4:37.8,7:07.9,6:39.3,4:36.4
#6,Vagnini Jader  - Musiari Martina Škoda Fabia R5,R5/Rally2,6:47.3,6:24.7,4:30.6,6:21.0,5:55.9,-,-,-,-
#72,Leuratti Giorgio  - Del Rio L. Peugeot 208 Rally4,Rally4,7:30.7,7:01.0,4:51.4,7:25.2,6:49.8,4:46.8,7:18.3,6:44.3,4:46.1
#73,Rousopoulos Christos  - Moukas E. Peugeot 208 Rally4,Rally4,7:40.1,7:15.1,4:55.5,7:29.8,6:51.7,4:56.3,7:25.4,7:06.6,4:53.4
#74,Zorzi Alessandro  - Franzoni R. Peugeot 208 R2,Rally4/R2,7:29.5,7:03.3,4:43.6,7:20.7,6:54.8,4:42.8,7:20.7,6:49.8,4:40.8
#75,Frare Luca  - Rücker S. Peugeot 208 R2,Rally4/R2,7:50.7,7:28.8,4:58.7,7:48.3,7:17.0,5:00.9,7:51.1,7:20.5,5:06.5
#76,Ricciardi Franco  - Bartolucci M. Peugeot 208 R2,Rally4/R2,7:39.3,7:21.6,4:53.8,7:45.7,7:05.1,4:54.0,7:39.1,6:58.4,4:57.6
