,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
#47,Campora Cristina  - Iuretig Miriam Peugeot 106 Rallye,A6 Female,6:25.5,9:51.4,8:33.8,5:56.2,9:27.3,8:15.6,5:45.1
#48,Tumiati Emanuele  - Marcon Alberto Peugeot 106 Rallye,A5,5:50.2,-,-,-,-,-,-
#49,De Mattè Bruno  - Compagno Paolo Citroën Saxo VTS,N2,5:24.9,8:25.9,7:36.4,5:10.0,8:28.9,7:31.3,5:15.9
#5,Menegatti Paolo  - Rutigliano N. Škoda Fabia Rally2 evo,R5/Rally2,4:22.6,6:42.2,6:06.4,4:11.4,6:32.3,6:03.4,4:09.6
#50,Piras Sean  - Alongi Fabio Peugeot 106,N2 Under 25,6:17.2,8:49.5,8:04.6,5:32.7,8:28.3,7:56.6,5:29.8
#51,Melchiori Andrea  - Copelli C. Peugeot 106 Rallye,N2,5:30.8,8:23.8,7:35.5,5:16.9,8:12.7,7:25.8,5:06.9
#6,Zanolli Alessandro  - Pozzo Denis Škoda Fabia Rally2 evo,R5/Rally2,4:20.5,6:38.5,6:02.1,4:11.6,6:39.0,6:00.0,4:10.5
#7,Ferri Luca  - Ventoso Nicolò Škoda Fabia Rally2 evo,R5/Rally2,4:26.3,6:57.0,6:14.1,4:21.9,6:52.7,6:12.0,4:19.6
#8,Sambugaro Michele  - Cumerlato M. Škoda Fabia Rally2 evo,R5/Rally2,4:32.8,6:50.2,6:12.4,4:17.4,6:52.8,6:17.2,4:16.4
#9,Bergamin Jacopo  - Tasselli Alice Škoda Fabia Rally2 evo,R5/Rally2,4:34.0,7:17.7,6:20.5,4:22.6,6:56.9,6:18.4,4:22.3
