1,#11,RC1,14:33,1:41.4,4:16.5,5:24.1,7:00.6,9:28.1,12:16.6,14:38.5,16:24.2,
2,#17,RC1,14:37,-1.2,-3.6,-4.7,-4.6,-5.9,-8.3,-11.4,16:11.0,-13.2
3,#8,RC1,14:41,-2.0,-4.4,-5.3,-5.5,-6.4,-9.1,-11.0,16:12.9,-11.3
4,#33,RC1,14:45,-1.1,-2.1,-3.1,-0.9,+1.9,+3.8,+3.0,16:26.4,+2.2
5,#16,RC1,14:49,-0.4,-2.6,-4.1,-,-,-,-,26:11.0,+9:46.8
6,#6,RC1,14:53,-2.0,-3.9,-4.7,-3.0,-1.8,-1.9,-3.0,16:21.3,-2.9
7,#13,RC1,14:57,+0.2,-0.1,-1.1,+0.1,+0.9,-0.5,+0.6,16:23.6,-0.6
8,#19,RC1,15:01,+4.8,+17.4,+20.5,+36.2,+50.5,+1:07.0,+1:21.4,17:54.4,+1:30.2
9,#20,RC2,15:04,+3.4,+6.1,+6.2,+11.5,+17.1,+23.4,+28.7,16:55.0,+30.8
10,#21,RC2,15:06,+2.0,+6.0,+57,+10.3,+13.7,+16.0,+20.9,16:45.4,+21.2
11,#22,RC2,15:08,+4.8,+11.2,+13.0,+21.6,+34.8,+45.3,+53.4,17:22.0,+57.8
12,#23,RC2,15:10,+3.1,+7.1,+7.4,+11 7,+16.9,+22.2,+25.4,16:51.3,+27.1
13,#25,RC2,15:12,+4.0,+7.9,+5.2,+10.9,+15.9,+23.8,+24.4,16:49.0,+24.8
14,#26,RC2,15:14,+3 7,+9.9,+10.7,+16.1,+23.1,+30.7,+36.0,17:02.5,+38.3
15,#27,RC2,15:16,+2.6,+5.9,+5.3,+9.8,+14.1,+19.5,+24.6,16:50.7,+26.5
16,#28,RC2,15:18,+2.2,+5.2,+5.5,+9.8,+13.4,+17.5,+20.8,16:45.5,+21.3
17,#24,RC2,15:20,+2.9,+6.8,+6.6,+10.5,+14.5,+20.2,+25.7,16:51.6,+27.4
18,#29,RC2,15:23,+3.3,+6.7,+7.4,+14.0,+20.2,+26.4,+30.2,16:56.3,+32.1
19,#30,RC2,15:25,+3 7,+7.9,+9.0,+14.9,+22.3,+28.7,+33.9,16:59.1,+34.9
20,#32,RC2,15:27,+5 7,+13.5,+13.9,+21.2,+28.7,+37.4,+44.3,17:11.6,+47.4
21,#35,RC2,15:29,+6.9,+18.1,+20.8,+34.1,+50.9,+1:06.9,+1:18.6,17:47.3,+1:23.1
22,#37,RC2,15:31,+7 5,+22.8,+26.3,+41.8,+53.9,+1:09.8,+1:23.8,17:53.5,+1:29.3
23,#39,RC2,15:33,+8.5,+24.1,+27.9,+47.5,+1:04.9,+1:27.3,+1:44.7,18:13.6,+1:49.4
24,#40,RC2,15:35,+9.8,+22.8,+26.5,+42.7,+56.9,+1:13.1,+1:26.8,17:56.3,+1:32.1
25,#41,RC2,15:37,+9.4,+27.3,+31.4,+50.0,+ 1:07.2,+1:29.3,+1:47.4,18:19.6,+1:55.4
26,#44,RC2,15:39,+10.8,+29.5,+34.4,+50.8,+1:08.5,+1:26.1,+1:43.8,18:14.9,+1:50.7
27,#45,RC2,15:41,+10.5,+32.1,+39.1,+59.8,+1:19.8,+1:42.8,+2:02.1,18:33.3,+2:09.1
28,#46,RC2,15:43,+13.0,+45.1,+52.9,+1:15.9,+1:43.5,+2:42.2,+3:12.2,19:47.5,+3:23.3
29,#47,RC2,15:45,+14.9,+41.4,+48.5,+1:14.3,+1:44.3,+2:14.9,+2:39.7,19:14.4,+2:50.2
30,#36,RC2,15:47,+17.6,+45.1,+55.5,+1:19.9,+1:42.5,+2:14.9,+2:42.4,19:17.4,+2:53.2
31,#48,RC2,15:49,+16.6,+4:20.2,+4:25.6,+4:52.2,+5:15.5,+6:03.1,+6:33.5,23:08.0,+6:43.8
32,#49,RC2,15:51,+15.8,+43.7,+55.4,+1:23.3,+1:49.7,+2:18.8,+2:44.1,19:17.6,+2:53.4
33,#50,RC2,15:53,+17.2,+1:02.2,+ 1:21.2,+1:46.5,+2:10.7,+2:44.7,+3:22.5,20:01.2,+3:37.0
34,#58,RC3,15:56,+10.9,+28.5,+32.5,+45.6,+1:04.9,+1:23.4,+1:38.2,18:08.3,+1:44.1
35,#59,RC3,15:58,+9.7,+23.9,+27.7,+44.5,+1:03.7,+1:24.1,+1:39.4,18:10.6,+1:46.4
36,#60,RC3,16:00,+11.5,+28.4,+32.2,+48.8,+1:08.7,+1:31.5,+1:45.8,18:15.5,+1:51.3
37,#61,RC3,16:02,+10.4,+25.6,+29.1,+42.7,+59.5,+1:17.6,+1:31.1,17:58.0,+1:33.8
38,#62,RC3,16:04,+12.5,+32.6,+40.0,+57.0,+1:18.2,+1:41.9,+1:57.8,18:29.7,+2:05.5
39,#63,RC3,16:06,+12.4,+30.7,+37.4,+51.2,+1:08.9,+1:29.4,+1:45.1,18:16.3,+1:52.1
40,#64,RC3,16:08,+10.9,+27.8,+32.8,+48.6,+1:06.2,+1:26.5,+1:45.1,18:20.8,+1:56.6
41,#66,RC3,16:10,+12.9,+34.2,+40.7,+58.0,+3:38.7,+4:27.5,+4:54.6,21:29.1,+5:04.9
42,#67,RC3,16:12,+13.7,+36.8,+42.7,+1:00.8,+1:26.6,+1:53.5,+2:14.4,18:46.5,+2:22.3
43,#68,RC3,16:14,+12.0,+35.8,+40.8,+1:05.2,+1:33.5,+2:09.5,+2:31.8,19:03.8,+2:39.6
44,#70,RC3,16:16,+15.3,+35.9,+41.6,+57.7,+1:13.6,+1:33.4,+1:51.7,18:23.0,+1:58.8
45,#71,RC3,16:18,+15.0,+39.3,+48.0,+1:10.2,+1:37.0,+2:11.9,+2:38.2,19:15.3,+2:51.1
46,#72,RC3,16:20,+13.2,+32.7,+39.1,+56.8,+1:20.6,+1:46.5,+2:02.8,18:31.4,+2:07.2
47,#51,RC3,16:22,+14.5,+37.0,+43.1,+1:03.9,+1:26.5,+1:53.5,+2:10.6,18:39.9,+2:15.7
48,#52,RC3,16:24,+13.2,+33.2,+39.0,+1:00.7,+1:27.4,+2:23.3,+4:00.1,24:31.8,+8:07.6
49,#53,RC3,16:26,+15.7,+40.2,+46.9,+1:09.5,+1:34.2,+2:04.9,+2:27.7,19:00.6,+2:36.4
50,#55,RC3,16:28,+18.1,+55.7,+1:06.0,+1:37.8,+2:17.3,+3:00.9,+3:32.3,20:10.6,+3:46.4
51,#56,RC3,16:30,+21.5,+1:01.6,+ 1:12.1,+1:43.1,+2:19.4,+3:02.0,+3:33.2,20:09.6,+3:45.4
52,#74,RC2,16:36,+6.9,+21.7,+24.7,+39.5,+55.4,+1:12.8,+1:27.6,17:55.4,+1:31.2
53,#73,RC2,16:38,+8.6,+24.2,+27.5,+43.8,+57.3,+1:17.1,+1:33.0,18:02.9,+1:38.7
54,#75,RC3,16:40,+11.9,+30.0,+33.4,+47.7,+1:02.9,+1:21.1,+1:35.7,18:05.5,+1:41.3
55,#76,RC3,16:42,+16.7,+41.9,+48.1,+1:09.7,+1:34.9,+2:00.8,+2:18.5,18:52.3,+2:28.1
56,#57,RC3,16:44,+24.0,+1:07.0,+1:26.4,+2:02.8,+2:40.9,+3:21.3,+3:59.6,20:40.0,+4:15.8
57,#77,RC2,16:46,+15.1,+45.7,+55.6,+1:17.8,+1:47.6,+2:22.7,+2:50.6,19:27.0,+3:02.8
58,#79,RC2,16:48,+17.0,+45.4,+53.2,+1:19.8,+1:49.3,+2:29.0,+2:59.9,19:37.8,+3:13.6
59,#81,RC4,16:50,+25.4,+1:00.2,+1:15.8,+1:46.1,+2:22.5,+3:04.8,+3:33.9,20:15.0,+3:50.8
60,#82,RC4,16:52,+28.4,+1:01.0,+1:16.0,+1:51.9,+2:42.3,+3:43.3,+4:10.4,20:48.6,+4:24.4
61,#83,RC4,16:54,+34.2,+1:20.1,+1:42.6,+2:27.8,+3:24.1,+4:21.9,+4:58.1,21:40.5,+5:16.3
62,#85,RC5,16:56,+42.4,+1:34.1,+1:58.6,+3:00.7,+4:31.4,+5:59.0,+6:43.8,23:34.1,+7:09.9
63,#84,RC4,16:58,+53.0,+2:14.8,+2:54.8,+3:54.4,+5:04.8,+6:28.9,+7:29.3,24:24.0,+7:59.8
