1,#11,RC1,17:52,55.4,3:02.7,5:14.7,8:04.1,10:25.7,10:54.3,14:12.1,16:56.9,
2,#17,RC1,17:56,+11.5,+30.5,+55.7,+1:16.5,+1:29.3,+1:31.5,+2:05.5,19:19.7,+2:22.8
3,#8,RC1,18:02,+0.1,+0.4,+0.5,+1 4,+ 1 7,+1.3,+1.0,16:58.3,+1 4
4,#33,RC1,18:06,+2.1,+5.7,+11.5,+20.7,+27.5,+28.2,+38.8,17:42.7,+45.8
5,#6,RC1,18:12,-0.1,-0.1,-0.5,+1.2,+0.7,+0.7,+1.2,16:57.6,+0.7
6,#13,RC1,18:16,+0.7,+2.1,+4.8,+10.3,+2:06.3,+2:06.3,+2:14.2,19:26.7,+2:29.8
7,#19,RC1,18:20,+5.2,+15.9,+27.5,+48.4,+1:06.9,+1:09.5,+1:39.4,18:52.9,+1:56.0
8,#20,RC2,18:23,+2.3,+6.6,+10.6,+19.1,+23.6,+23.9,+28.8,17:29.6,+32.7
9,#21,RC2,18:25,+0.5,+5.0,+7.8,+15.1,+2:22.8,+2:22.9,+2:30.4,19:30.5,+2:33.6
10,#23,RC2,18:29,+1.8,+7.4,+12.6,+23.0,+27.5,+28.2,+37.0,17:40.8,+43.9
11,#25,RC2,18:31,+1.9,+6.7,+9.9,+18.3,+23.4,+24.2,+31.9,17:35.7,+38.8
12,#26,RC2,18:33,+1.9,+8.6,+13.8,+26.4,+34.1,+35.0,+46.9,17:51.2,+54.3
13,#27,RC2,18:35,+0.5,+4.1,-,-,-,-,-,27:18.5,+10:21.6
14,#28,RC2,18:37,-,+3.1,+7.5,+11.2,+13.8,+13.7,+18.5,17:18.5,+21.6
15,#24,RC2,18:41,+0.6,+3 7,+8.4,+17.6,+22.0,+22.4,+33.8,17:36.4,+39.5
16,#29,RC2,18:44,+1 7,+6.5,+11.5,+19.7,+23.7,+24.2,+36.5,17:39.5,+42.6
17,#30,RC2,18:46,+1.8,+10.6,+17.9,+34.8,+42.8,+43.9,+54.0,17:56.4,+59.5
18,#32,RC2,18:48,+2.3,+8.7,+14.2,+26.1,+34.1,+34.5,+47.8,17:52.3,+55.4
19,#35,RC2,18:50,+3.3,+9.7,+17.8,+36.4,+48.3,+50.2,+1:11.8,18:20.0,+1:23.1
20,#37,RC2,18:52,+4.0,+14.0,+24.2,+45.2,+1:21.7,+1:26.1,+2:24.2,19:54.4,+2:57.5
21,#39,RC2,18:54,+4.0,+13.1,+25.0,+49.8,+1:07.9,+1:11.5,+1:41.4,18:57.2,+2:00.3
22,#40,RC2,18:56,+5.4,+17.9,+32.4,+55.7,+1:13.0,+1:15.2,+1:41.2,18:54.8,+1:57.9
23,#44,RC2,18:58,+6.5,+19.6,+35.1,+1:13.5,+2:14.2,+2:16.9,+2:47.6,20:02.5,+3:05.6
24,#45,RC2,19:00,+5.7,+18.8,+33.2,+58.4,+1:17.1,+1:19.6,+1:53.9,19:12.7,+2:15.8
25,#46,RC2,19:02,+7 7,+27.6,+50.0,+1:34.5,+2:10.2,+2:15.1,+3:15.3,20:47.1,+3:50.2
26,#47,RC2,19:04,+7 3,+27.1,+50.9,+1:29.1,+1:59.3,+2:03.0,+2:49.0,20:11.5,+3:14.6
27,#36,RC2,19:06,+8.1,+26.7,+45.6,+1:19.4,+1:46.5,+1:49.4,+2:29.9,19:51.4,+2:54.5
28,#48,RC2,19:08,+10.5,+32.3,+59.2,+1:37.0,+2:09.7,+2:13.8,+3:02.2,20:27.5,+3:30.6
29,#49,RC2,19:10,+9.6,+26.8,+48.0,+1:26.7,+1:56.9,+2:00.4,+2:42.3,20:06.1,+3:09.2
30,#50,RC2,19:12,+9.2,+26.4,+46.7,+1:19.5,+1:44.7,+1:48.4,+2:33.7,19:57.4,+3:00.5
31,#58,RC3,19:16,+4.9,+16.9,+30.5,+55.8,+1:12.4,+1:13.9,+1:40.4,18:51.1,+1:54.2
32,#59,RC3,19:18,+4.1,+15.7,+27.5,+50.7,+1:05.1,+1:07.1,+1:47.9,19:39.5,+2:42.6
33,#60,RC3,19:20,+4.2,+13.6,+24.1,+41.9,+54.5,+56.3,+1:17.4,18:25.0,+1:28.1
34,#61,RC3,19:22,+4.7,+17.8,+28.2,+49.8,+1:04.1,+1:05.5,+1:26.9,18:35.3,+1:38.4
35,#62,RC3,19:24,+4.9,+18.5,+34.0,+58.3,+1:16.5,+1:19.2,+1:48.6,19:01.3,+2:04.4
36,#63,RC3,19:26,+3.8,+13.5,+24.8,+46.4,+59.9,+1:01.0,+1:24.3,18:34.1,+1:37.2
37,#64,RC3,19:28,+4.6,+16.2,+28.4,+55.3,+1:14.9,+1:17.0,+1:43.8,18:53.9,+1:57.0
38,#66,RC3,19:30,+5.9,+21.6,+37.3,+1:09.9,+1:33.3,+1:36.3,+2:09.6,19:28.5,+2:31.6
39,#67,RC3,19:32,+6.5,+22.0,+38.3,+1:11.3,+1:34.9,+1:37.7,+2:14.8,19:33.7,+2:36.8
40,#68,RC3,19:34,+7.6,+26.6,+46.1,+1:27.8,+1:56.5,+1:59.7,+2:49.7,20:14.1,+3:17.2
41,#70,RC3,19:36,+6.7,+21.2,+36.9,+1:02.3,+1:22.4,+1:24.5,+1:55.2,19:11.4,+2:14.5
42,#71,RC3,19:38,+8.3,+28.7,+49.6,+1:24.3,+1:53.4,+1:57.9,+2:49.0,20:37.4,+3:40.5
43,#72,RC3,19:40,+6.4,+19.8,+32.8,+55.9,+1:13.3,+1:15.2,+1:43.7,18:59.4,+2:02.5
44,#51,RC3,19:42,+7 3,+24.2,+43.7,+1:18.3,+1:43.0,+1:46.4,+2:23.2,19:38.7,+2:41.8
45,#52,RC3,19:45,+5.8,+21.4,+38.8,+1:09.9,+1:31.9,+1:34.5,+2:13.1,19:33.7,+2:36.8
46,#53,RC3,19:47,+24.0,+49.8,+1:14.7,+1:55.0,+2:27.1,+2:32.1,+3:27.2,20:56.7,+3:59.8
47,#55,RC3,19:49,+10.7,+42.3,+1:12.8,+1:59.8,+2:44.8,+2:48.9,+3:47.7,21:30.4,+4:33.5
