44,#68,RC3,13:33,+7.0,+25.2,+40.3,+1:21.0,+1:42.5,+1:43.2,+2:21.6,19:58.9,+2:40.0
45,#70,RC3,13:35,+6.2,+25.0,+38.4,+1:11.8,+1:30.8,+1:31.7,+2:01.3,19:36.1,+2:17.2
46,#71,RC3,13:37,+9.3,+25.7,+41.8,+1:13.1,+1:32.4,+1:34.1,+2:25.0,20:45.8,+3:26.9
47,#72,RC3,13:39,+5.8,+20.2,+34.4,+1:02.7,+1:16.6,+1:18.1,+1:43.4,19:14.0,+1:55.1
48,#51,RC3,13:41,+6.7,+20.6,+31.5,+1:00.0,+1:11.6,+1:12.9,+1:37.1,19:07.7,+1:48.8
49,#52,RC3,13:43,+6.8,+19.9,+32.7,+1:00.3,+1:16.4,+1:17.7,+1:47.3,19:20.1,+2:01.2
50,#53,RC3,13:45,+7.8,+25.4,+41.1,+1:15.2,+1:33.8,+1:35.7,+2:10.6,19:46.9,+2:28.0
51,#54,RC3,13:47,+7 7,+22.4,+38.3,+1:10.1,+1:26.8,+2:20.6,-,29:07.7,+11:48.8
52,#55,RC3,13:49,+9.6,+28.5,+52.2,+1:34.9,+2:07.5,+2:09.9,+2:56.7,20:43.5,+3:24.6
53,#56,RC3,13:51,+ 12.0,+31.9,+52.1,+1:30.3,+1:52.6,+1:54.6,+2:33.1,20:13.0,+2:54.1
54,#57,RC3,13:53,+ 13.4,+37.9,+1:04.4,+1:46.2,+2:21.9,+2:25.5,+3:21.4,21:08.7,+3:49.8
55,#74,RC2,13:57,-55.1,-48.4,-41.9,-24.5,“17 7,-17.9,-1.2,18:25.1,+1:06.2
56,#73,RC2,14:00,+3.4,+15.7,+24.6,+51.6,+1:04.0,+1:05.2,+1:29.3,18:59.0,+1:40.1
57,#75,RC3,14:02,+5.7,+16.0,+25.6,+56.5,+1:11.5,+1:11.8,+1:35.8,19:06.4,+1:47.5
58,#76,RC3,14:04,+5.7,+18.1,+29.8,+58.8,+1:12.1,+1:13.3,+1:43.4,19:17.1,+1:58.2
59,#77,RC2,14:06,+7.4,+28.4,+46.4,+1:24.3,+1:49.9,+1:51.7,+2:27.3,20:07.5,+2:48.6
60,#79,RC2,14:10,+ 11 7,+28.9,+50.2,+1:32.9,+1:57.3,+1:59.8,+2:45.3,20:27.7,+3:08.8
61,#81,RC4,14:14,+ 12.4,+37.4,+1:02.2,+1:46.1,+2:10.8,+2:14.1,+2:58.5,20:44.9,+3:26.0
62,#82,RC4,14:16,+ 10.3,+31.3,+53.2,+1:40.9,+2:06.2,+2:09.0,+2:58.1,20:43.9,+3:25.0
63,#83,RC4,14:18,+ 17.0,+49.0,+1:21.8,+2:23.4,+2:54.5,+2:58.1,+3:56.9,21:49.1,+4:30.2
64,#84,RC4,14:20,+27.7,+1:19.6,+2:16.8,+3:34.6,+4:33.7,+4:42.8,+6:14.7,24:25.2,+7:06.3
65,#85,RC5,14:24,+ 17.4,+49.1,+1:24.4,+2:32.0,+3:07.3,+3:11.6,+4:19.1,22:18.7,+4:59.8
