44,#53,RC3,15:52,+26.0,+44.9,+55.5,+1:09.7,+1:32.3,+2:06.0,+2:14.8,14:38.9,+2:24.4
45,#52,RC3,15:54,+14.4,+21.5,+27.5,+37.9,+50.5,+1:17.7,+ 1:23.0,13:44.5,+1:30.0
46,#77,RC2,15:56,+22.0,+31.7,+38.3,+48.8,+1:04.3,+1:38.9,+ 1:45.9,14:03.9,+1:49.4
47,#56,RC3,15:58,+23.6,+40.1,+47.4,+1:03.1,+1:24.0,+1:58.3,+2:04.3,14:26.2,+2:11.7
48,#55,RC3,16:00,+30.8,+50.9,+ 1:03.0,+1:23.2,+1:56.9,+2:42.9,+2:54.0,15:19.8,+3:05.2
49,#79,RC2,16:02,+25.4,+40.2,+50.2,+1:01.7,+1:20.1,+1:51.1,+ 1:58.1,-,-
50,#81,RC4,16:04,+29.1,+50.5,+59.8,+1:14.5,+1:37.2,+2:17.9,+2:27.7,14:54.3,+2:39.8
51,#83,RC4,16:06,+45.4,+1:12.8,+ 1:25.8,+1:49.1,+2:25.3,+3:09.8,+3:19.3,15:46.3,+3:31.8
52,#82,RC4,16:08,+30.6,+57.6,+1:10.3,+1:29.4,+2:00.4,+2:54.1,+3:04.6,15:32.7,+3:18.2
53,#85,RC5,16:10,+53.9,+1:33.2,+ 1:51.5,+2:24.9,+6:16.4,+12:39.6,+ 14:07.2,27:58.4,+15:43.9
54,#84,RC4,16:12,+1:11.3,+1:59.2,+2:19.9,+2:52.0,+3:44.2,+4:58.6,+5:12.5,17:49.4,+5:34.9
