1,#11,RC1,15:44,4:09.8,5:22.0,8:56.7,11:02.0,13:18.4,14:29.9,16:36.6,
2,#17,RC1,15:48,-0.8,-0.5,+0.7,+1.3,+0.3,-1.1,16:43.9,+7.3
3,#8,RC1,15:52,-4.3,-4.3,-5.0,-6.2,-7.2,-8.2,16:27.2,-9.4
4,#33,RC1,15:56,+0.2,+0.1,+1.5,+3.5,+2.0,+1.0,16:37.3,+0.7
5,#6,RC1,16:04,-1.2,-1.0,-1.9,-2.2,-3.4,-4.3,16:31.7,-4.9
6,#13,RC1,16:08,-1.2,-1.0,-0.1,-0.2,-1.3,-2.0,16:33.4,-3.2
7,#19,RC1,16:12,+19.7,+25.8,+53.4,+1:07.0,+1:16.6,+1:22.5,18:10.0,+1:33.4
8,#20,RC2,16:15,+4.0,+6.1,+14.7,+18.2,+20.7,+22.1,17:02.2,+25.6
9,#21,RC2,16:17,+2.5,+3.4,+7.5,+9.6,+10.2,+11.0,16:49.6,+13.0
10,#23,RC2,16:21,+36.1,+38.0,+43.5,+48.3,+51.9,+53.5,17:33.9,+57.3
11,#25,RC2,16:23,+4.2,+7.1,+14.4,+19.5,+18.5,+20.0,16:58.1,+21.5
12,#26,RC2,16:25,+6.0,+8.6,+15.3,+20.4,+22.4,+23.6,17:03.9,+27.3
13,#27,RC2,16:27,+3.6,+7.1,+12.9,+18.1,+19.8,+21.7,17:03.4,+26.8
14,#28,RC2,16:29,+4.9,+6.4,+9.6,+11.3,+13.0,+14.4,16:53.8,+17.2
15,#24,RC2,16:31,+1:55.4,+1:57.7,+2:06.4,+2:12.4,+2:16.0,+2:17.9,18:58.4,+2:21.8
16,#29,RC2,16:34,+5.7,+9.7,+17.2,+22.9,+25.2,+28.2,17:09.1,+32.5
17,#30,RC2,16:36,+5.7,+8.9,+16.7,+21.1,+24.5,+25.7,17:05.3,+28.7
18,#32,RC2,16:38,+10.4,+12.8,+24.1,+30.0,+33.7,+37.3,17:19.8,+43.2
19,#35,RC2,16:40,+13.4,+20.4,+38.7,+51.0,+57.2,+1:01.4,17:43.4,+1:06.8
20,#39,RC2,16:44,+14.9,+23.0,+44.8,+1:02.3,+1:28.9,+1:43.9,18:49.8,+2:13.2
21,#40,RC2,16:46,+17.0,+23.3,+40.9,+51.2,+58.5,+1:03.6,17:49.1,+1:12.5
22,#37,RC2,16:42,+5:01.1,+5:08.1,+5:38.8,+5:56.9,+6:04.4,+6:12.1,22:59.3,+6:22.7
23,#44,RC2,16:50,+21.3,+27.4,+47.5,+58.4,+1:06.4,+1:11.3,17:59.9,+1:23.3
24,#45,RC2,16:52,+23.5,+32.8,+59.3,+1:16.9,+1:28.5,+1:37.2,18:26.1,+1:49.5
25,#46,RC2,16:54,+35.4,+47.1,+1:28.5,+1:51.5,+2:09.7,+2:23.7,19:18.5,+2:41.9
26,#47,RC2,16:56,+31.7,+43.3,+1:20.5,+1:41.6,+1:59.9,+2:11.4,19:05.0,+2:28.4
27,#36,RC2,16:58,+40.0,+52.0,+1:33.2,+1:58.1,+2:15.1,+2:27.6,19:22.3,+2:45.7
28,#48,RC2,17:00,+43.0,+55.2,+1:35.1,+1:58.0,+2:19.6,+2:34.8,19:31.3,+2:54.7
29,#49,RC2,17:02,+35.7,+47.7,+1:31.7,+1:55.8,+2:13.1,+2:23.7,19:16.7,+2:40.1
30,#50,RC2,17:04,+35.2,+46.2,+1:22.2,+1:46.0,+2:05.1,+2:17.2,19:11.3,+2:34.7
31,#58,RC3,17:07,+20.1,+28.1,+52.1,+1:05.6,+1:15.6,+1:21.5,18:05.5,+1:28.9
32,#59,RC3,17:09,+21.3,+28.5,+53.3,+1:08.2,+1:18.0,+1:24.3,18:08.3,+1:31.7
33,#60,RC3,17:11,+18.1,+24.9,+2:19.4,+3:59.3,+5:09.7,+6:03.6,23:35.9,+6:59.3
34,#61,RC3,17:13,+15.7,+20.9,+39.5,+51.5,+59.0,+1:02.6,17:56.9,+1:20.3
35,#62,RC3,17:15,+21.9,+29.7,+54.7,+1:10.7,+1:22.1,+1:33.7,18:17.9,+1:41.3
36,#63,RC3,17:17,+17.6,+26.4,+49.1,+1:01.7,+1:10.9,+1:17.1,18:02.0,+1:25.4
37,#64,RC3,17:19,+20.1,+28.1,+55.2,+1:09.9,+1:19.8,+1:25.9,18:11.2,+1:34.6
38,#66,RC3,17:21,+25.5,+34.7,+1:02.7,+1:21.8,+1:33.6,+1:39.8,18:26.9,+1:50.3
39,#67,RC3,17:23,+25.4,+35.2,+3:40.6,+4:11.9,+4:26.9,+4:38.9,21:29.8,+4:53.2
40,#68,RC3,17:25,+27.1,+40.0,+1:22.1,+1:47.5,+2:00.7,+2:09.1,18:56.9,+2:20.3
41,#70,RC3,17:27,+23.2,+31.8,+1:00.4,+1:17.7,+1:29.4,+1:36.6,18:26.3,+1:49.7
42,#71,RC3,17:29,+33.8,+44.7,+1:25.5,+1:52.5,+2:09.3,+2:17.0,19:07.9,+2:31.3
43,#72,RC3,17:31,+26.2,+36.9,+1:08.6,+1:28.6,+1:38.3,+1:44.0,18:26.7,+1:50.1
44,#51,RC3,17:33,+23.2,+32.3,+1:01.9,+1:18.9,+1:30.6,+1:36.0,18:22.5,+1:45.9
45,#52,RC3,17:37,+26.6,+36.2,+1:13.3,+1:32.5,+1:43.8,+1:50.5,18:37.8,+2:01.2
46,#53,RC3,17:39,+29.6,+40.2,+1:17.4,+1:39.5,+1:53.4,+2:01.7,18:50.4,+2:13.8
47,#55,RC3,17:41,+48.4,+1:04.4,+1:58.2,+2:29.0,+2:47.4,+2:59.1,19:52.3,+3:15.7
48,#56,RC3,17:43,+44.4,+59.7,+1:55.6,+2:31.6,+2:55.1,+3:09.4,20:04.5,+3:27.9
