47,#72,RC3,11:31,+24.7,+37.2,+1:08.6,+1:33.6,+1:43.6,+ 1:49.9,18:55.3,+1:53.3
48,#51,RC3,11:33,+23.1,+32.2,+58.1,+1:11.3,+1:19.3,+ 1:26.2,18:36.9,+1:34.9
49,#52,RC3,11:35,+23.7,+35.0,+1:11.2,+1:26.1,+1:35.1,+1:41.8,18:52.5,+1:50.5
50,#53,RC3,11:37,+26.0,+38.3,+1:16.6,+1:34.4,+1:44.4,+ 1:52.4,19:03.4,+2:01.4
51,#55,RC3,11:41,+38.0,+52.7,+1:36.3,+2:02.2,+2:18.9,+2:31.3,19:48.7,+2:46.7
52,#56,RC3,11:43,+40.9,+56.6,+1:42.3,+2:05.0,+2:20.3,+2:32.7,19:50.7,+2:48.7
53,#54,RC3,11:39,+5:00.4,+5:17.0,+6:21.7,+6:42.8,+6:57.0,+7:09.3,24:24.9,+7:22.9
54,#57,RC3,11:45,+42.9,+58.4,+1:46.8,+2:18.3,+2:40.1,+3:16.3,20:38.3,+3:36.3
55,#74,RC2,11:49,+13.8,+ 19.4,+40.0,+50.2,+55.9,+1:01.5,18:05.9,+1:03.9
56,#73,RC2,11:52,+19.1,+27.0,+50.3,+1:02.0,+1:08.7,+1:14.9,18:22.6,+1:20.6
57,#75,RC3,11:54,+19.0,+28.9,+50.3,+1:02.6,+1:11.0,+1:18.1,18:27.6,+1:25.6
58,#76,RC3,11:56,+21.8,+32.7,+58.6,+1:11.8,+1:21.9,+ 1:29.9,18:40.9,+1:38.9
59,#77,RC2,11:58,+27.8,+38.8,+1:10.0,+1:29.8,+1:44.4,+ 1:54.8,19:09.4,+2:07.4
60,#79,RC2,12:02,+37.2,+50.1,+1:30.4,+1:57.2,+2:12.6,+2:24.7,19:40.5,+2:38.5
61,#80,RC2,12:04,+1:45.0,+2:16.8,+4:32.8,+54:58.6,+57:03.3,+58:11.5,28:05.9,+11:03.9
62,#81,RC4,12:06,+49.2,+ 1:08.0,+2:10.8,+2:39.9,+3:00.4,+3:12.4,20:31.5,+3:29.5
63,#82,RC4,12:08,+40.4,+56.2,+1:48.5,+2:15.9,+2:35.1,+2:46.0,20:01.8,+2:59.8
64,#83,RC4,12:10,+55.3,+1:14.9,+2:15.2,+2:53.9,+3:17.1,+3:32.9,20:54.6,+3:52.6
65,#84,RC4,12:12,+1:54.2,+2:32.7,+4:25.8,+5:34.4,+6:27.6,+7:33.7,25:26.7,+8:24.7
66,#85,RC5,12:14,+1:04.1,+ 1:38.9,+3:11.0,+4:03.0,+4:36.0,+5:01.8,22:30.9,+5:28.9
67,#78,RC3,12:00,+33:47.3,+34:08.3,+34:59.4,+37:41.2,+39:35.2,+40:37.4,59:32.6,+42:30.6
