41,#60,RC3,09:58,+14.9,+21.1,+29.1,+36.9,+45.9,+55.4,+1:03.2,+1:11.0,20:00.2,+1:27.1
42,#62,RC3,10:00,+ 17 7,+26.6,+37.9,+52.6,+1:02.0,+1:08.9,+1:15.5,+1:21.0,20:03.3,+1:30.2
43,#74,RC2,10:03,+14.3,+22.0,+29.3,+36.1,+45.2,+50.9,+58.1,+1:03.1,19:47.6,+1:14.5
44,#73,RC2,10:05,+12.1,+ 19.4,+30.0,+38.3,+46.6,+52.4,+59.8,+1:08.4,19:57.9,+1:24.8
45,#72,RC3,10:07,+19.4,+27.3,+39.9,+52.9,+1:02.5,+1:09.2,+1:16.2,+1:22.9,20:08.0,+1:34.9
46,#51,RC3,10:09,+27.6,+37.7,+57.2,+1:16.0,+1:31.1,+1:41.3,+1:50.3,+1:59.1,20:47.6,+2:14.5
47,#70,RC3,10:11,+21.1,+30.2,+42.9,+56.5,+1:06.9,+1:14.8,+1:23.0,+1:30.9,20:18.7,+1:45.6
48,#67,RC3,10:13,+16.3,+22.9,+32.4,+44.1,+3:09.1,+3:15.5,+3:24.7,+3:33.7,22:17.6,+3:44.5
49,#68,RC3,10:15,+26.1,+39.7,+1:03.0,+1:33.1,+1:52.4,+2:08.3,+2:19.4,+2:32.3,21:27.6,+2:54.5
50,#66,RC3,10:17,+18.1,+27.1,+41.1,+55.5,+1:07.4,+1:16.4,+1:23.7,+1:31.5,20:17.9,+1:44.8
51,#53,RC3,10:19,+29.6,+45.0,+1:09.1,+1:34.2,+1:56.5,+2:09.8,+2:23.3,+2:37.3,21:32.7,+2:59.6
52,#52,RC3,10:21,+24.3,+37.3,+1:00.1,+1:33.0,+1:53.3,+2:02.9,+2:11.2,+2:20.3,21:08.2,+2:35.1
53,#71,RC3,10:23,+29.8,+41.8,+59.1,+1:16.6,+1:35.0,+1:45.9,+1:59.9,+2:13.4,21:05.9,+2:32.8
