1,#11,RC1,07:58,1:40.4,4:16.4,5:25.1,7:04.5,9:34.3,12:26.7,14:54.0,16:43.5,-
2,#17,RC1,08:01,-,-0.5,-1.7,-2.0,-2.0,-4.6,-8.1,16:33.2,-10.3
3,#8,RC1,08:04,-0.2,-0.6,-1.5,-2.2,-3.2,-5.8,-8.1,16:33.8,-9.7
4,#33,RC1,08:07,+0.4,+1.0,+0.2,+1.9,"rxj
+",+1:50.7,+1:51.2,18:42.8,+1:59.3
5,#16,RC1,08:10,+1.6,+ 1 4,-0.6,-2.1,-2.7,-5.1,-7.4,16:34.0,-9.5
6,#18,RC1,08:13,+2 2,+4.2,"+
NJ
NJ",+1.6,-0.3,-4.1,-5.5,16:35.9,-7.6
7,#6,RC1,08:16,+4.0,+5.2,+4.5,+5.4,+5.5,+2 7,-0.3,16:42.5,-1.0
8,#13,RC1,08:19,+3.6,+6.1,+6.4,+9.7,+13.0,+13.1,+12.6,16:54.8,+11.3
9,#19,RC1,08:22,+8.1,+25.2,+28.1,+42.7,+56.5,+1:13.9,+1:27.0,18:16.5,+1:33.0
10,#20,RC2,08:25,+3.5,+7.9,+7 2,+10.2,+11.1,+12.1,+12.4,17:02.0,+18.5
11,#21,RC2,08:27,+4.6,+12.0,+10.8,+12.8,+13.8,+12.9,+12.2,16:54.4,+10.9
12,#22,RC2,08:29,+7 2,+18.1,+18.1,+20.3,+23.1,+24.7,+27.1,17:11.1,+27.6
13,#23,RC2,08:31,+6.5,+16.4,+16.6,+20.7,+24.2,+24.1,+25.1,17:07.7,+24.2
14,#24,RC2,08:33,"rxj
LT)
+",+14.2,+13.8,+16.3,+1:38.2,+2:21.0,+3:26.0,20:36.5,+3:53.0
15,#25,RC2,08:35,+8.7,+18.9,+19.2,+24.5,+28.8,+31.6,+34.5,17:15.6,+32.1
16,#26,RC2,08:37,+5.9,+20.5,+21.9,+25.4,+30.9,+35.3,+38.7,17:23.0,+39.5
17,#27,RC2,08:39,+5.3,+16.8,+16.6,+19.8,+23.7,+28.2,+31.7,17:16.6,+33.1
18,#28,RC2,08:41,+5.6,+17.1,+17.5,+23.3,+29.7,+34.4,+37.5,17:21.7,+38.2
19,#29,RC2,08:43,+5.0,+14.0,+13.7,+19.0,+23.7,+28.3,+29.6,17:12.7,+29.2
20,#30,RC2,08:45,+7.4,+18.6,+20.2,+25.3,+30.3,+33.6,+36.5,17:19.0,+35.5
21,#32,RC2,08:47,+8.5,+22.8,+23.7,+29.7,+37.5,+45.9,+53.4,17:39.1,+55.6
22,#34,RC2,08:49,+4.9,+12.1,+11.6,+15.2,+20.1,-,-,26:54.4,+10:10.9
23,#38,"RC2
1",08:51,+11.0,+26.0,+27.6,-,-,-,-,26:54.4,+10:10.9
24,#35,RC2,08:53,+8.8,+23.8,+26.3,+3:27.7,+4:26.2,+5:32.6,+6:09.4,17:39.1,+55.6
25,#37,RC2,08:55,+11.5,+34.8,+39.0,+2:40.7,+4:09.1,+5:50.7,+7:02.3,17:39.1,+55.6
26,#39,RC2,08:59,+7.1,+1:07.3,+1:42.7,+5:00.2,+6:26.6,+8:34.3,+9:49.3,17:39.1,+55.6
27,#40,RC2,09:21,+1:27.3,+3:20.2,-,-,-,-,-,17:39.1,+55.6
28,#41,RC2,09:23,+37.7,+1:51.7,-,-,-,-,-,17:39.1,+55.6
29,#44,RC2,09:25,+1:03.8,+2:56.3,-,-,-,-,-,17:39.1,+55.6
30,#45,RC2,09:27,+30.0,-,-,-,-,-,-,17:39.1,+55.6
31,#46,RC2,09:29,+31.5,—,—,,—,,—,17:39.1,+55.6
