0,,,,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time
ss,,,,1,2,3,4,5,6,7,8,9,10,11,12
No.,Crew,Group,Race,,,,,,,,,,,,
16,Hadik  And,RC2,Hungary,00:01:39.2,00:11:00.3,00:13:16.6,00:05:00.2,00:07:59.3,00:11:02.0,00:13:10.4,00:04:59.2,00:05:15.1,00:18:03.6,00:05:16.4,00:07:05.6
17,Bodolai  L,RC2,Hungary,00:01:42.1,00:11:20.1,00:13:47.3,00:05:08.8,00:08:17.2,00:11:26.8,00:22:48.2,00:14:51.2,00:05:33.3,00:20:40.4,00:05:41.6,00:07:22.3
18,Trencsényi,RC2,Hungary,00:02:45.2,00:15:22.2,00:13:57.5,00:05:09.1,00:08:00.1,00:11:32.7,00:13:48.2,00:05:11.3,00:05:25.5,00:14:36.5,00:05:31.1,00:07:14.6
19,Allen  Phi,RC2,Hungary,00:01:42.0,00:11:25.9,00:17:22.2,00:05:15.3,00:07:56.2,00:11:16.3,00:17:07.2,00:05:12.1,00:05:21.6,00:14:27.9,00:05:20.1,00:07:00.9
20,Michelisz ,RC2,Hungary,00:01:41.0,00:11:05.1,00:13:36.8,00:05:09.6,00:08:04.9,00:10:55.1,00:16:54.4,00:05:07.0,00:05:21.2,00:14:25.0,00:05:19.2,00:07:05.8
21,Maior  Nor,RC4,Hungary,00:01:46.4,00:11:32.0,00:14:07.4,00:05:18.3,00:08:17.4,00:11:27.4,00:14:04.9,00:05:24.2,00:05:35.1,00:15:13.1,00:05:37.2,00:07:44.2
22,Daprà  Rob,RC4,Hungary,00:01:45.2,00:11:33.8,00:14:11.2,00:05:17.9,00:08:21.1,00:11:35.8,00:14:04.0,00:05:18.1,00:05:36.7,00:15:18.2,00:05:35.3,00:07:37.4
23,Nore  Ola ,RC4,Hungary,00:01:49.2,00:15:00.7,00:14:02.4,00:05:21.3,00:08:33.8,00:11:37.4,00:14:01.1,00:05:30.2,00:05:38.2,00:15:15.9,00:05:49.7,00:07:30.1
24,Schulz  Ti,RC4,Hungary,00:01:45.4,00:11:37.9,00:14:06.1,00:05:22.4,00:08:31.1,00:11:28.2,00:17:56.9,00:06:13.2,00:05:38.0,00:15:26.1,00:05:33.4,00:07:27.3
25,Zanin  Mat,RC4,Hungary,00:01:47.5,00:11:50.4,00:14:23.5,00:05:23.2,00:08:24.0,00:11:37.7,00:15:01.2,00:15:18.1,00:05:45.0,00:15:36.5,00:06:04.8,00:07:32.0
26,McRae  Max,RC4,Hungary,00:01:47.1,00:11:49.5,00:14:14.2,00:05:19.1,00:18:17.4,00:21:27.4,00:24:01.1,00:15:18.1,00:05:46.0,00:15:49.0,00:05:39.5,00:07:52.4
27,Johansson ,RC4,Hungary,00:01:46.7,00:11:47.3,00:14:18.7,00:05:22.9,00:08:23.7,00:11:48.2,00:17:04.5,00:05:26.8,00:05:39.0,00:15:22.3,00:05:38.3,00:07:33.7
28,Škulj  Mar,RC4,Hungary,00:01:47.0,00:11:52.5,00:14:26.1,00:05:25.0,00:08:18.4,00:11:54.1,00:14:16.2,00:05:28.9,00:05:40.3,00:15:35.8,00:05:43.1,00:07:38.7
29,Herczig  P,RC4,Hungary,00:01:46.0,00:11:49.9,00:14:28.8,00:05:26.2,00:08:25.6,00:11:53.4,00:14:18.5,00:05:31.8,00:05:48.7,00:15:34.2,00:05:50.0,00:07:43.1
30,Kreuter  N,RC4,Hungary,00:01:53.5,00:13:03.6,00:14:47.9,00:05:36.4,00:08:56.8,00:12:48.4,00:15:10.6,00:05:55.0,00:06:05.9,-,-,-
31,Hangodi  B,RC4,Hungary,00:01:46.1,00:11:36.9,00:14:20.9,00:05:24.1,00:08:34.9,00:11:43.3,00:14:18.9,00:05:25.1,00:05:38.2,00:15:22.8,-,-
32,Német  Gáb,RC2,Hungary,00:01:41.2,00:11:00.4,00:13:35.8,00:05:03.4,00:08:08.8,00:11:04.4,00:13:15.0,00:05:01.0,00:05:17.1,00:14:35.7,00:05:17.2,00:07:10.3
33,Kohn  Fili,RC3,Hungary,00:01:46.6,00:11:28.1,00:14:01.6,00:05:23.3,00:08:26.6,00:11:30.9,00:13:56.1,00:05:30.6,-,-,-,-
34,Rada  Mart,RGT,Hungary,00:01:51.8,00:12:59.6,00:15:33.3,00:05:43.2,00:11:44.6,00:13:32.0,00:16:17.0,00:06:03.9,00:06:05.3,00:17:34.0,00:06:07.0,00:08:23.5
35,Berta  Lás,RC4,Hungary,00:01:51.4,00:12:07.3,00:16:54.1,00:05:40.7,00:09:05.2,00:12:07.9,00:14:41.3,00:05:46.1,00:05:53.1,00:16:00.6,00:05:58.5,00:07:53.1
36,Viszlo  Cs,RC4,Hungary,00:01:51.8,00:12:21.9,00:14:45.0,00:05:32.2,00:08:48.8,00:12:30.5,00:14:45.7,00:05:48.4,00:05:49.4,00:16:04.1,00:05:56.9,00:08:02.7
37,Sugar  Cri,RC4,Hungary,00:01:49.6,00:12:01.8,00:14:55.5,00:05:32.4,00:08:48.8,00:12:32.9,00:24:01.1,00:15:18.1,00:05:57.4,00:16:00.2,00:05:54.4,00:07:45.5
