,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12
No,Crew,Gr/Cl,,,,,,,,,,,,
#34,Rada Martin  - Jugas Jaroslav Abarth 124 Rally RGT,RGT,1:51.8,12:59.6,15:33.3,5:43.2,11:44.6,13:32.0,16:17.0,6:03.9,6:05.3,17:34.0,6:07.0,8:23.5
#35,Berta László  - Császár L. Peugeot 208 Rally4,RC4,1:51.4,12:07.3,16:54.1,5:40.7,9:05.2,12:07.9,14:41.3,5:46.1,5:53.1,16:00.6,5:58.5,7:53.1
#36,Viszló Csaba  - Szegedi Máté Peugeot 208 Rally4,RC4,1:51.8,12:21.9,14:45.0,5:32.2,8:48.8,12:30.5,14:45.7,5:48.4,5:49.4,16:04.1,5:56.9,8:02.7
#37,Sugár Cristian  - Colceriu Vlad Peugeot 208 R2,RC4,1:49.6,12:01.8,14:55.5,5:32.4,8:48.8,12:32.9,-,-,5:57.4,16:00.2,5:54.4,7:45.5
#37,Sugár Cristian  - Colceriu Vlad Peugeot 208 R2  [SR],RC4,-,-,-,-,-,-,24:01.1 [N],15:18.1 [N],-,-,-,-
#4,Franceschi Mathieu  - Manzo B. Škoda Fabia RS Rally2,RC2,1:39.6,11:27.2,13:21.5,5:06.5,7:53.7,11:00.0,15:46.9,5:04.6,5:19.9,14:16.1,5:23.9,6:59.3
#40,Velenczei Ádám  - Vánsza Zsolt Škoda Fabia RS Rally2,RC2,1:40.0,11:03.0,13:11.1,4:58.3,7:46.2,10:55.7,13:10.4,5:07.3,5:23.9,14:38.0,5:25.5,7:17.3
#41,Klausz Kristóf  - Papp Tamás Škoda Fabia Rally2 evo,RC2,1:42.2,11:11.1,13:29.5,5:05.0,7:49.6,11:04.6,13:25.3,5:09.9,5:39.5,14:15.3,5:25.7,7:00.5
#42,László Zoltán  - Balázs Z. Škoda Fabia RS Rally2,RC2,1:46.0,12:53.4,18:26.4,5:36.8,8:26.3,12:45.5,15:12.0,6:01.2,6:59.0,15:43.1,5:57.3,7:43.6
#43,Tóth Tibor  - Szabó József Škoda Fabia Rally2 evo,RC2,1:42.3,11:56.5,14:05.6,5:13.5,8:07.4,11:46.7,14:18.4,5:20.1,5:35.4,14:48.2,5:36.2,7:11.4
#44,Sasa  - Balai Róbert Škoda Fabia R5,RC2,1:44.1,11:58.8,14:17.3,5:24.1,8:06.7,12:01.5,14:09.6,5:32.4,5:44.0,14:48.6,5:42.9,7:20.2
#45,Perge György  - Bárdos Péter Škoda Fabia R5,RC2,1:49.4,11:51.4,14:28.4,5:31.4,8:34.1,11:55.0,17:53.7,5:36.9,6:33.3,-,-,-
#46,Bacsa Tamás  - Hanyik Gergely Toyota GR Yaris,P14,1:45.7,11:27.1,13:46.9,5:09.9,8:23.0,11:27.1,14:09.8,5:27.4,5:43.4,15:04.1,5:45.3,7:30.0
#47,Szilágyi Patrik  - Tóth Viktor BMW M3 E36,P14,1:51.2,12:10.8,-,-,-,-,-,-,6:32.5,-,-,-
#47,Szilágyi Patrik  - Tóth Viktor BMW M3 E36  [SR],P14,-,-,18:46.9 [N],10:09.9 [N],13:23.0 [N],16:27.1 [N],19:09.8 [N],10:27.4 [N],-,-,-,-
#48,Galgóczi Norbert  - Kázári D. Mitsubishi Lancer Evo IX,P14,1:47.9,12:33.7,15:03.5,5:43.2,8:27.5,12:37.2,15:28.6,6:01.1,6:57.9,15:47.2,6:03.0,8:03.1
#49,Balla Tamás  - Munyu Mitsubishi Lancer Evo IX R4,P14,1:52.9,12:50.7,20:46.5,5:37.9,9:09.8,13:07.5,21:34.9,8:18.3,6:49.7,16:37.0,5:51.3,8:06.7
#5,Bonato Yoann  - Boulloud Benjamin Citroën C3 Rally2,RC2,1:39.2,10:51.6,13:04.3,4:56.8,7:43.5,10:45.9,13:45.5,4:58.3,5:16.4,14:09.1,5:13.0,7:02.6
#51,Juhász Csaba  - Szegő János Mitsubishi Lancer Evo X R4,P14,1:52.1,13:09.0,15:20.5,6:06.7,15:44.8,13:30.6,15:36.1,5:46.4,6:41.8,-,-,-
#52,Lazár Matej  - Kerekeš Martin Mitsubishi Lancer Evo IX,P14,1:53.8,12:48.3,15:21.9,5:47.4,9:04.0,13:07.4,15:54.4,6:11.4,6:55.8,16:17.8,6:16.2,8:06.7
#53,Gazdik László  - Bottyán János Mitsubishi Lancer Evo VI,P14,2:25.7,27:54.2,16:07.0,5:49.7,13:32.9,13:36.3,-,-,7:51.9,-,-,-
#53,Gazdik László  - Bottyán János Mitsubishi Lancer Evo VI  [SR],P14,-,-,-,-,-,-,19:09.8 [N],10:27.4 [N],-,-,-,-
#54,Bertalan Márton  - Paizs Róbert Peugeot 208 Rally4,RC4,1:47.7,12:16.7,14:32.3,5:24.9,8:27.9,12:20.2,14:44.6,5:30.7,5:46.6,15:53.1,5:43.7,7:51.7
#55,Vogel Adrienn  - Maricsek Miklós Peugeot 208 Rally4,RC4,1:49.9,12:12.4,14:33.4,5:30.9,8:41.8,12:18.0,14:51.1,5:43.8,6:09.8,16:54.8,6:02.3,8:17.6
#56,Kerék Balázs  - Váradi Zoltán Opel Corsa Rally4,RC4,1:58.2,12:27.6,14:51.2,5:35.6,8:55.6,12:28.5,15:01.7,6:03.1,6:02.4,16:12.9,5:55.9,8:05.7
#57,Hibján József  - Szollár Csaba Ford Fiesta Rally4,RC4,1:55.5,12:29.8,18:11.3,-,-,-,-,-,7:13.7,15:59.3,6:02.6,7:52.5
#57,Hibján József  - Szollár Csaba Ford Fiesta Rally4  [SR],RC4,-,-,-,10:24.7 [N],13:27.9 [N],17:07.9 [N],19:41.3 [N],10:29.5 [N],-,-,-,-
#58,Zagyva Dorka  - Spitzer Gábor Peugeot 208 Rally4,RC4,1:51.9,12:57.1,15:27.3,5:49.3,9:24.3,13:08.5,15:50.2,6:11.9,7:00.9,16:41.6,6:12.5,8:09.2
#59,Csoma András  - Radó István Peugeot 208 Rally4,RC4,2:00.8,14:11.8,23:29.1,-,-,-,-,-,-,-,-,-
#6,Mareš Filip  - Bucha Radovan Škoda Fabia Rally2 evo,RC2,1:38.5,11:09.3,15:27.1,5:07.0,7:46.0,10:57.6,15:11.5,5:07.1,5:16.3,14:01.1,5:16.5,6:53.6
#60,Szivák Zoltán  - Szivák Ádám Škoda Fabia R2,RC4,2:13.5,15:40.4,18:43.9,6:37.7,10:47.9,16:44.8,20:38.8,7:19.4,8:51.1,21:52.2,7:48.2,11:25.2
#61,Kiss Zsolt  - Bartók Erik Peugeot 208 R2,RC4,1:55.7,13:07.0,15:39.9,5:44.3,9:56.3,13:00.9,16:37.9,6:08.3,7:06.6,16:33.4,6:14.9,8:11.8
#62,Konyári Zoltán  - Skroby Opel Corsa Rally4,RC4,2:41.2,14:20.8,-,-,-,-,-,-,7:42.8,18:36.2,7:06.6,9:18.3
#62,Konyári Zoltán  - Skroby Opel Corsa Rally4  [SR],RC4,-,-,19:30.7 [N],10:24.7 [N],13:27.9 [N],17:07.9 [N],19:41.3 [N],10:29.5 [N],-,-,-,-
#63,Kovács Zoltán  - Holló B. Citroën C2 R2 Max,P12,2:14.3,12:48.0,15:15.1,5:42.1,9:11.3,12:47.6,15:41.9,5:58.7,6:53.7,16:43.5,6:12.0,8:28.5
#64,Hevesi Norbert  - Lipóczky D. BMW M3 E36,P14,1:56.3,13:03.7,-,-,-,-,-,-,6:53.5,16:11.1,6:04.6,8:01.5
#64,Hevesi Norbert  - Lipóczky D. BMW M3 E36  [SR],P14,-,-,18:46.9 [N],10:09.9 [N],13:23.0 [N],16:27.1 [N],19:09.8 [N],10:27.4 [N],-,-,-,-
#65,Szöllősi Roland  - Kapás A. BMW M3 E46,P14,1:50.6,12:45.5,15:24.3,5:42.0,-,-,-,-,-,-,-,-
#66,Markovics György  - Adorján S. BMW M3 E36,P14,1:53.9,-,-,-,-,-,-,-,6:58.4,16:46.3,6:07.6,8:26.5
#66,Markovics György  - Adorján S. BMW M3 E36  [SR],P14,-,16:27.1 [N],18:46.9 [N],10:09.9 [N],13:23.0 [N],16:27.1 [N],19:09.8 [N],10:27.4 [N],-,-,-,-
#67,Páhi Csaba  - Rezgő Erik Ford Fiesta Proto,P14,1:59.4,12:34.6,-,-,-,-,-,-,-,-,-,-
#68,Csikar  - Tukacs Ákos Lada VFTS,P13,1:54.8,13:40.9,15:54.4,5:50.2,9:27.0,12:51.8,15:51.9,5:56.5,6:43.3,18:39.2,6:50.2,8:52.8
#69,Bodogán Ferenc  - Sántha Zoltán Lada VFTS,P13,1:53.9,12:22.7,15:03.1,5:39.1,8:49.9,12:46.0,16:55.8,5:37.2,6:40.4,16:44.7,6:15.7,8:23.0
#7,Csomós Miklós  - Bán Viktor Škoda Fabia Rally2 evo,RC2,1:39.3,10:33.4,12:52.1,4:52.5,7:46.0,10:32.6,12:48.5,4:51.2,5:07.1,14:21.6,-,-
#70,Karsai Zsolt  - Szilágyi Sándor Lada VAZ 2105,P13,1:56.8,12:19.1,15:11.8,5:42.5,9:07.8,12:13.8,15:21.0,5:46.8,6:18.6,16:16.6,7:11.6,8:58.5
#71,Hulmann Gábor  - Molnár Zsolt Lada VFTS,P12,2:15.3,13:48.5,21:13.2,6:16.9,12:39.2,14:25.2,18:19.5,7:11.5,7:39.7,18:07.4,-,-
#72,Budavári Zoltán  - Petrovszki D. Renault Mégane RS,P14,3:25.7,14:14.7,16:55.5,6:17.6,14:10.2,-,-,-,7:37.1,17:51.8,6:47.6,9:06.8
#72,Budavári Zoltán  - Petrovszki D. Renault Mégane RS  [SR],P14,-,-,-,-,-,16:27.1 [N],19:09.8 [N],10:27.4 [N],-,-,-,-
#73,Szőnyi A.  - Vajnai D. Lada VAZ 21011,P12,1:59.5,13:17.6,15:58.7,5:55.6,9:23.0,13:04.3,16:17.7,6:03.4,7:01.4,16:56.5,-,-
#74,Kronome Ákos  - Pásztor Tamás Škoda Fabia R2,P12,2:02.7,13:14.1,15:49.2,5:50.8,9:04.7,13:07.0,16:10.9,5:58.8,7:06.4,17:02.8,6:12.3,8:37.1
#75,Veréb Zoltán  - Májer Dávid Lada VFTS,P12,1:54.0,13:03.7,15:57.4,6:03.1,8:54.3,-,-,-,6:46.5,17:15.1,-,-
#75,Veréb Zoltán  - Májer Dávid Lada VFTS  [SR],P12,-,-,-,-,-,17:47.6 [N],20:41.9 [N],10:58.7 [N],-,-,-,-
#76,Kiskókai  - Biró Attila Lada VFTS,P13,2:05.0,14:35.4,-,-,-,-,-,-,8:01.3,20:20.4,7:46.1,10:23.5
#76,Kiskókai  - Biró Attila Lada VFTS  [SR],P13,-,-,20:03.1 [N],10:39.1 [N],13:49.9 [N],17:13.8 [N],20:21.0 [N],10:37.2 [N],-,-,-,-
#77,Molnár Attila  - Molnár László Lada VAZ 2107,P13,1:58.3,-,-,-,-,-,-,-,-,-,-,-
#78,Péli Tibor  - Gergely Zoltán Peugeot 205 GTI 1.6,P12,2:35.3,-,-,-,-,-,-,-,-,-,-,-
#79,Szlovák Ferenc  - Győri Kristóf Seat Ibiza GTi,P14,2:00.6,13:53.0,21:29.1,6:05.9,9:27.6,13:53.7,16:50.3,6:26.4,7:33.4,18:51.0,6:42.6,8:52.3
#8,Marczyk M.  - Gospodarczyk S. Škoda Fabia RS Rally2,RC2,1:36.9,10:47.0,13:02.1,4:57.2,7:48.3,10:43.9,12:59.0,-,5:11.4,14:09.1,5:11.6,6:55.1
#8,Marczyk M.  - Gospodarczyk S. Škoda Fabia RS Rally2  [SR],RC2,-,-,-,-,-,-,-,14:51.2 [N],-,-,-,-
#81,Békési Richárd  - Bernát M. BMW 320i E36,-,2:04.6,13:32.6,16:37.5,6:00.1,9:33.9,13:24.6,23:23.8,6:20.8,7:24.3,18:11.2,6:41.3,11:29.7
#83,Tárkányi Sándor  - Bugner M. Lada VFTS,-,2:03.9,13:48.4,16:16.5,6:04.1,16:17.0,14:06.9,17:18.3,6:27.0,7:18.4,18:22.1,6:27.1,11:32.2
#84,Jedlóczky Márk  - Bazsó Attila Peugeot 208 Rally4,RC4,1:49.4,12:41.3,15:18.5,5:33.4,8:30.9,12:29.9,15:29.7,5:46.2,6:12.6,16:31.7,6:05.5,8:06.8
#85,Határ Attila  - Éhn Dániel Peugeot 208 Rally4,RC4,1:49.5,12:00.6,14:30.7,5:24.7,8:42.0,12:08.4,14:56.8,5:29.5,5:59.8,15:46.8,5:50.2,7:47.5
#86,Tóth Barnabás  - Asztalos Márk BMW M3 E36,P14,2:09.7,13:44.0,16:26.6,5:55.8,9:16.0,14:36.2,18:25.7,6:42.3,7:24.2,18:07.2,6:59.1,9:01.2
#9,McErlean Josh  - Fulton James Hyundai i20 N Rally2,RC2,2:23.1,-,-,-,-,-,-,-,-,-,-,-
