Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
45,#84,Jedlóczky Márk  - Bazsó Attila Peugeot 208 Rally4,RC4,15:18.5,+2:26.4 +  3.4,95.4 6.02,3
46,#51,Juhász Csaba  - Szegő János Mitsubishi Lancer Evo X R4,P14,15:20.5,+2:28.4 +  2.0,95.2 6.10,3
47,#52,Lazár Matej  - Kerekeš Martin Mitsubishi Lancer Evo IX,P14,15:21.9,+2:29.8 +  1.4,95.0 6.16,3
48,#65,Szöllősi Roland  - Kapás A. BMW M3 E46,P14,15:24.3,+2:32.2 +  2.4,94.8 6.26,3
49,#6,Mareš Filip  - Bucha Radovan Škoda Fabia Rally2 evo,RC2,15:27.1,+2:35.0 +  2.8,94.5 6.37,3
50,#58,Zagyva Dorka  - Spitzer Gábor Peugeot 208 Rally4,RC4,15:27.3,+2:35.2 +  0.2,94.5 6.38,3
51,#34,Rada Martin  - Jugas Jaroslav Abarth 124 Rally RGT,RGT,15:33.3,+2:41.2 +  6.0,93.8 6.63,3
52,#61,Kiss Zsolt  - Bartók Erik Peugeot 208 R2,RC4,15:39.9,+2:47.8 +  6.6,93.2 6.90,3
53,#74,Kronome Ákos  - Pásztor Tamás Škoda Fabia R2,P12,15:49.2,+2:57.1 +  9.3,92.3 7.28,3
54,#68,Csikar  - Tukacs Ákos Lada VFTS,P13,15:54.4,+3:02.3 +  5.2,91.8 7.49,3
55,#75,Veréb Zoltán  - Májer Dávid Lada VFTS,P12,15:57.4,+3:05.3 +  3.0,91.5 7.62,3
56,#73,Szőnyi A.  - Vajnai D. Lada VAZ 21011,P12,15:58.7,+3:06.6 +  1.3,91.4 7.67,3
57,#53,Gazdik László  - Bottyán János Mitsubishi Lancer Evo VI,P14,16:07.0,+3:14.9 +  8.3,90.6 8.01,3
58,#83,Tárkányi Sándor  - Bugner M. Lada VFTS,,16:16.5,+3:24.4 +  9.5,89.7 8.40,3
59,#2,Llarena Efrén  - Fernández Sara Škoda Fabia R5,RC2,16:22.6,+3:30.5 +  6.1,89.1 8.65,3
60,#86,Tóth Barnabás  - Asztalos Márk BMW M3 E36,P14,16:26.6,+3:34.5 +  4.0,88.8 8.82,3
61,#81,Békési Richárd  - Bernát M. BMW 320i E36,,16:37.5,+3:45.4 +  10.9,87.8 9.26,3
62,#35,Berta László  - Császár L. Peugeot 208 Rally4,RC4,16:54.1,+4:02.0 +  16.6,86.4 9.95,3
63,#72,Budavári Zoltán  - Petrovszki D. Renault Mégane RS,P14,16:55.5,+4:03.4 +  1.4,86.3 10.0,3
64,#19,Allen Philip  - Furniss Dale Hyundai i20 N Rally2,RC2,17:22.2,+4:30.1 +  26.7,84.0 11.1,3
65,#57,Hibján József  - Szollár Csaba Ford Fiesta Rally4,RC4,18:11.3,+5:19.2 +  49.1,80.3 13.1,3
66,#42,László Zoltán  - Balázs Z. Škoda Fabia RS Rally2,RC2,18:26.4,+5:34.3 +  15.1,79.2 13.7,3
67,#60,Szivák Zoltán  - Szivák Ádám Škoda Fabia R2,RC4,18:43.9,+5:51.8 +  17.5,77.9 14.5,3
68,#47,Szilágyi Patrik  - Tóth Viktor BMW M3 E36  [SR],P14,18:46.9 [N],+5:54.8 +  3.0,77.7 14.6,3
