Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
8,#6,Nomikos Andreas  - Ravanis Ioannis Škoda Fabia S2000,C1,7:04.07,+39.23 +  7.80,96.5 3.45,2
9,#37,Rocco Gianluca  - Isailović Jovan Ford Sierra RS Cosworth 4x4,4 2000+,7:04.83,+39.99 +  0.76,96.3 3.52,2
10,#31,Katsikas Ioannis  - Babalis Nikos Ford Escort MK2,3 2000,7:05.76,+40.92 +  0.93,96.1 3.60,2
11,#15,Kondilis Panagiotis  - Tsolakis A. Peugeot 106 S16,C5 F2,7:09.01,+44.17 +  3.25,95.4 3.88,2
12,#5,Daskalopoulos Ioannis  - Moukas E. Mitsubishi Lancer Evo IX,C2,7:09.02,+44.18 +  0.01,95.4 3.89,2
13,#8,Labropoulos P.  - Staikos K. Subaru Impreza WRX,C2,7:10.60,+45.76 +  1.58,95.1 4.02,2
14,#16,Rekkas Panangelos  - Rekkas V. Peugeot 106 S16,C6 F2,7:13.58,+48.74 +  2.98,94.4 4.29,2
15,#21,Kaberos Alekos  - Nikolaou V. Ford Focus ST 170,C3 F2,7:14.18,+49.34 +  0.60,94.3 4.34,2
16,#25,Tiros Nikos  - Polichronopoulos G. Peugeot 106,C6 F2,7:14.55,+49.71 +  0.37,94.2 4.37,2
17,#18,Fountas Polidoros  - Ladas Giorgos Peugeot 106 S16,C6 F2,7:17.09,+52.25 +  2.54,93.6 4.60,2
18,#32,Amaxopoulos D.  - Moraiti H. Toyota Corolla KE30,2 -1600,7:18.19,+53.35 +  1.10,93.4 4.69,2
19,#20,Kalyviotis Andreas  - Tsamis A. Peugeot 106 S16,C6 F2,7:19.61,+54.77 +  1.42,93.1 4.82,2
20,#22,Kaberos William  - Kaberou C. Ford Focus ST 170,C3 F2,7:27.56,+1:02.72 +  7.95,91.5 5.52,2
21,#30,Papazoglou L.  - Nikolopoulou M. Lancia Delta HF Integrale,4 2000+,7:37.57,+1:12.73 +  10.01,89.5 6.40,2
22,#17,Kouniakis K.  - Vardakis K. Peugeot 106 S16,C6 F2,7:40.16,+1:15.32 +  2.59,89.0 6.62,2
23,#34,Gavriilidis Giorgos  - Mouzakis N. Ford Sierra RS Cosworth 4x4,4 2000+,7:42.55,+1:17.71 +  2.39,88.5 6.83,2
24,#19,Dekis Panagiotis  - Dekis Andreas Peugeot 106 S16,C6 F2,7:50.66,+1:25.82 +  8.11,87.0 7.55,2
25,#24,Markopoulos D.  - Markopoulos A. Peugeot 106,C5 F2,7:50.87,+1:26.03 +  0.21,86.9 7.57,2
26,#35,Mitropoulos Kostas  - Bounazos D. Ford Escort Mexico MKI,2 2000,8:01.86,+1:37.02 +  10.99,84.9 8.53,2
27,#28,Karouzos Giorgos  - Bravos P. Toyota Corolla 1600 GT 3 Door AE86,C4 F2,8:02.12,+1:37.28 +  0.26,84.9 8.56,2
28,#26,Bertsatos Giorgos  - Kontos Kostas Ford Escort MK2,C3 F2,8:08.00,+1:43.16 +  5.88,83.9 9.07,2
29,#27,Diamantis D.  - Massialas A. Toyota Corolla AE86,C4 F2,8:10.90,+1:46.06 +  2.90,83.4 9.33,2
30,#7,Karathanassis N.  - Karathanassis V. Honda Civic Type-R EP3,C5 F2,12:00.43,+5:35.59 +  3:49.53,56.8 29.5,2
1,#1,Koukeas Efstathios  - Spirou K. Ford Fiesta R5,C1,6:19.10,,108.0,3
2,#2,Peroulakis Georgios  - Sarris E. Mitsubishi Lancer Evo VIII,C2,6:20.65,+1.55 +  1.55,107.5 0.14,3
3,#29,Stafilopatis M.  - Chatzirigas G. Lancia Delta Integrale 16V,4 2000+,6:29.94,+10.84 +  9.29,105.0 0.95,3
4,#11,Dermas V.  - Paraskevopoulou E. Opel Ascona B,C3 F2,6:47.02,+27.92 +  17.08,100.6 2.46,3
5,#14,Papadopoulos N.  - Papageorgiou C. Mitsubishi Lancer Evo IX,C2,6:56.48,+37.38 +  9.46,98.3 3.29,3
6,#7,Karathanassis N.  - Karathanassis V. Honda Civic Type-R EP3,C5 F2,6:58.20,+39.10 +  1.72,97.9 3.44,3
7,#6,Nomikos Andreas  - Ravanis Ioannis Škoda Fabia S2000,C1,6:59.23,+40.13 +  1.03,97.6 3.53,3
8,#10,Katsarelias E.  - Stergiou A. Volkswagen Golf III,C3 F2,7:00.88,+41.78 +  1.65,97.3 3.67,3
9,#31,Katsikas Ioannis  - Babalis Nikos Ford Escort MK2,3 2000,7:05.62,+46.52 +  4.74,96.2 4.09,3
10,#25,Tiros Nikos  - Polichronopoulos G. Peugeot 106,C6 F2,7:06.46,+47.36 +  0.84,96.0 4.17,3
11,#8,Labropoulos P.  - Staikos K. Subaru Impreza WRX,C2,7:06.96,+47.86 +  0.50,95.9 4.21,3
12,#16,Rekkas Panangelos  - Rekkas V. Peugeot 106 S16,C6 F2,7:08.81,+49.71 +  1.85,95.5 4.37,3
13,#15,Kondilis Panagiotis  - Tsolakis A. Peugeot 106 S16,C5 F2,7:11.45,+52.35 +  2.64,94.9 4.60,3
14,#20,Kalyviotis Andreas  - Tsamis A. Peugeot 106 S16,C6 F2,7:18.93,+59.83 +  7.48,93.3 5.26,3
15,#22,Kaberos William  - Kaberou C. Ford Focus ST 170,C3 F2,7:18.96,+59.86 +  0.03,93.2 5.26,3
16,#21,Kaberos Alekos  - Nikolaou V. Ford Focus ST 170,C3 F2,7:29.01,+1:09.91 +  10.05,91.2 6.15,3
17,#34,Gavriilidis Giorgos  - Mouzakis N. Ford Sierra RS Cosworth 4x4,4 2000+,7:30.11,+1:11.01 +  1.10,90.9 6.25,3
18,#37,Rocco Gianluca  - Isailović Jovan Ford Sierra RS Cosworth 4x4,4 2000+,7:34.60,+1:15.50 +  4.49,90.0 6.64,3
19,#17,Kouniakis K.  - Vardakis K. Peugeot 106 S16,C6 F2,7:38.41,+1:19.31 +  3.81,89.3 6.98,3
20,#24,Markopoulos D.  - Markopoulos A. Peugeot 106,C5 F2,7:42.26,+1:23.16 +  3.85,88.5 7.31,3
21,#19,Dekis Panagiotis  - Dekis Andreas Peugeot 106 S16,C6 F2,7:48.73,+1:29.63 +  6.47,87.3 7.88,3
22,#26,Bertsatos Giorgos  - Kontos Kostas Ford Escort MK2,C3 F2,7:56.22,+1:37.12 +  7.49,86.0 8.54,3
23,#28,Karouzos Giorgos  - Bravos P. Toyota Corolla 1600 GT 3 Door AE86,C4 F2,7:58.07,+1:38.97 +  1.85,85.6 8.70,3
24,#32,Amaxopoulos D.  - Moraiti H. Toyota Corolla KE30,2 -1600,8:01.82,+1:42.72 +  3.75,85.0 9.03,3
25,#35,Mitropoulos Kostas  - Bounazos D. Ford Escort Mexico MKI,2 2000,8:04.98,+1:45.88 +  3.16,84.4 9.31,3
26,#27,Diamantis D.  - Massialas A. Toyota Corolla AE86,C4 F2,8:05.13,+1:46.03 +  0.15,84.4 9.33,3
27,#9,Kapralos D.  - Karathanassis K. Opel Astra G OPC,C3 F2,8:07.71,+1:48.61 +  2.58,83.9 9.55,3
28,#30,Papazoglou L.  - Nikolopoulou M. Lancia Delta HF Integrale,4 2000+,8:45.29,+2:26.19 +  37.58,77.9 12.9,3
