,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6
No,Crew,Gr/Cl,,,,,,
#1,Tsouloftas Alexandros  - Elia S. Volkswagen Polo GTI R5,C1,7:14.49,10:10.18,7:09.57,10:02.36,10:04.92,9:54.73
#10,Iliopoulos Panagiotis  - Kontos K. Mitsubishi Lancer Evo IX,C2,8:27.86,11:13.45,8:15.95,11:12.36,11:14.83,-
#11,Theocharopoulos S.  - Kotsalis G. Mitsubishi Lancer Evo IX,C2,8:35.43,11:28.43,8:28.11,11:16.06,11:17.04,11:48.84
#12,Tsetsonis Elias  - Basioukas V. Subaru Impreza STi N12,C2,8:30.41,11:27.68,8:01.44,11:14.94,11:27.46,11:18.98
#14,Yiangou Y.  - Christodoulakis A. Subaru Impreza STi N12,C2,9:59.61,12:51.55,9:27.03,12:26.05,12:32.23,12:59.52
#15,Tsoulos Argiris  - Spirogiannis P. Mitsubishi Lancer Evo VIII,C2,8:28.45,11:13.37,8:24.70,11:15.14,11:22.84,11:07.52
#16,Simetra  - Pallas Apostolos Mitsubishi Lancer Evo IX,C2,8:56.86,12:01.60,8:39.26,11:49.21,11:47.87,11:45.32
#17,Zounis Ioannis  - Vlachantoni E. Subaru Impreza STi N12,C2,8:51.99,11:44.37,8:42.59,11:49.44,11:52.33,12:10.82
#18,Papadopoulos A.  - Vassilopoulos A. Mitsubishi Lancer Evo VIII,C2,8:21.60,11:06.74,8:04.95,15:44.72,11:12.09,10:56.25
#19,Christodoulou A.  - Samaras A. Mitsubishi Lancer Evo VI,C2,9:13.51,-,-,-,-,-
#2,Kehagias Giorgos  - Kouzionis C. Škoda Fabia Rally2 evo,C1,7:32.85,10:23.23,7:16.36,10:10.26,10:32.38,10:30.72
#20,Lymperis A.  - Karagounis E. Subaru Impreza STi N12,C2,8:35.70,11:16.80,8:25.66,11:23.84,11:29.79,-
#21,Giannakopoulos I.  - Foteinogiannopoulos I. Subaru Impreza STi N12,C2,8:35.44,11:35.55,8:35.32,11:23.31,11:22.84,11:36.31
#22,Karanikolas E.  - Kakavas G. Ford Fiesta Rally4,C5 F2,7:59.26,11:15.28,7:55.19,11:11.36,11:04.38,11:00.83
#23,Dimopoulos Antonis  - Skaltsas E. Toyota Starlet KP60,C4 F2,8:16.26,11:28.49,-,-,-,-
#25,Angelopoulos Antonis  - Diplas C. Peugeot 208 R2,C5 F2,8:40.10,11:27.19,8:20.91,11:16.02,11:34.68,11:33.08
#26,Amoutzas Giorgos  - Eliopoulos G. Renault Clio RS,C3 F2,8:53.68,11:45.35,8:33.85,11:24.68,11:26.95,11:44.43
#27,Roiniotis S.  - Giannopoulos N. Ford Escort MK2,C3 F2,8:57.35,11:46.53,8:36.40,11:29.65,11:32.92,11:59.39
#28,Triantopoulos P.  - Delegos K. Toyota Corolla AE86,C4 F2,8:54.46,11:50.40,8:42.69,11:48.75,11:50.55,12:24.23
#29,Giotis Ioannis  - Votsis George Hyundai Accent,C4 F2,9:03.86,12:14.20,8:52.90,12:04.32,12:25.01,12:01.36
#3,Papadimitriou I.  - Petropoulos N. Škoda Fabia R5,C1,7:20.12,10:22.76,-,-,-,-
#30,Delaportas Giorgos  - Panaritis E. Ford Fiesta Rally4,C5 F2,9:04.50,11:49.00,8:59.03,11:37.14,11:40.61,11:54.16
#31,Kalamaras Teo  - Psaraki Vicky Renault Clio Ragnotti,C3 F2,9:21.15,12:07.55,9:05.67,12:04.94,12:03.33,12:51.43
#33,Manetas Giorgos  - Adamopoulos A. Toyota Corolla AE111,C4 F2,8:49.28,11:50.73,8:50.92,11:42.92,11:47.87,11:50.04
#35,Paraskevopoulos A.  - Nikoloulias M. Citroën Saxo VTS,C5 F2,8:54.46,11:58.51,8:42.99,11:57.63,11:54.63,11:55.15
#36,Stavropoulos D.  - Nikolakopoulos I. Toyota Yaris,C6 F2,8:54.46,11:56.37,8:43.58,11:53.57,12:05.21,11:38.92
#37,Anastassopoulos A.  - Paraskevopoulos A. Toyota Corolla AE92,C4 F2,8:57.35,12:17.46,9:11.51,12:01.38,11:57.84,11:58.58
#38,Athanassopoulos I.  - Kouzoulis I. Toyota Yaris,C6 F2,9:41.32,12:22.01,9:09.69,12:09.71,12:24.54,12:38.92
#39,Kalaitzian Ioannis  - M. Fiat Ritmo Abarth 125 TC,C3 F2,10:03.89,13:05.43,9:43.33,12:48.60,13:15.69,13:29.84
#4,Panteli Petros  - Laos Pambos Citroën DS3 R5,C1,7:54.80,11:25.51,7:39.54,10:27.63,-,-
#40,Bris Panagiotis  - Mikelopoulos G. Ford Escort MK2,C3 F2,10:25.86,13:09.13,10:00.78,12:53.50,13:21.78,13:11.69
#41,Tzavaras P.  - Michalopoulos P. Toyota Starlet EP91,C6 F2,9:22.77,12:19.98,9:08.49,12:04.53,12:04.00,11:58.96
#42,Koutsoukos Angelos  - Bokaris E. Toyota Starlet EP91,C4 F2,10:18.95,13:18.55,10:01.01,12:52.07,13:01.87,13:45.85
#43,Lathouris Panagiotis  - Koufos C. Toyota Starlet KP60,C4 F2,10:35.98,-,-,-,-,-
#44,Golfinopoulos H.  - Vavas T. Peugeot 106 S16,C5 F2,12:03.64,14:58.15,11:34.13,14:52.95,-,-
#45,Mantas Panagiotis  - Rigopoulos P. Toyota Yaris,C6 F2,10:40.35,13:11.37,10:11.32,12:51.95,13:13.23,13:55.65
#5,Badounas I.  - Panagiotounis E. Mitsubishi Lancer Evo VI,C2,7:41.26,10:31.34,7:42.29,10:28.92,10:30.03,10:37.05
#6,Tzemos Konstantinos  - Sainis D. Mitsubishi Lancer Evo IX,C2,8:18.24,11:06.94,7:58.11,10:51.14,10:49.72,10:57.65
#7,Lainopoulos Stelios  - Zografos L. Mitsubishi Lancer Evo IX R4,C2,8:12.89,11:20.45,-,-,-,-
#8,Kirkos Panagiotis  - Polizois G. Mitsubishi Lancer Evo IX,C2,7:52.31,10:44.18,7:38.25,10:33.70,10:24.45,10:48.53
#9,Davaris Nikos  - Makrinos Manolis Mitsubishi Lancer Evo IX,C2,8:57.74,11:59.27,9:02.94,11:55.06,11:42.31,12:05.70
