,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,6,7,10,11,12,13,14,15,16,17
#31,Csomós Miklós - Nagy Attila Škoda Fabia Rally2 evo,RC2,1:30.6,7:47.7,11:27.3,7:24.4,7:21.8,12:07.9,5:37.3,7:39.6,6:23.4,9:45.1,5:27.0,6:39.5,6:09.5,9:49.7
#32,Zaldivar F. - Der Ohannesian M. Hyundai i20 N Rally2,RC2,1:30.2,7:33.5,11:53.3,7:51.6,7:27.7,11:43.9 [N],5:43.7,7:00.1,6:19.3,9:49.0,-,-,-,-
#33,Tidemand Pontus - Thulin Julia Ford Fiesta Rally2,RC2,1:30.8,7:31.1,11:59.2,7:44.8,7:27.0,11:43.9 [N],5:41.6,7:14.5,6:28.7,9:52.1,5:41.3,6:55.6,6:24.2,9:38.7
#34,Teodósio Ricardo - Teixeira José Hyundai i20 N Rally2,RC2,1:27.9,7:53.3,11:59.7,8:23.9,7:42.5,11:43.9 [N],5:39.5,7:49.2,6:31.0,9:57.6,5:37.0,6:50.9,6:17.7,10:25.2
#35,Sousa Bernardo - Veiga Inês Citroën C3 Rally2,RC2,1:31.0,7:47.2,11:50.9,7:55.9,8:07.6,21:21.9 [N],5:44.7,7:15.0,7:05.0,-,-,-,-,-
#36,Mabellini Andrea - Lenzi Virginia Škoda Fabia Rally2 evo,RC2,1:31.7,7:38.4,11:51.4,7:48.7,7:27.6,11:43.9 [N],5:42.8,6:58.4,6:25.5,9:46.0,6:03.0,-,-,-
#37,Meireles Pedro - Alves Pedro Hyundai i20 N Rally2,RC2,1:31.0,7:49.3,-,-,-,-,-,-,-,-,-,-,-,-
#37,Meireles Pedro - Alves Pedro Hyundai i20 N Rally2  [SR],RC2,-,-,21:16.4 [N],17:05.3 [N],17:07.3 [N],21:21.9 [N],-,-,-,-,-,-,-,-
#38,Heikkilä Mikko - Vaaleri Samu Škoda Fabia Rally2 evo,RC2,1:29.7,7:30.6,11:17.9,7:09.1,7:15.2,11:21.9,5:31.7,6:49.9,6:20.2,9:50.2,5:26.5,6:40.6,6:11.3,12:07.9
#39,Simões Lucas - Almeida Nuno Ford Fiesta Rally2,RC2,1:34.6,7:56.0,12:32.2,8:24.5,8:01.2,11:43.9 [N],5:55.2,7:14.8,6:41.0,10:12.3 [N],5:52.7,7:06.7,6:46.1,10:17.0
#4,Kristensson Tom - Johansson Andreas Citroën C3 Rally2,RC2,1:29.7,7:33.0,11:36.0,7:48.0,8:09.7,11:43.9,5:33.7,6:54.8,6:15.4,9:51.8,5:30.8,6:45.6,6:16.5,9:36.0
#40,Armstrong Jon - Browne Andrew Ford Fiesta Rally3,RC3,1:37.4,7:38.4,12:07.4,7:59.6,7:44.6,12:12.9 [N],5:46.9,7:10.7,6:31.1,10:03.8,5:41.5,6:58.0,6:28.9,9:52.3
#41,Jocz Tymoteusz - Judycki Maciej Ford Fiesta Rally4,RC4,1:47.3,8:40.6,13:55.9,9:01.1,9:23.2,-,6:33.6,8:04.6,7:17.3,10:12.3 [N],6:27.5,7:49.3,7:17.3,11:38.9
#41,Jocz Tymoteusz - Judycki Maciej Ford Fiesta Rally4  [SR],RC4,-,-,-,-,-,24:29.7 [N],-,-,-,-,-,-,-,-
#42,Daprà Roberto - Guglielmetti Luca Peugeot 208 Rally4,RC4,1:40.5,8:42.0,13:38.2,9:50.8,9:17.5,13:43.7 [N],6:22.6,7:55.4,7:03.6,10:12.3 [N],6:22.1,7:42.4,7:00.9,10:48.6
#43,Mesquita Hugo - Cardoso Valter Renault Clio Rally4,RC4,1:46.9,9:22.2,14:28.8,10:14.1,9:39.5,13:43.7 [N],-,-,-,-,-,-,-,-
#44,Kreuter Norman - Kvick Andersson J. Peugeot 208 Rally4,RC4,1:48.0,9:15.8,15:19.3,-,-,-,7:10.9,8:43.9,7:52.4,10:12.3 [N],6:50.2,8:20.0,7:30.9,11:50.0
#44,Kreuter Norman - Kvick Andersson J. Peugeot 208 Rally4  [SR],RC4,-,-,-,18:59.9 [N],18:38.8 [N],24:29.7 [N],-,-,-,-,-,-,-,-
#45,Margaillan Matthieu - Margaillan M. Škoda Fabia Rally2 evo,RC2,1:32.7,7:51.6,12:03.2,7:54.6,7:32.8,11:43.9 [N],5:42.8,7:10.7,6:27.8,9:54.4,5:37.3,6:50.4,6:29.6,9:49.6
#46,Almeida Pedro - Castro Mário Škoda Fabia Rally2 evo,RC2,1:30.3,7:54.2,12:17.0,8:27.2,7:55.0,11:43.9 [N],5:48.2,7:16.4,6:37.8,10:12.3,5:43.8,6:59.3,6:30.9,9:59.3
#47,Kołtun Jarosław - Pleskot I. Ford Fiesta Rally2,RC2,1:36.8,8:04.3,12:41.0,8:54.8,7:56.9,11:43.9 [N],6:02.3,7:32.2,6:48.8,10:12.3 [N],-,-,-,-
#49,Neto Paulo - Mota Ribeiro Nuno Škoda Fabia Rally2 evo,RC2,1:35.7,8:03.9,12:42.2,8:48.2,8:10.7,11:43.9 [N],6:01.2,7:28.8,6:52.9,10:12.3 [N],5:54.5 [N],7:21.3,6:46.2,10:25.0
#5,Østberg Mads - Barth Patrik Citroën C3 Rally2,RC2,1:31.3,7:25.8,11:23.8,7:05.3,7:18.5,11:23.9,5:34.4,6:53.5,6:22.3,9:40.5,5:26.5,6:42.6,6:14.1,9:29.6
#50,Villanueva A. - Murado González J. Škoda Fabia Rally2 evo,RC2,1:35.9,7:40.8,12:25.0,8:10.3,7:48.7,11:43.9 [N],5:48.4,7:18.6,6:43.8,10:10.1,5:42.9,7:06.4,6:32.3,9:59.4
#51,Caldeira Paulo - Gonçalves Ana Citroën C3 Rally2,RC2,1:37.4,9:10.4,14:00.6,11:01.8,9:46.2,11:43.9 [N],6:47.1,7:54.9,7:23.0,10:12.3 [N],6:30.3,7:50.0,7:25.4,11:18.8
#52,Nõgene Joosep Ralf - Lesk Aleks Peugeot 208 Rally4,RC4,1:43.0,8:38.9,16:35.7,-,-,-,6:20.0,7:48.6,7:04.2,10:12.3 [N],6:16.7,7:36.5,6:54.8,-
#52,Nõgene Joosep Ralf - Lesk Aleks Peugeot 208 Rally4  [SR],RC4,-,-,-,18:59.9 [N],18:38.8 [N],24:29.7 [N],-,-,-,-,-,-,-,-
#53,Strabello Stefano - Gasparotto Ivan Peugeot 208 Rally4,RC4,1:50.6,9:02.8,14:21.9,9:28.6,11:50.6,13:43.7 [N],6:46.8,8:27.1,7:35.8,10:12.3 [N],6:38.7,8:09.8,7:25.1,11:42.3
#54,Cunha Ernesto - Magalhães Carlos Peugeot 208 Rally4,RC4,1:44.5,8:20.8,13:41.9,8:59.9,8:38.8,13:43.7 [N],6:32.3,8:48.4,7:24.6,10:12.3 [N],6:27.3,7:44.7,7:08.5,11:01.9
#55,Muñoz Patricio - Recalt Miguel Peugeot 208 Rally4,RC4,1:49.1,8:56.3,14:09.6,9:51.0,9:03.6,13:43.7 [N],6:38.3,8:23.2,7:35.2,10:12.3 [N],6:38.6,8:11.1,7:26.5,11:39.9
#6,Ragues Pierre - Pesenti Julien Ford Fiesta Rally3,RC3,1:36.6,8:35.5,13:18.3,8:57.6,8:29.4,12:12.9 [N],6:20.9,7:48.2,7:07.3,10:12.3 [N],6:12.8,7:26.6,6:49.9,10:45.1
#61,Filipe Ricardo - Carvalho Filipe Ford Fiesta R5,RC2,1:43.0,8:30.7,13:20.6,9:42.0,8:59.9,13:43.7 [N],-,-,-,-,-,-,-,-
#62,Sousa Ricardo - Marques Luís Peugeot 208 Rally4,RC4,1:46.6,8:26.1,13:19.3,-,-,-,-,-,-,-,-,-,-,-
#63,Cardeira Rafael - Boiça Luís Renault Clio RS R3T,RC4,1:48.8,9:21.3,14:45.1,10:14.1 [N],-,-,-,-,-,-,-,-,-,-
#64,Silva Pedro - Santos Roberto Peugeot 208 Rally4,RC4,1:46.5,9:19.1,14:46.7,9:59.5,9:24.8,13:43.7 [N],-,-,-,-,-,-,-,-
#65,Loureiro José - Santos Bino Peugeot 208 Rally4,RC4,1:40.2,9:29.4,14:55.4,10:14.1 [N],10:24.2,13:43.7 [N],-,-,-,-,-,-,-,-
#66,Nunes Daniel - Costa Liliana Renault Clio Rally4,RC4,1:41.8,8:31.1,23:19.3,-,-,-,-,-,-,-,-,-,-,-
#66,Nunes Daniel - Costa Liliana Renault Clio Rally4  [SR],RC4,-,-,-,20:14.1 [N],-,-,-,-,-,-,-,-,-,-
#67,Roque Paulo - Macedo Marco Peugeot 208 Rally4,RC4,1:49.6,9:50.0,15:09.1,10:14.1 [N],10:23.6,13:43.7 [N],-,-,-,-,-,-,-,-
#68,Colaço João - Rodrigues Alexandre Renault Clio Rally5,RC5,1:51.1,10:11.1,15:31.1,10:14.1 [N],10:35.7,13:43.7 [N],-,-,-,-,-,-,-,-
#69,Abrantes Miguel - Silva Tiago Renault Clio RS R3T,RC4,1:54.1,9:41.9,15:38.0,10:14.1 [N],10:20.8,13:43.7 [N],-,-,-,-,-,-,-,-
#7,Bonato Yoann - Boulloud Benjamin Citroën C3 Rally2,RC2,1:31.7,7:35.1,11:42.6,7:45.3,7:24.2,11:43.9 [N],5:36.9,6:52.2,6:19.7,9:52.5,5:30.3,6:43.6,6:14.4,9:40.7
#70,Figueiredo João - Ribeiro Fábio Renault Clio Rally4,RC4,1:51.5,9:58.9,15:14.9,-,-,-,-,-,-,-,-,-,-,-
#70,Figueiredo João - Ribeiro Fábio Renault Clio Rally4  [SR],RC4,-,-,-,20:14.1 [N],-,-,-,-,-,-,-,-,-,-
#71,Lopes Hugo - Neves Tiago Renault Clio Rally4,RC4,1:45.2,8:36.5,13:43.3,10:14.1 [N],9:00.1,13:43.7 [N],-,-,-,-,-,-,-,-
#72,Fernandes Gonçalo - Miguel F. Peugeot 208 Rally4,RC4,1:51.9,10:20.8,16:07.2,10:14.1 [N],10:20.3,13:43.7 [N],-,-,-,-,-,-,-,-
#73,Korzun Anton - Kononov Pavlo Peugeot 208 Rally4,RC4,1:50.4,9:11.3,14:32.4,10:14.1 [N],9:14.3,13:43.7 [N],6:46.6,8:30.2,7:36.9,10:12.3 [N],6:48.9,8:16.2,7:30.5,10:58.6 [N]
#74,Henriques Gonçalo - Santos A. Renault Clio Rally5,RC5,1:44.9,8:54.4,14:11.1,10:14.1 [N],9:29.1,13:43.7 [N],-,-,-,-,-,-,-,-
#75,Gómez Fortes G. - Conde García U. Toyota GR Yaris RZ,R3N,1:57.6,10:28.5,15:59.8,10:14.1 [N],-,-,7:50.4,9:19.8,8:34.3,10:12.3 [N],7:54.1,9:14.4,8:45.4,10:58.6 [N]
#75,Gómez Fortes G. - Conde García U. Toyota GR Yaris RZ  [SR],R3N,-,-,-,-,18:42.7 [N],23:43.7 [N],-,-,-,-,-,-,-,-
