0,,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
62,Vihtari  T,RC3,Finland,55,51,50,52,48,47,50,47,47,37,49,49,47,45,45,40,38,33,40,40,42,38
63,Paciorkows,RC3,Finland,57,49,49,49,44,50,47,44,45,40,50,46,-,-,-,-,-,-,-,-,-,-
64,Borodin  P,RC3,Finland,39,38,40,33,62,62,58,58,58,58,44,45,42,55,54,51,50,48,51,33,33,30
65,Rytkönen  ,RC2,Finland,31,32,28,28,27,28,29,27,27,25,29,24,24,24,25,23,42,34,24,22,22,24
66,Tuuri  Jar,RC2,Finland,48,47,48,45,40,43,43,41,40,38,42,43,43,36,39,38,32,42,34,31,33,28
67,McCormack ,RC2,Finland,51,59,54,56,54,53,49,50,50,46,52,52,46,44,44,41,37,35,46,44,45,45
68,Manninen  ,RC3,Finland,48,41,43,44,36,33,36,40,37,41,34,34,37,33,34,28,27,28,27,29,28,34
69,Rovanperä ,RC1,Finland,3,3,1,1,1,1,1,55,55,54,-,-,-,-,-,-,-,-,-,-,-,-
70,Räikkönen ,RC4,Finland,53,50,45,46,44,40,45,42,44,44,43,44,40,41,37,37,33,31,36,39,35,39
71,Yamamoto  ,RC4,Finland,59,43,37,40,41,38,35,35,41,42,35,38,41,40,32,33,53,49,31,38,32,36
72,Kogure  Hi,RC4,Finland,56,46,39,42,39,37,38,37,39,47,40,39,39,39,35,32,53,-,-,-,-,-
73,Otake  Nao,RC4,Finland,52,45,44,47,57,45,59,59,59,59,38,41,36,38,31,34,30,29,32,35,30,35
74,Fontana  M,RC4,Finland,46,52,47,47,43,42,39,43,42,43,45,42,54,42,38,35,31,38,37,37,36,33
75,Cartier  V,RC2,Finland,37,40,46,41,37,34,42,36,34,33,46,37,35,37,30,36,28,52,39,36,37,32
76,Rowley  Pa,RC2,Finland,44,54,51,50,46,44,46,45,43,35,48,58,56,56,55,54,51,52,42,43,41,41
77,Strobl  A.,RC2,Finland,57,58,57,55,50,51,52,49,51,48,53,50,50,49,49,54,51,52,44,45,44,46
78,Salin  Dan,RC2,Finland,61,60,59,58,51,55,53,52,49,52,57,54,51,51,48,44,41,40,49,48,47,47
79,Coyne  Joh,RC2,Finland,60,57,53,57,53,52,51,51,52,49,55,51,48,48,46,43,39,36,45,46,43,44
80,Hytönen  K,RC4,Finland,62,61,63,36,58,56,59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
81,Kaisanlaht,RC4,Finland,63,62,58,59,56,57,55,54,54,53,56,55,52,52,56,52,53,49,48,49,48,48
82,Hiltunen  ,RC4,Finland,64,63,60,59,55,58,59,59,59,59,58,56,57,57,56,52,53,49,50,50,49,49
97,Latvala  J,RC1,Finland,9,9,7,7,6,6,6,5,5,5,5,5,6,6,6,6,6,5,5,5,5,5
