,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
#34,Linnamäe Georg  - Morgan James Hyundai i20 N Rally2,RC2,2:52.2,6:02.0,6:35.0,7:29.7,4:42.2,6:06.3,6:33.4,7:29.1,4:40.3,2:57.8,9:07.8,10:44.6,10:45.8,11:04.6,9:00.5,10:17.5,10:33.3,11:24.2,8:11.6,5:32.2,7:59.8,5:22.3
#35,Zaldivar F.  - Der Ohannesian M. Hyundai i20 N Rally2,RC2,2:52.9,6:02.7,6:40.7,7:35.3,4:46.7,6:03.0,6:36.7,7:38.3,4:42.9,3:44.3,9:16.9,10:38.4,10:47.6,11:10.4,9:04.5,-,-,-,-,-,-,-
#36,Marczyk M.  - Gospodarczyk S. Škoda Fabia RS Rally2,RC2,2:53.0,6:03.1,6:40.5,7:29.8,4:47.0,6:06.1,6:36.1,7:32.5,4:40.9,2:56.3,9:17.1,10:50.4,10:44.9,11:04.6,9:03.6,10:17.0,10:32.4,11:24.5,8:12.4,5:28.5,8:01.8,5:16.5
#37,Bulacia B.  - Coronado Jiménez A. Škoda Fabia RS Rally2,RC2,2:54.7,6:14.8,6:45.1,7:38.3,4:49.0,6:09.3,6:37.1,7:31.0,4:45.4,3:01.1,9:20.6,10:43.8,14:19.8,11:17.5,9:13.8,10:28.7,10:49.4,11:24.2,8:18.3,-,-,-
#38,Fernández Emilio  - Odriozola B. Škoda Fabia Rally2 evo,RC2,2:53.3,6:12.4,6:55.3,8:08.7,4:48.8,6:16.8,6:47.0,7:56.7,4:46.4,3:00.3,9:32.6,11:05.5,11:14.4,11:27.0,9:12.3,10:37.0,11:05.8,11:33.9,8:20.6,5:28.9,8:07.2,5:21.7
#39,McErlean Josh  - Fulton James Hyundai i20 N Rally2,RC2,2:53.4,6:02.4,6:36.2,7:30.9,4:49.3,6:05.9,6:40.1,7:33.2,4:41.6,2:57.7,9:14.0,10:30.0,10:44.6,10:58.6,9:06.7,10:22.4,17:17.6,11:55.6,8:12.5,5:27.6,7:58.8,5:16.2
#4,Lappi Esapekka  - Ferm Janne Hyundai i20 N Rally1,RC1 M,2:40.8,5:37.8,6:02.9,6:58.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#40,Munster Grégoire  - Louka Louis Ford Fiesta Rally2,RC2,2:56.0,6:10.0,6:45.7,7:35.2,4:47.2,6:08.8,6:43.3,7:36.7,4:43.3,2:57.8,9:19.1,10:46.9,10:56.7,11:09.6,9:10.2,10:25.4,10:34.4,11:40.6,8:20.2,5:32.4,8:05.7,5:23.3
#41,Tahko Riku  - Soininen Markus Hyundai i20 N Rally2,RC2,2:52.2,6:13.5,6:45.0,7:45.2,4:50.4,6:17.1,6:43.8,7:44.7,4:55.1,3:49.7,9:31.7,10:57.8,11:01.5,13:07.5,-,-,-,-,-,-,-,-
#44,Ciamin Nicolas  - Roche Yannick Volkswagen Polo GTI R5,RC2,2:52.7,6:09.4,6:45.5,7:42.3,4:49.2,6:14.2,6:39.0,7:36.6,4:43.9,2:58.3,9:32.7,10:55.4,11:17.4,11:38.3,9:17.6,10:34.3,10:47.7,11:39.6,8:26.6,5:37.9,8:06.5,5:25.2
#45,Jylhä Tommi  - Nevanpää Kimmo Škoda Fabia R5,RC2,3:06.0,6:41.9,7:16.9,8:14.9,5:12.0,6:59.2,7:29.6,8:25.8,5:13.2,3:07.9,10:12.9,11:43.6,11:46.1,11:58.5,9:55.8,16:39.3,16:40.1,13:24.4,8:51.1,5:58.9,8:41.3,5:59.7
#46,Villanueva A.  - Murado González J. Škoda Fabia RS Rally2,RC2,2:57.1,6:29.0,7:06.2,8:13.8,5:05.9,6:47.3,7:06.3,8:13.2,5:00.1,3:11.8,10:11.4,11:39.7,11:38.5,12:00.6,10:43.7,11:25.3,11:30.8,12:13.8,9:04.0,5:56.9,8:48.2,5:46.7
#48,Kelly Eamonn  - Mohan Conor Hyundai i20 N Rally2,RC2,2:57.5,6:33.5,7:12.6,7:57.4,5:02.3,6:36.4,6:58.4,7:51.5,4:52.8,3:06.2,9:58.6,11:08.2,11:12.8,11:22.4,10:31.9,10:50.5,10:58.1,11:57.3,8:51.2,5:37.1,8:22.5,5:28.0
#49,Díaz-Aboitiz M.  - Sanjuan de Eusebio R. Škoda Fabia Rally2 evo,RC2,3:09.1,7:04.4,7:56.2,9:02.7,5:32.4,7:27.9,8:29.0,9:29.5,5:51.2,3:23.9,11:17.6,13:05.0,13:09.6,13:29.1,11:17.9,13:10.3,13:05.4,14:55.5,10:08.1,6:48.8,9:59.2,6:18.6
#52,Korhonen Roope  - Viinikka Anssi Volkswagen Polo GTI R5,RC2,2:51.3,6:06.1,6:38.5,7:28.6,4:47.5,6:04.9,6:34.4,7:26.6,4:41.7,2:58.4,9:10.5,10:47.1,10:35.4,-,-,-,-,-,8:03.1,5:25.5,7:57.8,5:15.9
#52,Korhonen Roope  - Viinikka Anssi Volkswagen Polo GTI R5  [SR],RC2,-,-,-,-,-,-,-,-,-,-,-,-,-,20:46.0 [N],18:51.4 [N],20:07.5 [N],20:24.1 [N],21:06.1 [N],-,-,-,-
#53,Korhola Benjamin  - Kelander Pekka Ford Fiesta Rally3,RC3,3:03.4,6:16.9,6:57.4,7:49.8,4:54.6,6:25.3,6:59.7,7:56.5,4:59.2,3:12.3,9:42.7,11:05.4,11:15.3,11:32.0,9:35.9,11:01.3,11:09.8,11:56.2,8:35.2,5:41.5,8:33.2,5:43.4
#55,Türkkan Ali  - Erdener Burak Ford Fiesta Rally3,RC3,3:04.4,6:36.8,7:04.9,8:02.5,4:58.2,6:53.7,7:23.0,8:13.4,5:03.9,3:12.8,10:15.4,11:24.8,11:41.3,11:49.2,9:41.2,11:07.5,12:10.0,12:53.9,8:40.8,5:47.0,-,-
#56,Kohn Filip  - Woodburn Tom Ford Fiesta Rally3,RC3,3:01.5,6:38.0,7:16.1,8:12.6,5:01.3,7:10.2,7:14.8,8:12.3,5:05.7,3:05.8,9:54.6,11:24.7,11:49.3,11:44.9,9:44.8,11:16.5,11:26.3,12:04.6,8:51.4,5:50.5,8:42.4,5:51.3
#57,Kallio Jesse  - Lindberg Jussi Ford Fiesta Rally3,RC3,3:04.8,6:26.1,6:56.8,7:54.0,4:55.8,6:28.4,7:07.2,7:59.7,5:03.5,3:10.8,9:39.1,11:05.8,11:16.2,11:30.1,9:34.9,11:02.7,11:14.6,12:03.9,8:34.6,5:43.5,8:29.9,5:40.2
#58,Nieminen Kristian  - Nieminen V. Ford Fiesta Rally3,RC3,3:10.5,6:23.8,7:00.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#59,Timonen Henri  - Kärpijoki Jussi Ford Fiesta Rally3,RC3,3:06.8,6:34.5,7:14.9,8:25.0 [N],5:09.1,6:51.9,7:32.4,8:25.0,5:11.9,3:18.9,10:11.1,11:36.8,11:44.4,12:07.6,10:09.3,11:26.4,11:40.1,18:21.4,8:59.3,5:52.4,8:52.7,5:50.2
#60,Cumiskey Brendan  - Connolly M. Ford Fiesta Rally3,RC3,3:15.7,6:52.8,7:46.9,8:58.9 [N],5:23.4,7:12.7,8:01.1,8:58.9,5:26.2,3:29.1,10:30.0,12:21.9,12:35.1 [N],13:05.4,10:41.1,12:29.7,12:21.1 [N],15:37.1,9:37.5,6:17.4,9:26.2,6:16.7
#61,Laakso Ville  - Luhtaniemi Jani Ford Fiesta Rally3,RC3,3:11.8,7:04.8,7:57.4,9:05.7 [N],5:25.4,7:16.3,7:48.8,9:05.7,5:37.8,3:21.4,10:55.5,12:22.1,12:34.3,12:45.1,10:48.1,12:12.8,12:26.3 [N],16:12.7,9:43.3,6:14.4,9:23.5,6:10.0
#62,Vihtari Tuomas  - Harvia Ville Ford Fiesta Rally3,RC3,3:15.9,6:51.0,7:42.1,8:59.2 [N],5:24.0,7:10.3,8:08.4,8:59.2,5:30.1,3:21.8,10:50.6,12:23.2,12:44.1,12:53.9,10:56.5,12:27.0,12:36.1 [N],13:34.4,9:37.1,6:13.8,9:35.4,6:06.1
#63,Paciorkowski Marek  - Heller Kamil Ford Fiesta Rally3,RC3,3:18.8,6:43.3,7:30.8,8:51.1 [N],5:13.4,7:22.8,7:59.3,8:51.1,5:25.8,3:24.6,10:52.3,12:18.6,-,-,-,-,-,-,-,-,-,-
#64,Borodin Petr  - Cheprasov Roman Ford Fiesta Rally3,RC3,3:03.6,6:34.0,7:15.7,8:01.0 [N],-,-,-,-,-,-,10:27.7,11:59.7,11:59.1,21:30.1 [N],19:34.9 [N],21:01.3 [N],21:09.8 [N],21:56.2 [N],14:03.1,5:57.1,8:57.4,5:50.7
#64,Borodin Petr  - Cheprasov Roman Ford Fiesta Rally3  [SR],RC3,-,-,-,-,14:54.6 [N],16:25.3 [N],16:59.7 [N],17:56.5 [N],14:59.2 [N],13:05.8 [N],-,-,-,-,-,-,-,-,-,-,-,-
#65,Rytkönen Anssi  - Koskela J. Škoda Fabia R5,RC2,2:53.8,6:18.2,6:53.8,7:47.8,4:49.5,6:19.6,6:50.6,7:46.7,4:51.0,3:04.5,9:37.0,10:53.1,11:02.5,11:23.3,9:23.8,10:42.2,15:11.6,13:44.1,8:34.7,5:34.7,8:19.8,5:28.8
#66,Tuuri Jari  - Kapanen Arto Škoda Fabia R5,RC2,3:10.8,6:41.6,7:30.6,8:36.7 [N],5:10.0,7:00.6,7:43.2,8:36.7,5:17.7,3:22.6,10:20.7,11:51.6,12:08.7,12:09.0,10:18.5,11:40.7,11:49.9,17:18.2,9:02.6,5:55.6,8:57.4,5:48.7
#67,McCormack Enda  - McCormack Liam Hyundai i20 N Rally2,RC2,3:14.0,7:17.3,7:52.8,9:06.5 [N],5:46.9,7:26.7,8:07.7,9:06.5,5:40.2,3:31.2,11:08.1,12:42.9,12:37.3,12:50.0,10:50.8,12:27.8,12:29.3 [N],13:57.1,10:00.9,6:25.9,9:57.3,6:23.7
#68,Manninen Markus  - Sillanpää T. Renault Clio Rally3,RC3,3:10.8,6:35.5,7:18.6,8:31.2 [N],5:08.3,6:43.1,7:22.6,8:31.2,5:13.0,3:25.1,10:04.0,11:26.8,11:48.5,12:00.3 [N],9:56.6,11:15.4,11:33.5,12:24.9,8:46.9,5:50.6,8:44.2,5:53.5
#69,Rovanperä Kalle  - Halttunen J. Toyota GR Yaris Rally1,RC1 M,2:39.7,5:37.4,5:57.8,6:55.7,4:21.0,5:40.5,6:05.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#7,Loubet Pierre-Louis  - Gilsoul N. Ford Puma Rally1,RC1 M,2:41.2,5:41.2,-,-,-,-,-,-,-,-,9:00.8,9:53.0,10:11.4,10:19.6,8:40.6,9:46.0,10:04.4,11:00.7,9:16.7,5:15.2,9:08.6,5:03.2
#7,Loubet Pierre-Louis  - Gilsoul N. Ford Puma Rally1  [SR],RC1 M,-,-,15:57.8 [N],16:55.7 [N],14:21.0 [N],15:40.5 [N],16:05.7 [N],16:59.6 [N],14:20.7 [N],12:44.5 [N],-,-,-,-,-,-,-,-,-,-,-,-
#70,Räikkönen Justus  - Korhonen M. Peugeot 208 Rally4,RC4,3:15.3,6:46.1,7:26.3,8:40.9 [N],5:13.4,6:57.5,7:50.2,8:40.9,5:24.1,3:28.8,10:26.9,11:52.1,11:55.4,12:17.4,10:09.8,11:36.7,11:54.3,13:08.8,9:05.5,6:13.2,8:57.9,6:08.4
#71,Yamamoto Yuki  - Teiskonen Miika Renault Clio Rally4,RC4,3:19.9,6:37.6,7:13.2,8:20.4 [N],5:10.6,6:52.4,7:21.0,8:20.4,5:17.9,3:27.4,10:07.3,11:41.4,11:57.0,12:14.3,9:55.8,11:28.0,-,-,8:56.5,6:07.8,8:54.7,5:58.6
#71,Yamamoto Yuki  - Teiskonen Miika Renault Clio Rally4  [SR],RC4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21:45.7 [N],22:49.5 [N],-,-,-,-
#72,Kogure Hikaru  - Luhtinen T. Renault Clio Rally4,RC4,3:17.9,6:41.4,7:15.1,8:24.0 [N],5:09.8,6:52.3,7:26.5,8:24.0,5:17.0,3:32.3,10:13.7,11:43.2,11:54.9,12:14.2,10:03.8,11:27.3,-,-,-,-,-,-
#73,Otake Nao  - Salminen Marko Renault Clio Rally4,RC4,3:14.7,6:39.2,7:23.1,8:46.2 [N],7:15.9,7:08.2,-,-,-,-,10:12.7,11:44.3,11:48.4,12:13.7,9:55.5,11:30.8,11:45.7,12:49.5,8:59.3,6:01.2,8:52.7,5:56.8
#73,Otake Nao  - Salminen Marko Renault Clio Rally4  [SR],RC4,-,-,-,-,-,-,17:21.0 [N],18:20.4 [N],15:17.0 [N],13:27.4 [N],-,-,-,-,-,-,-,-,-,-,-,-
