Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,69,Rovanperä  K.  /  Halttunen  Jonne  Toyota GR Yaris Rally1 Hybrid,RC1,00:05:40.5,124.55 0.00,00:00:00.0 00:00:00.0,6
2,18,Katsuta  T.  /  Johnston  Aaron  Toyota GR Yaris Rally1 Hybrid,RC1,00:05:40.7,124.47 0.02,00:00:00.2 00:00:00.2,6
3,3,Suninen  Teemu  /  Markkula  Mikko  Hyundai i20 N Rally1 Hybrid,RC1,00:05:41.1,124.33 0.05,00:00:00.6 00:00:00.4,6
4,33,Evans  Elfyn  /  Martin  Scott  Toyota GR Yaris Rally1 Hybrid,RC1,00:05:41.9,124.04 0.12,00:00:01.4 00:00:00.8,6
5,11,Neuville  T.  /  Wydaeghe  M.  Hyundai i20 N Rally1 Hybrid,RC1,00:05:44.4,123.14 0.33,00:00:03.9 00:00:02.5,6
6,97,Latvala  J.  /  Hänninen  Juho  Toyota GR Yaris Rally1 Hybrid,RC1,00:05:49.1,121.48 0.73,00:00:08.6 00:00:04.7,6
7,27,Pajari  Sami  /  Mälkönen  Enni  Škoda Fabia RS Rally2,RC2,00:05:56.7,118.89 1.38,00:00:16.2 00:00:07.6,6
8,28,Huttunen  Jari  /  Haapala  Antti  Škoda Fabia RS Rally2,RC2,00:05:57.5,118.62 1.44,00:00:17.0 00:00:00.8,6
9,25,Gryazin  Nikolay  /  Aleksandrov  K.  Škoda Fabia RS Rally2,RC2,00:05:59.7,117.90 1.63,00:00:19.2 00:00:02.2,6
10,23,Lindholm  Emil  /  Hämäläinen  R.  Hyundai i20 N Rally2,RC2,00:06:00.3,117.70 1.68,00:00:19.8 00:00:00.6,6
11,30,Heikkilä  Mikko  /  Vaaleri  Samu  Škoda Fabia RS Rally2,RC2,00:06:01.8,117.21 1.81,00:00:21.3 00:00:01.5,6
12,26,Fourmaux  Adrien  /  Coria  Alexandre  Ford Fiesta Rally2 MkII,RC2,00:06:02.0,117.15 1.83,00:00:21.5 00:00:00.2,6
13,24,Mikkelsen  A.  /  Eriksen  T.  Škoda Fabia RS Rally2,RC2,00:06:02.6,116.96 1.88,00:00:22.1 00:00:00.6,6
13,29,Joona  Lauri  /  Shemeikka  T.  Škoda Fabia RS Rally2,RC2,00:06:02.6,116.96 1.88,00:00:22.1 00:00:00.0,6
15,35,Zaldivar  F.  /  Der Ohannesian  M.  Hyundai i20 N Rally2,RC2,00:06:03.0,116.83 1.91,00:00:22.5 00:00:00.4,6
16,21,Solberg  Oliver  /  Edmondson  E.  Škoda Fabia RS Rally2,RC2,00:06:04.1,116.47 2.00,00:00:23.6 00:00:01.1,6
17,52,Korhonen  Roope  /  Viinikka  Anssi  Volkswagen Polo Gti R5,RC2,00:06:04.9,116.22 2.07,00:00:24.4 00:00:00.8,6
18,39,McErlean  Joshua  /  Fulton  James  Hyundai i20 N Rally2,RC2,00:06:05.9,115.90 2.16,00:00:25.4 00:00:01.0,6
19,36,Marczyk  Miko  /  Gospodarczyk  S.  Škoda Fabia RS Rally2,RC2,00:06:06.1,115.84 2.17,00:00:25.6 00:00:00.2,6
20,34,Linnamäe  Georg  /  Morgan  James  Hyundai i20 N Rally2,RC2,00:06:06.3,115.77 2.19,00:00:25.8 00:00:00.2,6
21,22,Greensmith  Gus  /  Andersson  Jonas  Škoda Fabia RS Rally2,RC2,00:06:07.1,115.52 2.26,00:00:26.6 00:00:00.8,6
22,20,Rossel  Yohan  /  Dunand  Arnaud  Citroën C3 Rally2,RC2,00:06:08.4,115.11 2.37,00:00:27.9 00:00:01.3,6
23,40,Munster  G.  /  Louka  Louis  Ford Fiesta Rally2 MkII,RC2,00:06:08.8,114.99 2.40,00:00:28.3 00:00:00.4,6
24,37,Bulacia  Bruno  /  Coronado  Axel  Škoda Fabia RS Rally2,RC2,00:06:09.3,114.83 2.44,00:00:28.8 00:00:00.5,6
25,44,Ciamin  Nicolas  /  Roche  Yannick  Volkswagen Polo Gti R5,RC2,00:06:14.2,113.33 2.86,00:00:33.7 00:00:04.9,6
26,38,Fernàndez  E.  /  Odriozola  Borja  Škoda Fabia Rally2 Evo,RC2,00:06:16.8,112.55 3.08,00:00:36.3 00:00:02.6,6
27,41,Tahko  Riku  /  Soininen  Markus  Hyundai i20 N Rally2,RC2,00:06:17.1,112.46 3.11,00:00:36.6 00:00:00.3,6
28,65,Rytkönen  Anssi  /  Koskela  J.  Škoda Fabia R5,RC2,00:06:19.6,111.72 3.32,00:00:39.1 00:00:02.5,6
29,32,Bulacia  Marco  /  Vallejo  Diego  Škoda Fabia RS Rally2,RC2,00:06:23.7,110.52 3.67,00:00:43.2 00:00:04.1,6
30,53,Korhola  B.  /  Kelander  Pekka  Ford Fiesta Rally3,RC3,00:06:25.3,110.06 3.80,00:00:44.8 00:00:01.6,6
31,57,Kallio  Jesse  /  Lindberg  Jussi  Ford Fiesta Rally3,RC3,00:06:28.4,109.19 4.07,00:00:47.9 00:00:03.1,6
32,48,Kelly  Eamonn  /  Mohan  Conor  Hyundai i20 N Rally2,RC2,00:06:36.4,106.98 4.75,00:00:55.9 00:00:08.0,6
33,68,Manninen  Markus  /  Sillanpää  T.  Renault Clio Rally3,RC3,00:06:43.1,105.20 5.31,00:01:02.6 00:00:06.7,6
34,75,Cartier  Victor  /  Deliot  Manon  Toyota Yaris R4,RC2,00:06:44.4,104.87 5.42,00:01:03.9 00:00:01.3,6
35,46,Villanueva  A.  /  Murado  José  Škoda Fabia RS Rally2,RC2,00:06:47.3,104.12 5.67,00:01:06.8 00:00:02.9,6
36,59,Timonen  Henri  /  Kärpijoki  J.  Ford Fiesta Rally3,RC3,00:06:51.9,102.96 6.06,00:01:11.4 00:00:04.6,6
37,72,Kogure  Hikaru  /  Luhtinen  Topi  Renault Clio Rally4,RC4,00:06:52.3,102.86 6.10,00:01:11.8 00:00:00.4,6
38,71,Yamamoto  Yuki  /  Teiskonen  Miika  Renault Clio Rally4,RC4,00:06:52.4,102.83 6.10,00:01:11.9 00:00:00.1,6
39,55,Türkkan  Ali  /  Erdener  Burak  Ford Fiesta Rally3,RC3,00:06:53.7,102.51 6.21,00:01:13.2 00:00:01.3,6
40,70,Räikkönen  J.  /  Korhonen  Mikael  Peugeot 208 Rally4,RC4,00:06:57.5,101.58 6.54,00:01:17.0 00:00:03.8,6
41,45,Jylhä  Tommi  /  Nevanpää  K.  Škoda Fabia R5,RC2,00:06:59.2,101.16 6.68,00:01:18.7 00:00:01.7,6
42,74,Fontana  Matteo  /  Arnaboldi  A.  Peugeot 208 Rally4,RC4,00:06:59.5,101.09 6.71,00:01:19.0 00:00:00.3,6
43,66,Tuuri  Jari  /  Kapanen  Arto  Škoda Fabia R5,RC2,00:07:00.6,100.83 6.80,00:01:20.1 00:00:01.1,6
44,76,Rowley  Paul  /  Mullen  Darragh  Ford Fiesta Rally2 MkII,RC2,00:07:07.6,99.18 7.39,00:01:27.1 00:00:07.0,6
45,73,Otake  Nao  /  Salminen  Marko  Renault Clio Rally4,RC4,00:07:08.2,99.04 7.44,00:01:27.7 00:00:00.6,6
46,56,Kohn  Filip  /  Woodburn  Tom  Ford Fiesta Rally3,RC3,00:07:10.2,98.58 7.61,00:01:29.7 00:00:02.0,6
47,62,Vihtari  Tuomas  /  Harvia  Ville  Ford Fiesta Rally3,RC3,00:07:10.3,98.55 7.62,00:01:29.8 00:00:00.1,6
48,60,Cumiskey  B.  /  Connolly  Martin  Ford Fiesta Rally3,RC3,00:07:12.7,98.01 7.83,00:01:32.2 00:00:02.4,6
49,61,Laakso  Ville  /  Luhtaniemi  Jani  Ford Fiesta Rally3,RC3,00:07:16.3,97.20 8.13,00:01:35.8 00:00:03.6,6
50,63,Paciorkowski  M.  /  Heller  Kamil  Ford Fiesta Rally3,RC3,00:07:22.8,95.77 8.68,00:01:42.3 00:00:06.5,6
51,77,Strobl  A.  /  Kachel  André  Ford Fiesta R5,RC2,00:07:24.4,95.43 8.82,00:01:43.9 00:00:01.6,6
52,79,Coyne  John  /  Treacy  Eoin  Hyundai i20 N Rally2,RC2,00:07:26.1,95.06 8.96,00:01:45.6 00:00:01.7,6
53,67,McCormack  Enda  /  McCormack  Liam  Hyundai i20 N Rally2,RC2,00:07:26.7,94.94 9.02,00:01:46.2 00:00:00.6,6
54,49,Díaz Aboitiz  M.  /  Sanjuán  R.  Škoda Fabia Rally2 Evo,RC2,00:07:27.9,94.68 9.12,00:01:47.4 00:00:01.2,6
55,78,Salin  Daniel  /  Salin  Brigitte  Škoda Fabia R5,RC2,00:07:39.0,92.39 10.06,00:01:58.5 00:00:11.1,6
56,80,Hytönen  Kari  /  Nisula  Suvi  Ford Fiesta R2T,RC4,00:07:55.1,89.26 11.43,00:02:14.6 00:00:16.1,6
57,81,Kaisanlahti  R.  /  Öhman  Patric  Ford Fiesta Rally4,RC4,00:08:04.5,87.53 12.22,00:02:24.0 00:00:09.4,6
58,82,Hiltunen  Peter  /  Tiainen  Pentti  Renault Clio Rally4,RC4,00:08:17.0,85.33 13.29,00:02:36.5 00:00:12.5,6
59,4,Lappi  Esapekka  /  Ferm  Janne  Hyundai i20 N Rally1 Hybrid,RC1,00:15:40.5,45.09 50.93,00:10:00.0 00:07:23.5,6
59,7,Loubet  P.  /  Gilsoul  Nicolas  Ford Puma Rally1 Hybrid,RC1,00:15:40.5,45.09 50.93,00:10:00.0 00:00:00.0,6
61,31,Virves  Robert  /  Drew  Craig  Ford Fiesta Rally2 MkII,RC2,00:15:56.7,44.33 52.31,00:10:16.2 00:00:16.2,6
62,64,Borodin  Petr  /  Cheprasov  Roman  Ford Fiesta Rally3,RC3,00:16:25.3,43.04 54.74,00:10:44.8 00:00:28.6,6
