0,,,,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time
ss,,,,1,2,3,4,5,6,7,8,9,10,11,12,13
No.,Crew,Group,Race,,,,,,,,,,,,,
28,Scattolon ,RC2,Roma Capitale,00:00:59.3,00:06:50.6,00:20:06.7,00:04:24.1,00:06:45.9,00:20:00.8,00:04:23.3,00:03:45.5,00:04:35.1,-,-,-,-
29,Somaschini,RC2,Roma Capitale,00:01:04.4,00:07:03.2,00:21:07.4,00:04:36.7,00:07:05.7,00:21:24.5,00:04:38.3,00:03:55.4,00:05:01.1,00:18:46.5,00:04:55.5,00:18:49.4,00:03:53.3
30,Cuzma  Bog,RC2,Roma Capitale,00:01:06.0,00:07:20.7,00:21:49.3,00:04:42.3,00:07:09.5,00:21:27.7,00:04:43.2,00:03:56.7,00:04:52.8,00:18:50.6,00:04:49.6,00:18:57.6,00:03:57.0
31,Kołtun  J.,RC2,Roma Capitale,00:01:05.3,00:06:59.6,00:21:10.9,00:04:31.8,00:07:56.6,00:20:53.1,00:14:15.7,-,-,-,-,-,-
32,Armstrong ,RC3,Roma Capitale,00:01:00.5,00:07:01.8,00:20:39.5,00:04:32.1,00:06:59.3,00:20:25.8,00:04:30.9,00:03:54.7,00:04:38.3,00:18:12.3,00:04:37.6,00:18:13.8,00:03:53.5
33,Andreucci ,RC3,Roma Capitale,00:01:01.5,00:07:11.1,00:21:25.3,00:04:45.1,00:07:07.6,00:21:05.9,00:04:40.9,00:04:00.5,00:04:49.7,00:18:46.9,00:04:47.0,00:18:47.4,00:04:02.5
34,Nore  Ola ,RC4,Roma Capitale,00:01:05.9,00:07:12.9,00:21:45.8,00:04:48.7,00:07:19.1,00:21:40.3,00:04:47.5,00:04:03.9,00:04:52.8,00:19:00.5,00:04:50.7,00:18:58.3,00:04:04.6
35,Maior  Nor,RC4,Roma Capitale,00:01:06.6,00:07:14.0,00:21:21.9,00:04:42.3,00:07:15.2,00:21:17.1,00:04:42.1,00:04:02.8,00:04:55.9,00:19:03.2,00:04:49.0,00:19:05.7,00:04:07.9
36,Hansen  Vi,RC4,Roma Capitale,00:01:08.5,00:07:32.6,00:22:27.3,00:04:51.0,00:07:24.9,00:22:12.2,00:04:51.5,00:04:10.7,00:05:13.2,00:19:41.3,00:05:04.9,00:19:36.1,00:04:05.9
37,Daprà  Rob,RC4,Roma Capitale,00:01:04.2,00:07:11.2,00:21:22.1,00:04:41.4,00:07:08.8,00:21:13.9,00:04:40.0,00:04:01.7,00:04:51.9,00:18:51.4,00:04:53.8,00:18:56.0,00:04:01.4
38,McRae  Max,RC4,Roma Capitale,00:01:02.2,00:07:20.7,00:22:27.1,00:04:55.0,00:07:19.0,00:21:59.6,00:04:49.3,00:04:05.4,00:04:55.9,00:19:15.3,00:04:55.8,00:20:06.1,00:04:06.0
39,Johansson ,RC4,Roma Capitale,00:01:08.3,00:07:20.0,00:22:14.6,00:04:49.1,00:07:19.9,00:21:54.3,00:04:45.3,00:04:02.2,00:04:59.0,00:19:07.1,00:04:55.1,00:23:22.3,00:04:03.9
40,Raftery  A,RC4,Roma Capitale,00:01:12.6,00:07:46.0,00:23:15.8,00:05:25.3,00:07:48.1,00:22:58.1,00:05:00.5,00:04:16.4,00:05:20.6,00:20:38.2,00:05:16.3,00:20:24.6,00:04:39.1
