Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
55,45,Spitalier  P.  /  Spitalier  N.  Peugeot 208 Rally4,RC4,00:19:44.3,88.40 5.04,00:02:26.6 00:00:03.0,10
56,99,Dei Ceci  F.  /  Lazzarini  N.  Renault Clio Rally5,RC5,00:19:44.5,88.38 5.05,00:02:26.8 00:00:00.2,10
57,50,Hangodi  B.  /  Bunkoczi  L.  Peugeot 208 Rally4,RC4,00:19:45.6,88.30 5.09,00:02:27.9 00:00:01.1,10
58,87,Fiore  Emanuele  /  Casalini  Andrea  Peugeot 208 Rally4,RC4,00:19:47.9,88.13 5.17,00:02:30.2 00:00:02.3,10
59,95,Pederzani  R.  /  Brovelli  E.  Renault Clio Rally5,RC5,00:19:51.0,87.90 5.27,00:02:33.3 00:00:03.1,10
60,94,Pesavento  D.  /  Frigo  Marco  Renault Clio Rally5,RC5,00:19:51.8,87.84 5.30,00:02:34.1 00:00:00.8,10
61,98,Scannella  S.  /  Galipò  F.  Renault Clio Rally5,RC5,00:19:55.3,87.58 5.42,00:02:37.6 00:00:03.5,10
62,49,Kreuter  Norman  /  Kvick  Jeannette  Peugeot 208 Rally4,RC4,00:20:01.3,87.15 5.63,00:02:43.6 00:00:06.0,10
63,97,Iani  Igor  /  Puliani  Nicola  Renault Clio Rally5,RC5,00:20:06.2,86.79 5.79,00:02:48.5 00:00:04.9,10
64,96,Nerobutto  G.  /  Nerobutto  F.  Renault Clio Rally5,RC5,00:20:09.7,86.54 5.91,00:02:52.0 00:00:03.5,10
65,100,Doretto  Matteo  /  Budoia  Andrea  Renault Clio Rally5,RC5,00:20:10.9,86.45 5.96,00:02:53.2 00:00:01.2,10
66,54,Juhász  Csaba  /  Pásztor  Tamás  Peugeot 208 Rally4,RC4,00:20:13.9,86.24 6.06,00:02:56.2 00:00:03.0,10
67,102,Zanin  Marco  /  Moriconi  M.  Renault Clio Rally5,RC5,00:20:21.9,85.68 6.33,00:03:04.2 00:00:08.0,10
68,89,Weigert  Timo  /  Weigert  Jasmin  Peugeot 208 Rally4,RC4,00:20:27.9,85.26 6.54,00:03:10.2 00:00:06.0,10
69,90,Irlacher  W.  /  Lerch  Jennifer  Peugeot 208 Rally4,RC4,00:20:33.8,84.85 6.74,00:03:16.1 00:00:05.9,10
70,40,Raftery  Aoife  /  Comerford  Ronan  Peugeot 208 Rally4,RC4,00:20:38.2,84.55 6.89,00:03:20.5 00:00:04.4,10
71,88,Nember  Graziano  /  Maifredini  G.  Peugeot 208 Rally4,RC4,00:20:39.6,84.45 6.94,00:03:21.9 00:00:01.4,10
72,53,Tomov  A.  /  Brankov  Yavor  Renault Clio Rally5,RC5,00:20:48.4,83.86 7.25,00:03:30.7 00:00:08.8,10
73,92,Carra  Sara  /  Mauri  Federica  Peugeot 208 Rally4,RC4,00:20:56.4,83.32 7.52,00:03:38.7 00:00:08.0,10
74,78,Ragnoli  Iavan  /  Marcolini  D.  Ford Fiesta Rally3,RC3,00:21:07.0,82.63 7.89,00:03:49.3 00:00:10.6,10
75,77,Perosino  P.  /  Verzoletto  V.  Škoda Fabia Rally2 Evo,RC2,00:21:11.8,82.31 8.05,00:03:54.1 00:00:04.8,10
76,91,Oprea  Cristiana  /  Parteni  Alexia  Opel Corsa Rally4,RC4,00:21:13.0,82.24 8.09,00:03:55.3 00:00:01.2,10
77,103,La Notte  Niko  /  Zaramella  M.  Renault Clio Rally5,RC5,00:21:49.4,79.95 9.34,00:04:31.7 00:00:36.4,10
78,4,Lukyanuk  Alexey  /  Chervonenko  Y.  Škoda Fabia RS Rally2,RC2,00:21:55.9,79.56 9.57,00:04:38.2 00:00:06.5,10
79,55,Lupu  Ciprian  /  Pintilii  A.  Renault Clio Rally5,RC5,00:26:32.8,65.73 19.09,00:09:15.1 00:04:36.9,10
