Pos.,Pilote / Co-pilote,Voiture,#,Temps,Écart,ss
1, Thierry NEUVILLE Martijn WYDAEGHE,Hyundai i20 N Rally1 HYBRID,11,00:09:27.6,+00:00:00,13
2, Kalle ROVANPERÄ Jonne HALTTUNEN,Toyota GR Yaris Rally1 HYBRID,69,00:09:27.8,+00:00:00.2,13
3, Elfyn EVANS Scott MARTIN,Toyota GR Yaris Rally1 HYBRID,33,00:09:30.6,+00:00:03,13
4, Sébastien OGIER Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:09:31.5,+00:00:03.9,13
5, Esapekka LAPPI Janne FERM,Hyundai i20 N Rally1 HYBRID,4,00:09:34.2,+00:00:06.6,13
6, Takamoto KATSUTA Aaron JOHNSTON,Toyota GR Yaris Rally1 HYBRID,18,00:09:35.4,+00:00:07.8,13
7, Ott TÄNAK Martin JÄRVEOJA,Ford Puma Rally1 HYBRID,8,00:09:37.3,+00:00:09.7,13
8, Daniel SORDO Candido CARRERA,Hyundai i20 N Rally1 HYBRID,6,00:09:40.5,+00:00:12.9,13
9, Oliver SOLBERG Elliott EDMONDSON,Skoda Fabia RS,23,00:09:59.4,+00:00:31.8,13
10, Pepe LÓPEZ Borja ROZADA,Hyundai i20 N,34,00:10:02,+00:00:34.4,13
11, Erik CAIS Petr TESÍNSKÝ,Skoda Fabia RS,27,00:10:02.4,+00:00:34.8,13
12, Nikolay GRYAZIN Konstantin ALEKSANDROV,Skoda Fabia RS,24,00:10:04.4,+00:00:36.8,13
13, Stéphane LEFEBVRE Andy MALFOY,Citroen C3,22,00:10:05,+00:00:37.4,13
14, Adrien FOURMAUX Alexandre CORIA,Ford Fiesta MkII,20,00:10:05.3,+00:00:37.7,13
15, Yohan ROSSEL Arnaud DUNAND,Citroen C3,21,00:10:08,+00:00:40.4,13
16, Marco BULACIA Axel CORONADO,Skoda Fabia RS,26,00:10:08.8,+00:00:41.2,13
17, Christopher INGRAM Craig DREW,Skoda Fabia Evo,28,00:10:10.2,+00:00:42.6,13
18, Alejandro CACHÓN Alejandro LÓPEZ,Citroen C3,35,00:10:14.7,+00:00:47.1,13
19, Grégoire MUNSTER Louis LOUKA,Ford Fiesta MkII,25,00:10:18.9,+00:00:51.3,13
20, Sean JOHNSTON Alexander KIHURANI,Citroen C3,29,00:10:24.3,+00:00:56.7,13
21, François DELECOUR Sabrina DE CASTELLI,Skoda Fabia RS,37,00:10:26,+00:00:58.4,13
22, William CREIGHTON Liam REGAN,Hyundai i20 N,32,00:10:36.2,+00:01:08.6,13
23, Mauro MIELE Luca BELTRAME,Skoda Fabia RS,36,00:10:41.8,+00:01:14.2,13
24, Matteo GAMBA Nicolò GONELLA,Skoda Fabia Evo,52,00:10:46.3,+00:01:18.7,13
25, Olivier BURRI Anderson LEVRATTI,Hyundai i20 N,38,00:10:48.8,+00:01:21.2,13
26, Christian MERLI Marco ZORTEA,Skoda Fabia Evo,49,00:10:48.9,+00:01:21.3,13
27, Jourdan SERDERIDIS Frédéric MICLOTTE,Ford Puma Rally1 HYBRID,9,00:10:51.4,+00:01:23.8,13
28, Romain HAUT-LABOURDETTE Fabien TARDITO,Skoda Fabia,58,00:10:58.3,+00:01:30.7,13
29, Alessandro GINO Daniele MICHI,Citroen C3,53,00:11:04.4,+00:01:36.8,13
30, Philippe BAFFOUN Charlyne QUARTINI,Citroen C3,54,00:11:06.8,+00:01:39.2,13
31, Daniel ALONSO Adrián PÉREZ,Citroen C3,41,00:11:11.2,+00:01:43.6,13
32, Bruno RIBERI Florian HAUT-LABOURDETTE,Skoda Fabia Evo,59,00:11:12,+00:01:44.4,13
33, Johannes KEFERBÖCK Ilka MINOR,Skoda Fabia Evo,39,00:11:15.6,+00:01:48,13
34, Eamonn BOLAND MJ ,Citroen C3,42,00:11:15.6,+00:01:48,13
35, Lorenzo BONTEMPELLI Giovanni PINA,Skoda Fabia Evo,40,00:11:19.8,+00:01:52.2,13
36, Jean Charles ALBERTINI Patrick CHIAPPE,Skoda Fabia Evo,56,00:11:21.7,+00:01:54.1,13
37, Loïc PANAGIOTIS Caroline GODDI,Alpine A110,67,00:11:28.9,+00:02:01.3,13
38, Mickaël PRÉVALET Jofrey COURTET,Peugeot 208 Rally4,76,00:11:30.5,+00:02:02.9,13
39, Fabrizio ARENGI Massimiliano BOSI,Skoda Fabia Evo,48,00:11:31,+00:02:03.4,13
40, Luc PISTACHI Laëtitia AUTHIER,Skoda Fabia Evo,57,00:11:36.4,+00:02:08.8,13
41, Yanis DESANGLES Nicolas THERON,Skoda Fabia,55,00:11:37.9,+00:02:10.3,13
42, Zoltán LÁSZLÓ Gábor ZSIROS,Skoda Fabia Evo,61,00:11:42.5,+00:02:14.9,13
43, Ghjuvanni ROSSI Maxime MARTINI,Peugeot 208 Rally4,78,00:11:42.9,+00:02:15.3,13
44, Simone NIBOLI Battista BRUNETTI,Skoda Fabia Evo,46,00:11:48,+00:02:20.4,13
45, Matteo FONTANA Alessandro ARNABOLDI,Peugeot 208 Rally4,74,00:11:59.9,+00:02:32.3,13
46, Massimiliano PEDALÀ Denis PICENO,Opel Corsa Rally4,73,00:12:00.5,+00:02:32.9,13
47, Silvano PATERA Stefano TIRABOSCHI,Skoda Fabia Evo,45,00:12:01.5,+00:02:33.9,13
48, Eric ROYERE Gilbert DINI,Alpine A110,64,00:12:03.7,+00:02:36.1,13
49, Jérémy PRAT Yves SEMETE,Renault Clio RS Line,82,00:12:06.5,+00:02:38.9,13
50, David FERRARO Michel CORNEGLIO,Alpine A110,66,00:12:07,+00:02:39.4,13
51, Nicolas RESSEGAIRE Marina MICHELI,Renault Clio RS Line,84,00:12:08.8,+00:02:41.2,13
52, Wolfgang IRLACHER Elke IRLACHER,Peugeot 208 Rally4,68,00:12:14.9,+00:02:47.3,13
