Pos.,Pilote / Co-pilote,Voiture,#,Temps,Écart,ss
1, Kalle ROVANPERÄ Jonne HALTTUNEN,Toyota GR Yaris Rally1 HYBRID,69,00:10:08.9,+00:00:00,16
2, Sébastien OGIER Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:10:10.4,+00:00:01.5,16
3, Thierry NEUVILLE Martijn WYDAEGHE,Hyundai i20 N Rally1 HYBRID,11,00:10:11.4,+00:00:02.5,16
4, Takamoto KATSUTA Aaron JOHNSTON,Toyota GR Yaris Rally1 HYBRID,18,00:10:14.5,+00:00:05.6,16
5, Pierre-Louis LOUBET Nicolas GILSOUL,Ford Puma Rally1 HYBRID,7,00:10:15.7,+00:00:06.8,16
6, Elfyn EVANS Scott MARTIN,Toyota GR Yaris Rally1 HYBRID,33,00:10:19.4,+00:00:10.5,16
7, Esapekka LAPPI Janne FERM,Hyundai i20 N Rally1 HYBRID,4,00:10:19.5,+00:00:10.6,16
8, Daniel SORDO Candido CARRERA,Hyundai i20 N Rally1 HYBRID,6,00:10:19.6,+00:00:10.7,16
9, Ott TÄNAK Martin JÄRVEOJA,Ford Puma Rally1 HYBRID,8,00:10:20.7,+00:00:11.8,16
10, Yohan ROSSEL Arnaud DUNAND,Citroen C3,21,00:10:33.7,+00:00:24.8,16
11, Nikolay GRYAZIN Konstantin ALEKSANDROV,Skoda Fabia RS,24,00:10:34.5,+00:00:25.6,16
12, Oliver SOLBERG Elliott EDMONDSON,Skoda Fabia RS,23,00:10:35.4,+00:00:26.5,16
13, Alejandro CACHÓN Alejandro LÓPEZ,Citroen C3,35,00:10:39.7,+00:00:30.8,16
14, Erik CAIS Petr TESÍNSKÝ,Skoda Fabia RS,27,00:10:42.8,+00:00:33.9,16
15, Marco BULACIA Axel CORONADO,Skoda Fabia RS,26,00:10:43.6,+00:00:34.7,16
16, Pepe LÓPEZ Borja ROZADA,Hyundai i20 N,34,00:10:44.2,+00:00:35.3,16
17, Adrien FOURMAUX Alexandre CORIA,Ford Fiesta MkII,20,00:10:44.3,+00:00:35.4,16
18, Christopher INGRAM Craig DREW,Skoda Fabia Evo,28,00:10:45.5,+00:00:36.6,16
19, Joshua MCERLEAN John ROWAN,Hyundai i20 N,31,00:10:50.9,+00:00:42,16
20, François DELECOUR Sabrina DE CASTELLI,Skoda Fabia RS,37,00:10:51.6,+00:00:42.7,16
21, Matteo GAMBA Nicolò GONELLA,Skoda Fabia Evo,52,00:10:53.3,+00:00:44.4,16
22, Mauro MIELE Luca BELTRAME,Skoda Fabia RS,36,00:10:56,+00:00:47.1,16
23, Jourdan SERDERIDIS Frédéric MICLOTTE,Ford Puma Rally1 HYBRID,9,00:10:56.8,+00:00:47.9,16
24, Grégoire MUNSTER Louis LOUKA,Ford Fiesta MkII,25,00:10:57.8,+00:00:48.9,16
25, Daniel ALONSO Adrián PÉREZ,Citroen C3,41,00:11:06.5,+00:00:57.6,16
26, Bruno RIBERI Florian HAUT-LABOURDETTE,Skoda Fabia Evo,59,00:11:06.8,+00:00:57.9,16
27, Christian MERLI Marco ZORTEA,Skoda Fabia Evo,49,00:11:07.5,+00:00:58.6,16
28, Alessandro GINO Daniele MICHI,Citroen C3,53,00:11:13.2,+00:01:04.3,16
29, Luc PISTACHI Laëtitia AUTHIER,Skoda Fabia Evo,57,00:11:22.8,+00:01:13.9,16
30, Silvano PATERA Stefano TIRABOSCHI,Skoda Fabia Evo,45,00:11:26.3,+00:01:17.4,16
31, Olivier BURRI Anderson LEVRATTI,Hyundai i20 N,38,00:11:26.7,+00:01:17.8,16
32, Lorenzo BONTEMPELLI Giovanni PINA,Skoda Fabia Evo,40,00:11:27.3,+00:01:18.4,16
33, Loïc PANAGIOTIS Caroline GODDI,Alpine A110,67,00:11:27.5,+00:01:18.6,16
34, Johannes KEFERBÖCK Ilka MINOR,Skoda Fabia Evo,39,00:11:28.5,+00:01:19.6,16
35, Philippe BAFFOUN Charlyne QUARTINI,Citroen C3,54,00:11:30.6,+00:01:21.7,16
36, Simone NIBOLI Battista BRUNETTI,Skoda Fabia Evo,46,00:11:32.6,+00:01:23.7,16
37, Eric ROYERE Gilbert DINI,Alpine A110,64,00:11:35.8,+00:01:26.9,16
38, Mickaël PRÉVALET Jofrey COURTET,Peugeot 208 Rally4,76,00:11:43.1,+00:01:34.2,16
39, Fabrizio ARENGI Massimiliano BOSI,Skoda Fabia Evo,48,00:11:43.8,+00:01:34.9,16
40, Zoltán LÁSZLÓ Gábor ZSIROS,Skoda Fabia Evo,61,00:11:44,+00:01:35.1,16
41, Jean Charles ALBERTINI Patrick CHIAPPE,Skoda Fabia Evo,56,00:11:44.8,+00:01:35.9,16
42, David FERRARO Michel CORNEGLIO,Alpine A110,66,00:11:44.9,+00:01:36,16
43, Yanis DESANGLES Nicolas THERON,Skoda Fabia,55,00:11:45.3,+00:01:36.4,16
44, Pierre TANCI Sébastien MALET,Skoda Fabia,60,00:11:48.8,+00:01:39.9,16
45, Ghjuvanni ROSSI Maxime MARTINI,Peugeot 208 Rally4,78,00:11:52.7,+00:01:43.8,16
46, Baudouin BAUGÉ Nicolas BLANC,Peugeot 208 Rally4,71,00:11:53.3,+00:01:44.4,16
47, Massimiliano PEDALÀ Denis PICENO,Opel Corsa Rally4,73,00:11:54.5,+00:01:45.6,16
48, Matteo FONTANA Alessandro ARNABOLDI,Peugeot 208 Rally4,74,00:11:57.3,+00:01:48.4,16
49, Wolfgang IRLACHER Elke IRLACHER,Peugeot 208 Rally4,68,00:11:57.6,+00:01:48.7,16
50, Grégory FONTALBA Stéphan HERMET,Alpine A110,65,00:11:58.6,+00:01:49.7,16
51, Nicolas RESSEGAIRE Marina MICHELI,Renault Clio RS Line,84,00:12:02.6,+00:01:53.7,16
52, Filippo MARCHINO Pietro Elia OMETTO,Skoda Fabia,47,00:12:07.8,+00:01:58.9,16
53, Jérémy PRAT Yves SEMETE,Renault Clio RS Line,82,00:12:15.9,+00:02:07,16
54, Romain HAUT-LABOURDETTE Fabien TARDITO,Skoda Fabia,58,00:12:16.2,+00:02:07.3,16
55, Sebastiano CIATO Andrea BUDOIA,Peugeot 208 Rally4,75,00:12:27.8,+00:02:18.9,16
56, Frédéric ROSATI Philippe MARCHETTO,Hyundai i20 N,44,00:12:29.3,+00:02:20.4,16
57, Jérôme AYMARD Sandrine AYMARD,Renault Clio RS,80,00:12:29.4,+00:02:20.5,16
58, Giorgio MARAZZATO Elisa SOMMARIVA,Peugeot 208,77,00:12:29.9,+00:02:21,16
59, Julien CHARNAY Maxime GOMEZ,Renault Clio RS Line,87,00:12:33.2,+00:02:24.3,16
60, Grégory DAL ZOTTO Hervé DUBREUIL,Peugeot 208 Rally4,70,00:12:43.3,+00:02:34.4,16
61, Gilles MICHELLIER Christophe RICHARD,Peugeot 208 Rally4,79,00:12:43.8,+00:02:34.9,16
62, Lilian VIALLE Manuel GHIRARDELLO,Renault Clio RS Line,83,00:12:55.7,+00:02:46.8,16
63, Henk VOSSEN Annemieke HULZEBOS,Ford Fiesta,50,00:12:56,+00:02:47.1,16
