Pos.,Pilote / Co-pilote,Voiture,#,Temps,Écart,ss
1, Thierry NEUVILLE Martijn WYDAEGHE,Hyundai i20 N Rally1 HYBRID,11,00:09:01.8,+00:00:00,12
2, Elfyn EVANS Scott MARTIN,Toyota GR Yaris Rally1 HYBRID,33,00:09:02.9,+00:00:01.1,12
3, Kalle ROVANPERÄ Jonne HALTTUNEN,Toyota GR Yaris Rally1 HYBRID,69,00:09:04.7,+00:00:02.9,12
4, Sébastien OGIER Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:09:05.2,+00:00:03.4,12
5, Takamoto KATSUTA Aaron JOHNSTON,Toyota GR Yaris Rally1 HYBRID,18,00:09:07.6,+00:00:05.8,12
6, Ott TÄNAK Martin JÄRVEOJA,Ford Puma Rally1 HYBRID,8,00:09:08,+00:00:06.2,12
7, Daniel SORDO Candido CARRERA,Hyundai i20 N Rally1 HYBRID,6,00:09:15,+00:00:13.2,12
8, Oliver SOLBERG Elliott EDMONDSON,Skoda Fabia RS,23,00:09:26.8,+00:00:25,12
9, Erik CAIS Petr TESÍNSKÝ,Skoda Fabia RS,27,00:09:32.8,+00:00:31,12
10, Yohan ROSSEL Arnaud DUNAND,Citroen C3,21,00:09:33.5,+00:00:31.7,12
11, Nikolay GRYAZIN Konstantin ALEKSANDROV,Skoda Fabia RS,24,00:09:33.9,+00:00:32.1,12
12, Stéphane LEFEBVRE Andy MALFOY,Citroen C3,22,00:09:35.3,+00:00:33.5,12
13, Esapekka LAPPI Janne FERM,Hyundai i20 N Rally1 HYBRID,4,00:09:37.2,+00:00:35.4,12
14, Pepe LÓPEZ Borja ROZADA,Hyundai i20 N,34,00:09:39.5,+00:00:37.7,12
15, Adrien FOURMAUX Alexandre CORIA,Ford Fiesta MkII,20,00:09:41.1,+00:00:39.3,12
16, Marco BULACIA Axel CORONADO,Skoda Fabia RS,26,00:09:41.9,+00:00:40.1,12
17, Christopher INGRAM Craig DREW,Skoda Fabia Evo,28,00:09:44.6,+00:00:42.8,12
18, Alejandro CACHÓN Alejandro LÓPEZ,Citroen C3,35,00:09:46.7,+00:00:44.9,12
19, Grégoire MUNSTER Louis LOUKA,Ford Fiesta MkII,25,00:09:49.1,+00:00:47.3,12
20, François DELECOUR Sabrina DE CASTELLI,Skoda Fabia RS,37,00:09:52.2,+00:00:50.4,12
21, William CREIGHTON Liam REGAN,Hyundai i20 N,32,00:09:58.6,+00:00:56.8,12
22, Sean JOHNSTON Alexander KIHURANI,Citroen C3,29,00:10:04.2,+00:01:02.4,12
23, Mauro MIELE Luca BELTRAME,Skoda Fabia RS,36,00:10:07.9,+00:01:06.1,12
24, Jourdan SERDERIDIS Frédéric MICLOTTE,Ford Puma Rally1 HYBRID,9,00:10:09.7,+00:01:07.9,12
25, Matteo GAMBA Nicolò GONELLA,Skoda Fabia Evo,52,00:10:10.4,+00:01:08.6,12
26, Alessandro GINO Daniele MICHI,Citroen C3,53,00:10:19.4,+00:01:17.6,12
27, Bruno RIBERI Florian HAUT-LABOURDETTE,Skoda Fabia Evo,59,00:10:19.4,+00:01:17.6,12
28, Olivier BURRI Anderson LEVRATTI,Hyundai i20 N,38,00:10:24.1,+00:01:22.3,12
29, Christian MERLI Marco ZORTEA,Skoda Fabia Evo,49,00:10:26.4,+00:01:24.6,12
30, Johannes KEFERBÖCK Ilka MINOR,Skoda Fabia Evo,39,00:10:26.8,+00:01:25,12
