Pos.,Pilote / Co-pilote,Voiture,#,Temps,Écart,ss
1, Sébastien OGIER Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:08:30.7,+00:00:00,5
2, Kalle ROVANPERÄ Jonne HALTTUNEN,Toyota GR Yaris Rally1 HYBRID,69,00:08:32,+00:00:01.3,5
3, Thierry NEUVILLE Martijn WYDAEGHE,Hyundai i20 N Rally1 HYBRID,11,00:08:35.2,+00:00:04.5,5
4, Takamoto KATSUTA Aaron JOHNSTON,Toyota GR Yaris Rally1 HYBRID,18,00:08:37.1,+00:00:06.4,5
5, Esapekka LAPPI Janne FERM,Hyundai i20 N Rally1 HYBRID,4,00:08:38.4,+00:00:07.7,5
6, Daniel SORDO Candido CARRERA,Hyundai i20 N Rally1 HYBRID,6,00:08:39.5,+00:00:08.8,5
7, Ott TÄNAK Martin JÄRVEOJA,Ford Puma Rally1 HYBRID,8,00:08:39.7,+00:00:09,5
8, Nikolay GRYAZIN Konstantin ALEKSANDROV,Skoda Fabia RS,24,00:08:52.4,+00:00:21.7,5
9, Oliver SOLBERG Elliott EDMONDSON,Skoda Fabia RS,23,00:08:53.3,+00:00:22.6,5
10, Stéphane LEFEBVRE Andy MALFOY,Citroen C3,22,00:08:56.6,+00:00:25.9,5
11, Yohan ROSSEL Arnaud DUNAND,Citroen C3,21,00:08:56.7,+00:00:26,5
12, Pepe LÓPEZ Borja ROZADA,Hyundai i20 N,34,00:08:58.7,+00:00:28,5
13, Adrien FOURMAUX Alexandre CORIA,Ford Fiesta MkII,20,00:09:00.5,+00:00:29.8,5
14, Erik CAIS Petr TESÍNSKÝ,Skoda Fabia RS,27,00:09:01.6,+00:00:30.9,5
15, Grégoire MUNSTER Louis LOUKA,Ford Fiesta MkII,25,00:09:05.2,+00:00:34.5,5
16, Christopher INGRAM Craig DREW,Skoda Fabia Evo,28,00:09:06.8,+00:00:36.1,5
17, Alejandro CACHÓN Alejandro LÓPEZ,Citroen C3,35,00:09:09.5,+00:00:38.8,5
18, Joshua MCERLEAN John ROWAN,Hyundai i20 N,31,00:09:10.7,+00:00:40,5
19, William CREIGHTON Liam REGAN,Hyundai i20 N,32,00:09:12,+00:00:41.3,5
20, François DELECOUR Sabrina DE CASTELLI,Skoda Fabia RS,37,00:09:13.3,+00:00:42.6,5
21, Sean JOHNSTON Alexander KIHURANI,Citroen C3,29,00:09:13.8,+00:00:43.1,5
22, Elfyn EVANS Scott MARTIN,Toyota GR Yaris Rally1 HYBRID,33,00:09:14.1,+00:00:43.4,5
23, Marco BULACIA Axel CORONADO,Skoda Fabia RS,26,00:09:15.6,+00:00:44.9,5
24, Jonathan HIRSCHI Michaël VOLLUZ,Volkswagen Polo GTI,51,00:09:24.4,+00:00:53.7,5
25, Matteo GAMBA Nicolò GONELLA,Skoda Fabia Evo,52,00:09:26.1,+00:00:55.4,5
26, Mauro MIELE Luca BELTRAME,Skoda Fabia RS,36,00:09:26.6,+00:00:55.9,5
27, Alessandro GINO Daniele MICHI,Citroen C3,53,00:09:33.9,+00:01:03.2,5
28, Philippe BAFFOUN Charlyne QUARTINI,Citroen C3,54,00:09:38.7,+00:01:08,5
29, Johannes KEFERBÖCK Ilka MINOR,Skoda Fabia Evo,39,00:09:39.4,+00:01:08.7,5
30, Romain HAUT-LABOURDETTE Fabien TARDITO,Skoda Fabia,58,00:09:40.4,+00:01:09.7,5
31, Bruno RIBERI Florian HAUT-LABOURDETTE,Skoda Fabia Evo,59,00:09:41.4,+00:01:10.7,5
32, Jourdan SERDERIDIS Frédéric MICLOTTE,Ford Puma Rally1 HYBRID,9,00:09:47.8,+00:01:17.1,5
33, Mickaël PRÉVALET Jofrey COURTET,Peugeot 208 Rally4,76,00:09:49.8,+00:01:19.1,5
34, Eamonn BOLAND MJ ,Citroen C3,42,00:09:51.2,+00:01:20.5,5
35, Luc PISTACHI Laëtitia AUTHIER,Skoda Fabia Evo,57,00:09:52.5,+00:01:21.8,5
36, Christian MERLI Marco ZORTEA,Skoda Fabia Evo,49,00:09:52.8,+00:01:22.1,5
37, Yanis DESANGLES Nicolas THERON,Skoda Fabia,55,00:09:55.5,+00:01:24.8,5
38, Baudouin BAUGÉ Nicolas BLANC,Peugeot 208 Rally4,71,00:09:59.3,+00:01:28.6,5
