Pos.,Pilote / Co-pilote,Voiture,#,Temps,Écart,ss
1, Elfyn EVANS Scott MARTIN,Toyota GR Yaris Rally1 HYBRID,33,00:09:49.3,+00:00:00,6
2, Sébastien OGIER Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:09:49.8,+00:00:00.5,6
3, Kalle ROVANPERÄ Jonne HALTTUNEN,Toyota GR Yaris Rally1 HYBRID,69,00:09:51.3,+00:00:02,6
4, Takamoto KATSUTA Aaron JOHNSTON,Toyota GR Yaris Rally1 HYBRID,18,00:09:53.1,+00:00:03.8,6
5, Thierry NEUVILLE Martijn WYDAEGHE,Hyundai i20 N Rally1 HYBRID,11,00:09:53.5,+00:00:04.2,6
6, Ott TÄNAK Martin JÄRVEOJA,Ford Puma Rally1 HYBRID,8,00:09:53.7,+00:00:04.4,6
7, Daniel SORDO Candido CARRERA,Hyundai i20 N Rally1 HYBRID,6,00:09:57.8,+00:00:08.5,6
8, Esapekka LAPPI Janne FERM,Hyundai i20 N Rally1 HYBRID,4,00:10:04.5,+00:00:15.2,6
9, Oliver SOLBERG Elliott EDMONDSON,Skoda Fabia RS,23,00:10:15.8,+00:00:26.5,6
10, Nikolay GRYAZIN Konstantin ALEKSANDROV,Skoda Fabia RS,24,00:10:19.7,+00:00:30.4,6
11, Yohan ROSSEL Arnaud DUNAND,Citroen C3,21,00:10:24.7,+00:00:35.4,6
12, Erik CAIS Petr TESÍNSKÝ,Skoda Fabia RS,27,00:10:26.6,+00:00:37.3,6
13, Marco BULACIA Axel CORONADO,Skoda Fabia RS,26,00:10:27.9,+00:00:38.6,6
14, Pepe LÓPEZ Borja ROZADA,Hyundai i20 N,34,00:10:28.1,+00:00:38.8,6
15, Stéphane LEFEBVRE Andy MALFOY,Citroen C3,22,00:10:29.3,+00:00:40,6
16, Christopher INGRAM Craig DREW,Skoda Fabia Evo,28,00:10:30.4,+00:00:41.1,6
17, Adrien FOURMAUX Alexandre CORIA,Ford Fiesta MkII,20,00:10:31.3,+00:00:42,6
18, Alejandro CACHÓN Alejandro LÓPEZ,Citroen C3,35,00:10:31.8,+00:00:42.5,6
19, Grégoire MUNSTER Louis LOUKA,Ford Fiesta MkII,25,00:10:36.3,+00:00:47,6
20, François DELECOUR Sabrina DE CASTELLI,Skoda Fabia RS,37,00:10:36.4,+00:00:47.1,6
21, Sean JOHNSTON Alexander KIHURANI,Citroen C3,29,00:10:41.3,+00:00:52,6
22, Joshua MCERLEAN John ROWAN,Hyundai i20 N,31,00:10:42.1,+00:00:52.8,6
23, Matteo GAMBA Nicolò GONELLA,Skoda Fabia Evo,52,00:10:50.4,+00:01:01.1,6
24, Bruno RIBERI Florian HAUT-LABOURDETTE,Skoda Fabia Evo,59,00:10:56.7,+00:01:07.4,6
25, William CREIGHTON Liam REGAN,Hyundai i20 N,32,00:10:58.5,+00:01:09.2,6
26, Mauro MIELE Luca BELTRAME,Skoda Fabia RS,36,00:10:58.8,+00:01:09.5,6
27, Romain HAUT-LABOURDETTE Fabien TARDITO,Skoda Fabia,58,00:10:59.4,+00:01:10.1,6
28, Alessandro GINO Daniele MICHI,Citroen C3,53,00:11:02.6,+00:01:13.3,6
29, Christian MERLI Marco ZORTEA,Skoda Fabia Evo,49,00:11:10.2,+00:01:20.9,6
30, Philippe BAFFOUN Charlyne QUARTINI,Citroen C3,54,00:11:10.7,+00:01:21.4,6
31, Jourdan SERDERIDIS Frédéric MICLOTTE,Ford Puma Rally1 HYBRID,9,00:11:12.1,+00:01:22.8,6
32, Luc PISTACHI Laëtitia AUTHIER,Skoda Fabia Evo,57,00:11:13.1,+00:01:23.8,6
33, Johannes KEFERBÖCK Ilka MINOR,Skoda Fabia Evo,39,00:11:15.2,+00:01:25.9,6
34, Jonathan HIRSCHI Michaël VOLLUZ,Volkswagen Polo GTI,51,00:11:17.1,+00:01:27.8,6
35, Loïc PANAGIOTIS Caroline GODDI,Alpine A110,67,00:11:19.4,+00:01:30.1,6
36, David FERRARO Michel CORNEGLIO,Alpine A110,66,00:11:22.8,+00:01:33.5,6
37, Eamonn BOLAND MJ ,Citroen C3,42,00:11:31,+00:01:41.7,6
38, Mickaël PRÉVALET Jofrey COURTET,Peugeot 208 Rally4,76,00:11:31.4,+00:01:42.1,6
39, Yanis DESANGLES Nicolas THERON,Skoda Fabia,55,00:11:32.8,+00:01:43.5,6
40, Baudouin BAUGÉ Nicolas BLANC,Peugeot 208 Rally4,71,00:11:35.1,+00:01:45.8,6
41, Jean Charles ALBERTINI Patrick CHIAPPE,Skoda Fabia Evo,56,00:11:35.5,+00:01:46.2,6
42, Ghjuvanni ROSSI Maxime MARTINI,Peugeot 208 Rally4,78,00:11:35.8,+00:01:46.5,6
43, Lorenzo BONTEMPELLI Giovanni PINA,Skoda Fabia Evo,40,00:11:37.2,+00:01:47.9,6
44, Fabrizio ARENGI Massimiliano BOSI,Skoda Fabia Evo,48,00:11:38.1,+00:01:48.8,6
45, Simone NIBOLI Battista BRUNETTI,Skoda Fabia Evo,46,00:11:39,+00:01:49.7,6
46, Pierre TANCI Sébastien MALET,Skoda Fabia,60,00:11:40.4,+00:01:51.1,6
47, Eric ROYERE Gilbert DINI,Alpine A110,64,00:11:42.6,+00:01:53.3,6
48, Zoltán LÁSZLÓ Gábor ZSIROS,Skoda Fabia Evo,61,00:11:46.2,+00:01:56.9,6
49, Silvano PATERA Stefano TIRABOSCHI,Skoda Fabia Evo,45,00:11:54.1,+00:02:04.8,6
50, Matteo FONTANA Alessandro ARNABOLDI,Peugeot 208 Rally4,74,00:12:03.9,+00:02:14.6,6
51, Sebastiano CIATO Andrea BUDOIA,Peugeot 208 Rally4,75,00:12:06.9,+00:02:17.6,6
52, Wolfgang IRLACHER Elke IRLACHER,Peugeot 208 Rally4,68,00:12:07.4,+00:02:18.1,6
53, Massimiliano PEDALÀ Denis PICENO,Opel Corsa Rally4,73,00:12:08.7,+00:02:19.4,6
54, Filippo MARCHINO Pietro Elia OMETTO,Skoda Fabia,47,00:12:19.3,+00:02:30,6
55, Nicolas RESSEGAIRE Marina MICHELI,Renault Clio RS Line,84,00:12:22.3,+00:02:33,6
56, Jérémy PRAT Yves SEMETE,Renault Clio RS Line,82,00:12:24.8,+00:02:35.5,6
57, Pierre-Louis LOUBET Nicolas GILSOUL,Ford Puma Rally1 HYBRID,7,00:12:25.2,+00:02:35.9,6
58, Jérôme AYMARD Sandrine AYMARD,Renault Clio RS,80,00:12:31.3,+00:02:42,6
59, Gilles MICHELLIER Christophe RICHARD,Peugeot 208 Rally4,79,00:12:32.9,+00:02:43.6,6
60, Henk VOSSEN Annemieke HULZEBOS,Ford Fiesta,50,00:12:39.1,+00:02:49.8,6
61, Julien CHARNAY Maxime GOMEZ,Renault Clio RS Line,87,00:12:42.7,+00:02:53.4,6
62, Christophe BERARD Christophe BERNABO,Renault Clio RS Line,85,00:12:46.7,+00:02:57.4,6
63, Lilian VIALLE Manuel GHIRARDELLO,Renault Clio RS Line,83,00:12:47.5,+00:02:58.2,6
64, Richard FRAU Stephane MARQUEZ,Alpine A110,63,00:12:58.5,+00:03:09.2,6
65, Jean-Paul PALMERO Mattia PASTORINO,Peugeot 208 Rally4,81,00:13:37.9,+00:03:48.6,6
66, Marc DESSI Pamela DESSI,Renault Clio RS Line,86,00:14:07.1,+00:04:17.8,6
