Pos.,Pilote / Co-pilote,Voiture,#,Temps,Écart,ss
1, Sébastien OGIER Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:12:17,+00:00:00,17
2, Takamoto KATSUTA Aaron JOHNSTON,Toyota GR Yaris Rally1 HYBRID,18,00:12:20.1,+00:00:03.1,17
3, Kalle ROVANPERÄ Jonne HALTTUNEN,Toyota GR Yaris Rally1 HYBRID,69,00:12:23.3,+00:00:06.3,17
4, Thierry NEUVILLE Martijn WYDAEGHE,Hyundai i20 N Rally1 HYBRID,11,00:12:24,+00:00:07,17
5, Esapekka LAPPI Janne FERM,Hyundai i20 N Rally1 HYBRID,4,00:12:24.5,+00:00:07.5,17
6, Daniel SORDO Candido CARRERA,Hyundai i20 N Rally1 HYBRID,6,00:12:25,+00:00:08,17
7, Elfyn EVANS Scott MARTIN,Toyota GR Yaris Rally1 HYBRID,33,00:12:25.2,+00:00:08.2,17
8, Oliver SOLBERG Elliott EDMONDSON,Skoda Fabia RS,23,00:12:42.5,+00:00:25.5,17
9, Nikolay GRYAZIN Konstantin ALEKSANDROV,Skoda Fabia RS,24,00:12:43.5,+00:00:26.5,17
10, Yohan ROSSEL Arnaud DUNAND,Citroen C3,21,00:12:43.9,+00:00:26.9,17
11, Stéphane LEFEBVRE Andy MALFOY,Citroen C3,22,00:12:49.1,+00:00:32.1,17
12, Ott TÄNAK Martin JÄRVEOJA,Ford Puma Rally1 HYBRID,8,00:12:51.1,+00:00:34.1,17
13, Pepe LÓPEZ Borja ROZADA,Hyundai i20 N,34,00:12:52.7,+00:00:35.7,17
14, Erik CAIS Petr TESÍNSKÝ,Skoda Fabia RS,27,00:12:54.7,+00:00:37.7,17
15, Christopher INGRAM Craig DREW,Skoda Fabia Evo,28,00:12:56.4,+00:00:39.4,17
16, Marco BULACIA Axel CORONADO,Skoda Fabia RS,26,00:12:58.4,+00:00:41.4,17
17, Alejandro CACHÓN Alejandro LÓPEZ,Citroen C3,35,00:12:59.5,+00:00:42.5,17
18, Grégoire MUNSTER Louis LOUKA,Ford Fiesta MkII,25,00:13:04.3,+00:00:47.3,17
19, Adrien FOURMAUX Alexandre CORIA,Ford Fiesta MkII,20,00:13:05.5,+00:00:48.5,17
20, Joshua MCERLEAN John ROWAN,Hyundai i20 N,31,00:13:06.5,+00:00:49.5,17
21, François DELECOUR Sabrina DE CASTELLI,Skoda Fabia RS,37,00:13:06.6,+00:00:49.6,17
22, Bruno RIBERI Florian HAUT-LABOURDETTE,Skoda Fabia Evo,59,00:13:12,+00:00:55,17
23, Matteo GAMBA Nicolò GONELLA,Skoda Fabia Evo,52,00:13:15.6,+00:00:58.6,17
24, Jourdan SERDERIDIS Frédéric MICLOTTE,Ford Puma Rally1 HYBRID,9,00:13:15.6,+00:00:58.6,17
25, Mauro MIELE Luca BELTRAME,Skoda Fabia RS,36,00:13:23.9,+00:01:06.9,17
26, Luc PISTACHI Laëtitia AUTHIER,Skoda Fabia Evo,57,00:13:30.6,+00:01:13.6,17
27, Christian MERLI Marco ZORTEA,Skoda Fabia Evo,49,00:13:36.4,+00:01:19.4,17
28, Alessandro GINO Daniele MICHI,Citroen C3,53,00:13:37.4,+00:01:20.4,17
29, Daniel ALONSO Adrián PÉREZ,Citroen C3,41,00:13:39.2,+00:01:22.2,17
30, Johannes KEFERBÖCK Ilka MINOR,Skoda Fabia Evo,39,00:13:41.5,+00:01:24.5,17
31, Philippe BAFFOUN Charlyne QUARTINI,Citroen C3,54,00:13:45.1,+00:01:28.1,17
32, Olivier BURRI Anderson LEVRATTI,Hyundai i20 N,38,00:13:45.5,+00:01:28.5,17
33, Simone NIBOLI Battista BRUNETTI,Skoda Fabia Evo,46,00:13:57.3,+00:01:40.3,17
34, Lorenzo BONTEMPELLI Giovanni PINA,Skoda Fabia Evo,40,00:13:58.2,+00:01:41.2,17
35, David FERRARO Michel CORNEGLIO,Alpine A110,66,00:14:02.2,+00:01:45.2,17
36, Pierre TANCI Sébastien MALET,Skoda Fabia,60,00:14:03.6,+00:01:46.6,17
37, Zoltán LÁSZLÓ Gábor ZSIROS,Skoda Fabia Evo,61,00:14:14.4,+00:01:57.4,17
38, Loïc PANAGIOTIS Caroline GODDI,Alpine A110,67,00:14:14.4,+00:01:57.4,17
39, Silvano PATERA Stefano TIRABOSCHI,Skoda Fabia Evo,45,00:14:14.6,+00:01:57.6,17
40, Romain HAUT-LABOURDETTE Fabien TARDITO,Skoda Fabia,58,00:14:16.7,+00:01:59.7,17
41, Eric ROYERE Gilbert DINI,Alpine A110,64,00:14:19.1,+00:02:02.1,17
42, Mickaël PRÉVALET Jofrey COURTET,Peugeot 208 Rally4,76,00:14:20.2,+00:02:03.2,17
43, Yanis DESANGLES Nicolas THERON,Skoda Fabia,55,00:14:20.2,+00:02:03.2,17
44, Jean Charles ALBERTINI Patrick CHIAPPE,Skoda Fabia Evo,56,00:14:21.2,+00:02:04.2,17
45, Baudouin BAUGÉ Nicolas BLANC,Peugeot 208 Rally4,71,00:14:24.4,+00:02:07.4,17
46, Fabrizio ARENGI Massimiliano BOSI,Skoda Fabia Evo,48,00:14:26.2,+00:02:09.2,17
47, Ghjuvanni ROSSI Maxime MARTINI,Peugeot 208 Rally4,78,00:14:26.5,+00:02:09.5,17
48, William CREIGHTON Liam REGAN,Hyundai i20 N,32,00:14:29.7,+00:02:12.7,17
49, Grégory FONTALBA Stéphan HERMET,Alpine A110,65,00:14:33.5,+00:02:16.5,17
50, Massimiliano PEDALÀ Denis PICENO,Opel Corsa Rally4,73,00:14:34.8,+00:02:17.8,17
51, Matteo FONTANA Alessandro ARNABOLDI,Peugeot 208 Rally4,74,00:14:39.9,+00:02:22.9,17
52, Filippo MARCHINO Pietro Elia OMETTO,Skoda Fabia,47,00:14:47.7,+00:02:30.7,17
53, Wolfgang IRLACHER Elke IRLACHER,Peugeot 208 Rally4,68,00:14:47.7,+00:02:30.7,17
54, Sebastiano CIATO Andrea BUDOIA,Peugeot 208 Rally4,75,00:14:50.8,+00:02:33.8,17
55, Jérémy PRAT Yves SEMETE,Renault Clio RS Line,82,00:14:51.4,+00:02:34.4,17
56, Nicolas RESSEGAIRE Marina MICHELI,Renault Clio RS Line,84,00:15:00.9,+00:02:43.9,17
57, Jérôme AYMARD Sandrine AYMARD,Renault Clio RS,80,00:15:05.5,+00:02:48.5,17
58, Julien CHARNAY Maxime GOMEZ,Renault Clio RS Line,87,00:15:11.4,+00:02:54.4,17
59, Giorgio MARAZZATO Elisa SOMMARIVA,Peugeot 208,77,00:15:15,+00:02:58,17
60, Grégory DAL ZOTTO Hervé DUBREUIL,Peugeot 208 Rally4,70,00:15:28,+00:03:11,17
61, Gilles MICHELLIER Christophe RICHARD,Peugeot 208 Rally4,79,00:15:28.7,+00:03:11.7,17
62, Lilian VIALLE Manuel GHIRARDELLO,Renault Clio RS Line,83,00:15:35.8,+00:03:18.8,17
