Pos.,Pilote / Co-pilote,Voiture,#,Temps,Écart,ss
1, Sébastien OGIER Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:12:17.9,+00:00:00,15
2, Elfyn EVANS Scott MARTIN,Toyota GR Yaris Rally1 HYBRID,33,00:12:20.6,+00:00:02.7,15
3, Kalle ROVANPERÄ Jonne HALTTUNEN,Toyota GR Yaris Rally1 HYBRID,69,00:12:20.6,+00:00:02.7,15
4, Thierry NEUVILLE Martijn WYDAEGHE,Hyundai i20 N Rally1 HYBRID,11,00:12:23,+00:00:05.1,15
5, Daniel SORDO Candido CARRERA,Hyundai i20 N Rally1 HYBRID,6,00:12:30.5,+00:00:12.6,15
6, Takamoto KATSUTA Aaron JOHNSTON,Toyota GR Yaris Rally1 HYBRID,18,00:12:34.1,+00:00:16.2,15
7, Esapekka LAPPI Janne FERM,Hyundai i20 N Rally1 HYBRID,4,00:12:35.2,+00:00:17.3,15
8, Ott TÄNAK Martin JÄRVEOJA,Ford Puma Rally1 HYBRID,8,00:12:35.2,+00:00:17.3,15
9, Yohan ROSSEL Arnaud DUNAND,Citroen C3,21,00:12:51,+00:00:33.1,15
10, Oliver SOLBERG Elliott EDMONDSON,Skoda Fabia RS,23,00:12:55.7,+00:00:37.8,15
11, Nikolay GRYAZIN Konstantin ALEKSANDROV,Skoda Fabia RS,24,00:12:55.7,+00:00:37.8,15
12, Stéphane LEFEBVRE Andy MALFOY,Citroen C3,22,00:12:57.1,+00:00:39.2,15
13, Erik CAIS Petr TESÍNSKÝ,Skoda Fabia RS,27,00:12:59.9,+00:00:42,15
14, Pepe LÓPEZ Borja ROZADA,Hyundai i20 N,34,00:13:00.6,+00:00:42.7,15
15, Marco BULACIA Axel CORONADO,Skoda Fabia RS,26,00:13:04.7,+00:00:46.8,15
16, Adrien FOURMAUX Alexandre CORIA,Ford Fiesta MkII,20,00:13:05.1,+00:00:47.2,15
17, Christopher INGRAM Craig DREW,Skoda Fabia Evo,28,00:13:07.1,+00:00:49.2,15
18, Matteo GAMBA Nicolò GONELLA,Skoda Fabia Evo,52,00:13:10.8,+00:00:52.9,15
19, Joshua MCERLEAN John ROWAN,Hyundai i20 N,31,00:13:14,+00:00:56.1,15
20, Alejandro CACHÓN Alejandro LÓPEZ,Citroen C3,35,00:13:14.4,+00:00:56.5,15
21, Grégoire MUNSTER Louis LOUKA,Ford Fiesta MkII,25,00:13:14.9,+00:00:57,15
22, Sean JOHNSTON Alexander KIHURANI,Citroen C3,29,00:13:16.7,+00:00:58.8,15
23, François DELECOUR Sabrina DE CASTELLI,Skoda Fabia RS,37,00:13:20.8,+00:01:02.9,15
24, Bruno RIBERI Florian HAUT-LABOURDETTE,Skoda Fabia Evo,59,00:13:21.2,+00:01:03.3,15
25, William CREIGHTON Liam REGAN,Hyundai i20 N,32,00:13:28.5,+00:01:10.6,15
26, Mauro MIELE Luca BELTRAME,Skoda Fabia RS,36,00:13:30.5,+00:01:12.6,15
27, Alessandro GINO Daniele MICHI,Citroen C3,53,00:13:33.3,+00:01:15.4,15
28, Jourdan SERDERIDIS Frédéric MICLOTTE,Ford Puma Rally1 HYBRID,9,00:13:40.9,+00:01:23,15
29, Christian MERLI Marco ZORTEA,Skoda Fabia Evo,49,00:13:42.9,+00:01:25,15
30, Daniel ALONSO Adrián PÉREZ,Citroen C3,41,00:13:46,+00:01:28.1,15
31, Luc PISTACHI Laëtitia AUTHIER,Skoda Fabia Evo,57,00:13:52.2,+00:01:34.3,15
32, Olivier BURRI Anderson LEVRATTI,Hyundai i20 N,38,00:13:57.6,+00:01:39.7,15
33, Simone NIBOLI Battista BRUNETTI,Skoda Fabia Evo,46,00:14:07.5,+00:01:49.6,15
34, David FERRARO Michel CORNEGLIO,Alpine A110,66,00:14:07.7,+00:01:49.8,15
35, Mickaël PRÉVALET Jofrey COURTET,Peugeot 208 Rally4,76,00:14:08.3,+00:01:50.4,15
36, Johannes KEFERBÖCK Ilka MINOR,Skoda Fabia Evo,39,00:14:10.4,+00:01:52.5,15
37, Philippe BAFFOUN Charlyne QUARTINI,Citroen C3,54,00:14:10.7,+00:01:52.8,15
38, Lorenzo BONTEMPELLI Giovanni PINA,Skoda Fabia Evo,40,00:14:14.8,+00:01:56.9,15
